Title: Hydroxide salts in the clouds of Venus: their effect on the 
       sulfur cycle and cloud droplet
Authors: Rimmer P.B., Jordan S., Constantinou T., Woitke P., Shorttle O., 
         Hobbs R., Paschodimas A. 
Table: Reactions Added and Updated for STAND2020
================================================================================
Byte-by-byte Description of file: psjac0156t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label     Explanations
--------------------------------------------------------------------------------
   1- 38 A38    ---     Reaction  Reaction
  40- 47 E8.2   ---     alpha     The {alpha} value
  49- 53 A5     ---   u_alpha     alpha units
  55- 59 F5.2   ---     beta      The {beta} value
  61- 67 F7.1   K       Ea        Ea
  69- 89 A21    ---     Ref       Reference (1)
  91- 93 A3     ---     Flag      Flag (2)
--------------------------------------------------------------------------------
Note (1): References --
OH + O_2 + M => HO_3 + M               4.10E-11 cm3/s -4.5      0.0 Est.                      
NO + O_2 + M => NO_3 + M               4.81E-41 cm6/s  0.0      0.0 Ashmore1962               
NO + O_2 + M => NO_3 + M               1.36E-21 cm3/s -1.0      0.0 Est.                      
N_2 + H + M => HN_2 + M                1.22E-29 cm6/s  0.36  7700.0 Caridade2005              
N_2 + H + M => HN_2 + M                2.94E-10 cm3/s -0.64  7700.0 Est.                      
CN + CN + M => NCCN + M                4.94E-29 cm6/s -2.62     0.0 Tsang1992                 
CN + CN + M => NCCN + M                9.40E-12 cm3/s  0.0      0.0 Tsang1992                 
CHO + H + M => CH_2O + M               1.57E-30 cm6/s -2.57     0.0 Eiteneer1998              
CHO + H + M => CH_2O + M               1.53E-10 cm3/s  0.0      0.0 Tsuboi1981                
CH + N_2 + M => CHN_2 + M              1.60E-31 cm6/s -2.2      0.0 Rowe1998                  
CH + N_2 + M => CHN_2 + M              1.80E-12 cm3/s -1.5      0.0 Rowe1998                  
HO + HO + M => H_2O_2 + M              1.01E-30 cm6/s -4.3    340.0 Sellevag2009              
HO + HO + M => H_2O_2 + M              2.61E-11 cm3/s  0.0      0.0 Fulle1996                 
HO + NO + M => HNO_2 + M               8.91E-31 cm6/s -2.1      0.0 Sharkey1994               
HO + NO + M => HNO_2 + M               3.31E-11 cm3/s -0.3      0.0 Fulle1998                 
CH_2O + H + M => CH_3O + M             1.80E-31 cm6/s  0.66   863.0 Est.                      
CH_2O + H + M => CH_3O + M             4.34E-12 cm3/s  1.66   863.0 Huynh2008                 
NO_2 + HO + M => HNO_3 + M             1.87E-30 cm6/s  3.0      0.0 Golden2003                
NO_2 + HO + M => HNO_3 + M             2.80E-11 cm3/s  0.0      0.0 Golden2003                
NO_2 + NO + M => N_2O_3 + M            3.09E-34 cm6/s -7.7      0.0 Markwalder1993            
NO_2 + NO + M => N_2O_3 + M            7.74E-12 cm3/s  1.4      0.0 Markwalder1993            
H_2N + H_2N + M => H_4N_2 + M          1.17E-27 cm6/s -5.49   997.0 Klippenstein2009          
H_2N + H_2N + M => H_4N_2 + M          7.90E-11 cm3/s -0.41     0.0 Klippenstein2009          
CH_3 + H_2N + M => CH_5N + M           1.80E-27 cm6/s -3.85   997.0 Jodkowski1995             
CH_3 + H_2N + M => CH_5N + M           1.30E-10 cm3/s  0.42     0.0 Jodkowski1995             
C_2H_2 + CH_2 + M => C_3H_4 + M        8.33E-31 cm6/s -1.0   3320.0 Est.                      
C_2H_2 + CH_2 + M => C_3H_4 + M        2.01E-11 cm3/s  0.0   3320.0 Baulch1992                
C_3H_3 + H + M => C_3H_4 + M           8.28E-30 cm6/s  1.1      0.0 Est.                      
C_3H_3 + H + M => C_3H_4 + M           2.00E-10 cm3/s  0.1      0.0 Harding2007               
C_3H_4 + H + M => C_3H_5 + M           4.18E-31 cm6/s  1.69  1510.0 Est.                      
C_3H_4 + H + M => C_3H_5 + M           1.01E-11 cm3/s  0.69  1510.0 Tsang1992b                
C_2H_2 + CH_3 + M => C_3H_5 + M        4.14E-32 cm6/s  1.0   3890.0 Est.                      
C_2H_2 + CH_3 + M => C_3H_5 + M        1.00E-12 cm3/s  0.0   3890.0 Baulch1992                
CHO + H + M => HOCH + M                1.57E-30 cm6/s -2.57     0.0 Est.                      
CHO + H + M => HOCH + M                1.52E-10 cm3/s  0.0      0.0 Est.                      
C_2H_2 + C_2H_2 + M => C_4H_4 + M      3.78E-31 cm6/s  1.0  18600.0 Est.                      
C_2H_2 + C_2H_2 + M => C_4H_4 + M      9.13E-12 cm3/s  0.0  18600.0 Duran1989                 
C_3H_3 + CH_3 + M => C_4H_6 + M        1.38E-31 cm6/s  1.0      0.0 Est.                      
C_3H_3 + CH_3 + M => C_4H_6 + M        3.32E-12 cm3/s  0.0      0.0 Faravelli2000             
C_2H_3 + C_2H_3 + M => C_4H_6 + M      6.88E-31 cm6/s  1.0      0.0 Est.                      
C_2H_3 + C_2H_3 + M => C_4H_6 + M      1.66E-11 cm3/s  0.0      0.0 Benson1989                
C_2H_3 + C_2H_3 + M => C_4H_6 + M      6.88E-31 cm6/s  1.0      0.0 Est.                      
C_2H_3 + C_2H_3 + M => C_4H_6 + M      1.66E-11 cm3/s  0.0      0.0 Benson1989                
HCN + H + M => H_2CN + M               1.34E-30 cm6/s -2.63  3780.0 Tsang1991                 
HCN + H + M => H_2CN + M               5.50E-11 cm3/s  0.0   2430.0 Tsang1991                 
CH_3 + CO + M => C_2H_3O + M           3.01E-34 cm6/s  0.0   1910.0 Baulch1994                
CH_3 + CO + M => C_2H_3O + M           1.90E-13 cm3/s  2.25  3030.0 Huynh2008                 
C_2H_2O + H + M => C_2H_3O + M         1.38E-30 cm6/s  0.0      0.0 Yasunaga2008              
C_2H_2O + H + M => C_2H_3O + M         3.68E-12 cm3/s  1.61  1320.0 Senosiain2006             
CH_3OH + M => H_2O + ^1CH_2 + M        1.0E-9   cm3/s  0.0  46100.0 Est.                      
CH_3OH + M => H_2O + ^1CH_2 + M        9.51E+15 s-1   -1.02 46100.0 Jasper2007                
CH_3O + H + M => CH_3OH + M            7.21E-30 cm6/s  1.24     0.0 Est.                      
CH_3O + H + M => CH_3OH + M            1.74E-10 cm3/s  0.24     0.0 Brudnik2009               
