  R205	H2	+ CH3O2		= CH4O2	+ H		5.935665e-19
  R213	H2	+ NO2		= H	+ HNO2		1.784331e-19
  T8	HNO			= H	+ NO		5.777734e-21
  R546	SO2	+ C2H		= CO	+ OCS	+ H	2.193240e-22
  T2	HO2			= O2	+ H		8.958512e-23
  T25	C2H3			= C2H2	+ H		1.894255e-30
  R533	S	+ HS		= H	+ S2		3.676888e-35
  R10	H2	+ C2H4		= C2H5	+ H		3.857659e-45
  T42	HSO			= SO	+ H		1.640538e-47
  T43	HOSO			= SO2	+ H		1.039922e-47
  R41	H2	+ C2H2		= C2H3	+ H		9.086979e-51
  T28	C2H6			= C2H5	+ H		3.500509e-52
  T19	CH4O			= CH3O	+ H		6.594583e-53
  T59	H2S			= HS	+ H		3.749518e-70
  T57	HCN			= H	+ CN		6.176979e-76
  P38	H2			= H	+ H		0.000000e+00 (x2)

H				LOSS RXS		INT RX RATE	TL = 5.32e+12

  M13	H	+ H		= H2			1.194914e+12 (x2)
  M12	H	+ CO		= CHO			7.338902e+11
  R162	H	+ CHO		= CO	+ H2		7.136255e+11
  M18	H	+ OH		= H2O			6.949947e+11
  M17	H	+ O2		= HO2			2.360389e+11
  R180	H	+ HO2		= OH	+ OH		1.993531e+11
  M10	H	+ CHO		= CH2O			1.553638e+11
  R148	H	+ CH2O		= H2	+ CHO		1.085982e+11
  M16	H	+ O		= OH			5.702058e+10
  R182	H	+ HO2		= H2	+ O2		1.910467e+10
  M57	H	+ CH3		= CH4			7.509331e+09
  R181	H	+ HO2		= O	+ H2O		4.430069e+09
  R152	H	+ CH3O		= CH4O			1.324152e+09
  R153	H	+ CH3O		= CH3	+ OH		7.404222e+08
  R157	H	+ CH4		= CH3	+ H2		6.883636e+08
  M88	H	+ CH2O		= CH3O			6.674688e+08
  R159	H	+ CH4O		= CH3O	+ H2		5.859294e+08
  R146	H	+ CH2		= CH	+ H2		3.047994e+08
  R192	H	+ O3		= OH	+ O2		1.625857e+08
  R145	H	+ CH		= C	+ H2		7.010400e+07
  R154	H	+ CH3O		= CH2O	+ H2		4.627639e+07
  R167	H	+ H2O2		= OH	+ H2O		3.641553e+07
  R155	H	+ CH3O2		= CH3O	+ OH		2.767260e+07
  R168	H	+ H2O2		= H2	+ HO2		3.855190e+06
  M9	H	+ C2H4		= C2H5			2.305933e+06
  R140	H	+ C2H5		= CH3	+ CH3		2.179701e+06
  R142	H	+ C2H5O		= C2H4O	+ H2		1.959008e+06
  R133	H	+ C2H3O		= CHO	+ CH3		1.645510e+06
  R166	H	+ H2O		= H2	+ OH		1.267978e+06
  R134	H	+ C2H3O		= C2H2O	+ H2		8.975510e+05
  M56	H	+ CH2		= CH3			5.211664e+05
  M15	H	+ NO		= HNO			3.476523e+05
  R172	H	+ HNO		= H2	+ NO		3.387676e+05
  R141	H	+ C2H5		= C2H4	+ H2		1.089850e+05
  M58	H	+ C2H5		= C2H6			6.708766e+04
  M7	H	+ C2H2		= C2H3			4.166862e+04
  R131	H	+ C2H3		= C2H4			3.906202e+04
  R143	H	+ C2H6		= C2H5	+ H2		2.968316e+04
  R130	H	+ C2H2O		= CO	+ CH3		2.395243e+04
  R127	H	+ C2H		= C2H2			2.089448e+04
  R138	H	+ C2H4O		= CH4	+ CHO		1.971199e+04
  R137	H	+ C2H4O		= C2H3O	+ H2		1.211922e+04
  R132	H	+ C2H3		= C2H2	+ H2		4.280263e+03
  R189	H	+ NO2		= OH	+ NO		3.208244e+02
  R136	H	+ C2H4O		= C2H5O			3.355033e+01
  M23	N	+ H		= NH			5.153661e+00
  R175	H	+ HNO2		= OH	+ HNO		2.842480e+00
  R161	H	+ CH4O2		= H2	+ CH3O2		1.512604e+00
  M14	H	+ NH2		= NH3			1.332883e+00
  R160	H	+ CH4O2		= CH3O	+ H2O		1.253596e+00
  R177	H	+ HNO2		= H2O	+ NO		1.156514e+00
  R165	H	+ CO2		= CO	+ OH		9.562529e-01
  R171	H	+ HCNO		= CO	+ NH2		1.355405e-01
  R163	H	+ CNO		= CO	+ NH		4.431654e-02
  R176	H	+ HNO2		= H2	+ NO2		4.327831e-02
  R190	H	+ NO3		= OH	+ NO2		3.715290e-02
  R150	H	+ CH3NO2	= CH4O	+ NO		2.600555e-02
  M11	H	+ CN		= HCN			1.863867e-03
  R149	H	+ CH3		= CH2	+ H2		5.025595e-04
  R135	H	+ C2H4		= C2H3	+ H2		6.948907e-07
  R173	H	+ HNO		= OH	+ NH		3.678065e-07
  R186	H	+ NH3		= H2	+ NH2		3.317573e-07
  R178	H	+ HNO3		= H2O	+ NO2		1.062522e-08
  R164	H	+ CNO		= HCN	+ O		5.803350e-10
  R560	HS	+ H		= H2	+ S		7.346710e-12
  M51	H	+ SO		= HSO			7.212303e-12
  R575	HSO	+ H		= HS	+ OH		6.592025e-12
  R169	H	+ HCNO		= H2	+ CNO		4.241919e-12
  R576	HSO	+ H		= H2	+ SO		5.859578e-13
  M48	SO2	+ H		= HOSO			3.204063e-13
  R567	HSO3	+ H		= H2	+ SO3		2.069679e-13
  R179	H	+ HNO3		= H2	+ NO3		1.488912e-14
  R156	H	+ CH3O2		= CH4	+ O2		9.184506e-15
  R230	H2S	+ H		= H2	+ HS		8.397067e-15
  R641	N2H3	+ H		= NH2	+ NH2		2.275315e-15
  R554	SO3	+ H		= OH	+ SO2		1.794056e-15
  R639	N2H4	+ H		= N2H3	+ H2		5.449507e-16
  R174	H	+ HNO		= NH2	+ O		1.797540e-16
  R183	H	+ N2O		= NO	+ NH		4.841036e-17
  R129	H	+ C2H2		= C2H	+ H2		1.538519e-18
  R128	H	+ C2H		= H2	+ C2		1.390523e-30
  R188	H	+ NO		= OH	+ N		3.163372e-32
  R187	H	+ NO		= NH	+ O		5.002164e-48
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

************************************************************

OH				PRODUCTION RXS		INT RX RATE	TP = 3.28e+12

  P6	H2O			= H	+ OH		2.809754e+12
  R180	H	+ HO2		= OH	+ OH		1.993531e+11 (x2)
  M16	H	+ O		= OH			5.702058e+10
  R441	O	+ HO2		= OH	+ O2		8.074216e+09
  R428	O	+ CHO2		= CO2	+ OH		5.900928e+09
  R153	H	+ CH3O		= CH3	+ OH		7.404222e+08
  P7	H2O2			= OH	+ OH		4.927193e+08 (x2)
  P5	HO2			= O	+ OH		3.168908e+08
  R192	H	+ O3		= OH	+ O2		1.625857e+08
  R433	O	+ H2		= H	+ OH		9.923860e+07
  R426	O	+ CHO		= CO	+ OH		7.117116e+07
  R167	H	+ H2O2		= OH	+ H2O		3.641553e+07
  R155	H	+ CH3O2		= CH3O	+ OH		2.767260e+07
  R413	O	+ CH2O		= CHO	+ OH		2.698705e+07
  R455	O(1D)	+ H2		= H	+ OH		2.039539e+07
  R419	O	+ CH3O		= CH2O	+ OH		2.447787e+06
  R166	H	+ H2O		= H2	+ OH		1.267978e+06
  R456	O(1D)	+ H2O		= OH	+ OH		2.806148e+05 (x2)
  R424	O	+ CH4O		= CH3O	+ OH		2.002741e+05
  R409	O	+ CH2		= CH	+ OH		9.786594e+04
  R423	O	+ CH4		= CH3	+ OH		5.441768e+04
  R401	O	+ C2H4O		= C2H3O	+ OH		1.699026e+04
  R450	O(1D)	+ CH4		= CH3	+ OH		1.557209e+04
  R404	O	+ C2H5		= C2H4	+ OH		9.211134e+03
  R434	O	+ H2O2		= OH	+ HO2		4.169700e+03
  R439	O	+ HNO		= OH	+ NO		1.431052e+03
  P14	HNO2			= NO	+ OH		1.091764e+03
  R394	O	+ C2H3		= C2H2	+ OH		5.722893e+02
  R189	H	+ NO2		= OH	+ NO		3.208244e+02
  R453	O(1D)	+ CH4O		= CH3O	+ OH		2.713193e+02
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	2.433468e+02
  P24	CH4O2			= CH3O	+ OH		2.013040e+01
  R259	HO2	+ NO		= OH	+ NO2		1.923148e+01
  R406	O	+ C2H6		= C2H5	+ OH		1.048673e+01
  R407	O	+ CH		= OH	+ C		6.337128e+00
  R397	O	+ C2H4		= C2H3	+ OH		5.952102e+00
  R175	H	+ HNO2		= OH	+ HNO		2.842480e+00
  R448	O(1D)	+ C2H6		= C2H5	+ OH		1.922438e+00
  R165	H	+ CO2		= CO	+ OH		9.562529e-01
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	6.984366e-01
  R305	NH	+ O		= OH	+ N		4.357014e-01
  R215	H2O	+ C2H		= C2H2	+ OH		4.077257e-01
  R45	CH2	+ CH3O		= C2H4	+ OH		2.716868e-01
  R261	HO2	+ O3		= OH	+ O2	+ O2	1.905590e-01
  R447	O(1D)	+ C2H4		= C2H3	+ OH		4.530551e-02
  R190	H	+ NO3		= OH	+ NO2		3.715290e-02
  T48	CHO2			= CO	+ OH		2.771716e-02
  P15	HNO3			= NO2	+ OH		2.479991e-02
  R342	NO	+ CH		= CN	+ OH		2.478408e-02
  T37	C2H5O			= C2H4	+ OH		1.010082e-02
  R323	NH2	+ O		= OH	+ NH		9.792851e-03
  R425	O	+ CH4O2		= CH3O2	+ OH		2.055043e-03
  R369	NO2	+ CHO		= NO	+ CO	+ OH	9.698774e-04
  R306	NH	+ O2		= OH	+ NO		1.574363e-04
  P19	HNO4			= NO3	+ OH		4.208318e-06
  R319	NH2	+ H2O		= OH	+ NH3		1.469451e-06
  R201	NH	+ NO		= OH	+ N2		5.036527e-07
  R219	H2O	+ CN		= HCN	+ OH		4.412756e-07
  R173	H	+ HNO		= OH	+ NH		3.678065e-07
  R220	H2O	+ CNO		= HCNO	+ OH		2.373898e-07
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	2.967915e-08
  R217	H2O	+ C2H5		= C2H6	+ OH		1.700124e-08
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	1.201558e-08
  T31	C2H3O			= C2H2	+ OH		4.125906e-09
  P27	CH2O2			= CHO	+ OH		4.084421e-09
  R248	HO2	+ C2H4		= C2H4O	+ OH		2.465846e-09
  R461	O(1D)	+ NH3		= OH	+ NH2		2.239962e-09
  R245	HO2	+ C2H2		= C2H2O	+ OH		1.731910e-09
  R303	NH	+ NO2		= OH	+ N2O		6.814983e-11
  R575	HSO	+ H		= HS	+ OH		6.592025e-12
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	2.998499e-12
  R437	O	+ HCNO		= CNO	+ OH		3.932761e-13
  R578	HSO	+ O		= OH	+ SO		2.312611e-14
  R571	S	+ HO2		= SO	+ OH		3.001325e-15
  R274	HSO3	+ O		= OH	+ SO3		2.048289e-15
  R554	SO3	+ H		= OH	+ SO2		1.794056e-15
  T3	H2O2			= OH	+ OH		4.193970e-16 (x2)
  R263	HS	+ HO2		= OH	+ HSO		6.282079e-18
  T9	HNO2			= OH	+ NO		2.446093e-19
  R558	HSO	+ O2		= OH	+ SO2		1.603824e-19
  R231	H2S	+ O		= OH	+ HS		2.944108e-21
  T17	CH3O2			= CH2O	+ OH		1.023936e-21
  T53	HSO3			= OH	+ SO2		2.355124e-22
  R268	HS	+ O2		= SO	+ OH		1.110519e-22
  T23	CH4O2			= CH3O	+ OH		3.564151e-23
  T10	HNO3			= OH	+ NO2		1.816101e-23
  R287	N	+ H2O		= OH	+ NH		7.779924e-26
  R188	H	+ NO		= OH	+ N		3.163372e-32
  R214	H2O	+ C		= CH	+ OH		2.009769e-36
  R122	CO	+ CH3		= C2H2	+ OH		1.149558e-38
  T20	CH4O			= CH3	+ OH		2.859519e-42

OH				LOSS RXS		INT RX RATE	TL = 3.28e+12

  R512	OH	+ H2		= H2O	+ H		2.065020e+12
  M18	H	+ OH		= H2O			6.949947e+11
  R445	O	+ OH		= O2	+ H		2.143799e+11
  M89	OH	+ CO		= CO2	+ H		2.102235e+11
  M39	OH	+ CO		= CHO2			3.162258e+10
  R505	OH	+ CHO2		= CO2	+ H2O		2.422112e+10
  R526	OH	+ OH		= H2O	+ O		1.137948e+10 (x2)
  R493	OH	+ CH2O		= CHO	+ H2O		7.402629e+09
  R522	OH	+ HO2		= H2O	+ O2		6.051212e+09
  R501	OH	+ CH4		= CH3	+ H2O		2.549734e+09
  M44	OH	+ OH		= H2O2			8.488857e+08 (x2)
  R502	OH	+ CH4O		= CH3O	+ H2O		5.793706e+08
  R513	OH	+ H2O2		= H2O	+ HO2		3.164358e+08
  R504	OH	+ CHO		= CO	+ H2O		1.238562e+08
  R489	OH	+ C2H4O		= C2H3O	+ H2O		1.939851e+06
  M38	OH	+ C2H4		= C2H5O			1.867023e+06
  R483	OH	+ C2H2O		= CO	+ CH3O		8.994909e+05
  R499	OH	+ CH3O		= CH2O	+ H2O		4.919634e+05
  R496	OH	+ CH3		= CH2	+ H2O		2.818848e+05
  R500	OH	+ CH3O2		= CH4O	+ O2		2.444117e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		2.248237e+05
  R492	OH	+ CH2		= CH2O	+ H		7.409886e+04
  R481	OH	+ C2H2		= C2HO	+ H2		2.832358e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		1.986821e+04
  R490	OH	+ C2H5		= C2H4	+ H2O		1.845836e+04
  M42	OH	+ NO		= HNO2			1.110148e+03
  R503	OH	+ CH4O2		= CH3O2	+ H2O		2.905164e+02
  R525	OH	+ O3		= HO2	+ O2		2.589643e+02
  R485	OH	+ C2H3		= C2H4O			1.426763e+02
  R486	OH	+ C2H3		= C2H2	+ H2O		1.426763e+02
  R519	OH	+ HNO		= H2O	+ NO		1.290419e+02
  R482	OH	+ C2H2		= CO	+ CH3		3.431909e+01
  R477	OH	+ C2H		= CO	+ CH2		1.868721e+01
  R478	OH	+ C2H		= C2H2	+ O		1.868721e+01
  R520	OH	+ HNO2		= H2O	+ NO2		1.381537e+01
  R295	N	+ OH		= NO	+ H		1.267803e+01
  R308	NH	+ OH		= H	+ HNO		4.346619e-01
  R488	OH	+ C2H4		= C2H3	+ H2O		7.952563e-02
  M43	OH	+ NO2		= HNO3			3.788937e-02
  R506	OH	+ CN		= H	+ CNO		3.783287e-02
  R309	NH	+ OH		= H2O	+ N		2.466862e-02
  R523	OH	+ NH3		= H2O	+ NH2		8.760629e-03
  M41	OH	+ HNO3		= H2O	+ NO3		6.810738e-03
  R517	OH	+ HCNO		= CNO	+ H2O		1.232568e-04
  R326	NH2	+ OH		= H2O	+ NH		8.440001e-05
  R644	NH2	+ OH		= NH3	+ O		5.719896e-05
  R507	OH	+ CN		= O	+ HCN		2.133247e-05
  R524	OH	+ NO3		= HO2	+ NO2		1.161545e-05
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	6.721662e-06
  R516	OH	+ HCN		= CN	+ H2O		3.068055e-06
  R495	OH	+ CH3		= CH3O	+ H		6.447149e-08
  R509	OH	+ CNO		= HCNO	+ O		6.538133e-09
  R494	OH	+ CH2O2		= CHO2	+ H2O		3.771892e-09
  R515	OH	+ HCN		= CO	+ NH2		1.101380e-09
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	2.756865e-10
  R480	OH	+ C2H2		= C2H	+ H2O		9.568134e-12
  R527	OH	+ S		= H	+ SO		6.476104e-12
  R528	OH	+ SO		= SO2	+ H		2.961099e-12
  R479	OH	+ C2H2		= C2H2O	+ H		8.095037e-13
  M50	SO2	+ OH		= HSO3			2.100193e-13
  R40	NH	+ OH		= NH2	+ O		1.892597e-13
  R574	HSO	+ OH		= H2O	+ SO		8.826025e-15
  R566	HSO3	+ OH		= H2O	+ SO3		7.434421e-16
  R232	H2S	+ OH		= H2O	+ HS		9.575758e-18
  M47	SO	+ OH		= HOSO			6.648873e-18
  R473	OCS	+ OH		= CO2	+ HS		4.611121e-26
  R556	SO3	+ OH		= HO2	+ SO2		7.449321e-48
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00
  M37	OH	+ C2H2		= C2H3O			0.000000e+00

************************************************************

H2O				PRODUCTION RXS		INT RX RATE	TP = 2.82e+12

  R512	OH	+ H2		= H2O	+ H		2.065020e+12
  M18	H	+ OH		= H2O			6.949947e+11
  R505	OH	+ CHO2		= CO2	+ H2O		2.422112e+10
  R526	OH	+ OH		= H2O	+ O		1.137948e+10
  R493	OH	+ CH2O		= CHO	+ H2O		7.402629e+09
  R522	OH	+ HO2		= H2O	+ O2		6.051212e+09
  R181	H	+ HO2		= O	+ H2O		4.430069e+09
  R501	OH	+ CH4		= CH3	+ H2O		2.549734e+09
  R502	OH	+ CH4O		= CH3O	+ H2O		5.793706e+08
  R513	OH	+ H2O2		= H2O	+ HO2		3.164358e+08
  R504	OH	+ CHO		= CO	+ H2O		1.238562e+08
  R167	H	+ H2O2		= OH	+ H2O		3.641553e+07
  R489	OH	+ C2H4O		= C2H3O	+ H2O		1.939851e+06
  R499	OH	+ CH3O		= CH2O	+ H2O		4.919634e+05
  R496	OH	+ CH3		= CH2	+ H2O		2.818848e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		2.248237e+05
  R487	OH	+ C2H3O		= C2H2O	+ H2O		1.986821e+04
  R490	OH	+ C2H5		= C2H4	+ H2O		1.845836e+04
  R503	OH	+ CH4O2		= CH3O2	+ H2O		2.905164e+02
  R486	OH	+ C2H3		= C2H2	+ H2O		1.426763e+02
  R519	OH	+ HNO		= H2O	+ NO		1.290419e+02
  R520	OH	+ HNO2		= H2O	+ NO2		1.381537e+01
  R160	H	+ CH4O2		= CH3O	+ H2O		1.253596e+00
  R177	H	+ HNO2		= H2O	+ NO		1.156514e+00
  R488	OH	+ C2H4		= C2H3	+ H2O		7.952563e-02
  R309	NH	+ OH		= H2O	+ N		2.466862e-02
  R523	OH	+ NH3		= H2O	+ NH2		8.760629e-03
  M41	OH	+ HNO3		= H2O	+ NO3		6.810738e-03
  R517	OH	+ HCNO		= CNO	+ H2O		1.232568e-04
  R326	NH2	+ OH		= H2O	+ NH		8.440001e-05
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	6.721662e-06
  R516	OH	+ HCN		= CN	+ H2O		3.068055e-06
  R178	H	+ HNO3		= H2O	+ NO2		1.062522e-08
  R320	NH2	+ NO		= H2O	+ N2		4.980988e-09
  R494	OH	+ CH2O2		= CHO2	+ H2O		3.771892e-09
  P29	CH2O2			= H2O	+ CO		8.752331e-10
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	2.756865e-10
  R325	NH2	+ O3		= H2O	+ NO2		9.757932e-11
  R480	OH	+ C2H2		= C2H	+ H2O		9.568134e-12
  R321	NH2	+ NO2		= H2O	+ N2O		3.225063e-13
  P50	H2SO4			= SO3	+ H2O		2.115049e-14
  R574	HSO	+ OH		= H2O	+ SO		8.826025e-15
  R566	HSO3	+ OH		= H2O	+ SO3		7.434421e-16
  R232	H2S	+ OH		= H2O	+ HS		9.575758e-18
  T24	CH4O2			= CH2O	+ H2O		4.859484e-27
  T22	CH4O			= CH21	+ H2O		3.286302e-43
  T16	CH2O2			= CO	+ H2O		1.816478e-48
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00

H2O				LOSS RXS		INT RX RATE	TL = 2.82e+12

  P6	H2O			= H	+ OH		2.809754e+12
  P73	H2O			= H	+ H	+ O	2.712356e+09
  P72	H2O			= H2	+ O(1D)		2.394358e+09
  R218	H2O	+ CH		= CH3O			1.832970e+08
  R166	H	+ H2O		= H2	+ OH		1.267978e+06
  R456	O(1D)	+ H2O		= OH	+ OH		2.806148e+05
  R215	H2O	+ C2H		= C2H2	+ OH		4.077257e-01
  R319	NH2	+ H2O		= OH	+ NH3		1.469451e-06
  R219	H2O	+ CN		= HCN	+ OH		4.412756e-07
  R220	H2O	+ CNO		= HCNO	+ OH		2.373898e-07
  R217	H2O	+ C2H5		= C2H6	+ OH		1.700124e-08
  R565	SO3	+ H2O		= H2SO4			2.081210e-13
  R287	N	+ H2O		= OH	+ NH		7.779924e-26
  R214	H2O	+ C		= CH	+ OH		2.009769e-36

************************************************************

H2				PRODUCTION RXS		INT RX RATE	TP = 2.06e+12

  M13	H	+ H		= H2			1.194914e+12
  R162	H	+ CHO		= CO	+ H2		7.136255e+11
  R148	H	+ CH2O		= H2	+ CHO		1.085982e+11
  R182	H	+ HO2		= H2	+ O2		1.910467e+10
  P21	CH2O			= CO	+ H2		1.676365e+10
  P33	CH4			= CH21	+ H2		2.621063e+09
  P72	H2O			= H2	+ O(1D)		2.394358e+09
  R157	H	+ CH4		= CH3	+ H2		6.883636e+08
  R159	H	+ CH4O		= CH3O	+ H2		5.859294e+08
  R416	O	+ CH3		= CO	+ H2	+ H	3.199930e+08
  R596	CH21	+ H2		= CH2	+ H2		3.143211e+08
  R146	H	+ CH2		= CH	+ H2		3.047994e+08
  P34	CH4			= CH	+ H2	+ H	2.967241e+08
  R145	H	+ CH		= C	+ H2		7.010400e+07
  R154	H	+ CH3O		= CH2O	+ H2		4.627639e+07
  R168	H	+ H2O2		= H2	+ HO2		3.855190e+06
  R142	H	+ C2H5O		= C2H4O	+ H2		1.959008e+06
  R166	H	+ H2O		= H2	+ OH		1.267978e+06
  R412	O	+ CH2		= CO	+ H2		9.922519e+05
  R134	H	+ C2H3O		= C2H2O	+ H2		8.975510e+05
  R172	H	+ HNO		= H2	+ NO		3.387676e+05
  R141	H	+ C2H5		= C2H4	+ H2		1.089850e+05
  P64	C2H6			= C2H2	+ H2	+ H2	3.534623e+04 (x2)
  R143	H	+ C2H6		= C2H5	+ H2		2.968316e+04
  R481	OH	+ C2H2		= C2HO	+ H2		2.832358e+04
  P62	C2H6			= C2H4	+ H2		1.832767e+04
  P58	C2H4			= C2H2	+ H2		1.773742e+04
  R137	H	+ C2H4O		= C2H3O	+ H2		1.211922e+04
  R399	O	+ C2H4		= C2H2O	+ H2		5.663547e+03
  R132	H	+ C2H3		= C2H2	+ H2		4.280263e+03
  R451	O(1D)	+ CH4		= CH2O	+ H2		1.033546e+03
  R161	H	+ CH4O2		= H2	+ CH3O2		1.512604e+00
  R176	H	+ HNO2		= H2	+ NO2		4.327831e-02
  R282	N	+ CH3		= H2	+ HCN		9.155366e-03
  R324	NH2	+ O		= H2	+ NO		7.006954e-03
  R149	H	+ CH3		= CH2	+ H2		5.025595e-04
  P43	NH3			= NH	+ H2		8.693496e-05
  P69	CH5N			= HCN	+ H2	+ H2	6.785864e-05 (x2)
  R327	NH3	+ CH		= HCN	+ H2	+ H	7.748128e-06
  R135	H	+ C2H4		= C2H3	+ H2		6.948907e-07
  R186	H	+ NH3		= H2	+ NH2		3.317573e-07
  R95	CH4	+ CH3		= H2	+ C2H5		9.418325e-09
  R560	HS	+ H		= H2	+ S		7.346710e-12
  R169	H	+ HCNO		= H2	+ CNO		4.241919e-12
  R576	HSO	+ H		= H2	+ SO		5.859578e-13
  R567	HSO3	+ H		= H2	+ SO3		2.069679e-13
  R179	H	+ HNO3		= H2	+ NO3		1.488912e-14
  R230	H2S	+ H		= H2	+ HS		8.397067e-15
  R639	N2H4	+ H		= N2H3	+ H2		5.449507e-16
  R129	H	+ C2H2		= C2H	+ H2		1.538519e-18
  R128	H	+ C2H		= H2	+ C2		1.390523e-30
  T14	CH2O			= CO	+ H2		2.444470e-41
  P67	N2H2			= N2	+ H2		2.787656e-43
  T21	CH4O			= CH2O	+ H2		7.775515e-45
  T34	C2H4O			= C2H2O	+ H2		3.512679e-45
  T15	CH2O2			= CO2	+ H2		2.550946e-49
