  R295	N	+ OH		= NO	+ H		1.130942e+01
  R304	NH	+ O		= NO	+ H		3.114707e+00
  P42	NH3			= NH2	+ H		1.822812e+00
  R204	H2	+ CH3O		= CH4O	+ H		3.906324e-01
  R206	H2	+ CHO		= CH2O	+ H		3.194643e-01
  R308	NH	+ OH		= H	+ HNO		2.155031e-01
  R322	NH2	+ O		= H	+ HNO		7.338562e-02
  T38	C2H5O			= C2H4O	+ H		6.708134e-02
  P41	HCN			= H	+ CN		5.552542e-02
  T49	CHO2			= CO2	+ H		2.644554e-02
  R198	H2	+ C2H5		= C2H6	+ H		9.483405e-03
  R506	OH	+ CN		= H	+ CNO		3.354310e-03
  R339	NO	+ CH		= H	+ CNO		2.341871e-03
  R207	H2	+ CN		= HCN	+ H		1.352789e-03
  R281	N	+ CH		= CN	+ H		5.472699e-04
  R370	NO2	+ CHO		= NO	+ CO2	+ H	3.402041e-04
  R212	H2	+ NH2		= NH3	+ H		1.807660e-04
  R435	O	+ HCN		= H	+ CNO		4.945515e-05
  R301	NH	+ NO		= N2O	+ H		1.141001e-06
  R197	H2	+ C2H3		= C2H4	+ H		7.498062e-07
  R327	NH3	+ CH		= HCN	+ H2	+ H	1.159459e-07
  R495	OH	+ CH3		= CH3O	+ H		9.274985e-08
  P28	CH2O2			= CHO2	+ H		1.756847e-08
  R277	N	+ C2H3		= C2H2N	+ H		1.124600e-08
  R209	H2	+ HO2		= H2O2	+ H		6.526074e-11
  R289	N	+ NH		= N2	+ H		3.799416e-11
  P70	C2H5N			= HCN	+ CH3	+ H	6.774937e-12
  T27	C2H5			= C2H4	+ H		7.803266e-13
  R479	OH	+ C2H2		= C2H2O	+ H		1.266096e-13
  P68	N2H4			= N2H3	+ H		4.006435e-15
  R3	C	+ H2		= CH	+ H		3.631214e-15
  R205	H2	+ CH3O2		= CH4O2	+ H		3.239816e-18
  R213	H2	+ NO2		= H	+ HNO2		5.061227e-19
  T8	HNO			= H	+ NO		4.134836e-21
  T2	HO2			= O2	+ H		8.713967e-22
  T25	C2H3			= C2H2	+ H		1.563987e-29
  R546	SO2	+ C2H		= CO	+ OCS	+ H	4.308814e-30
  R10	H2	+ C2H4		= C2H5	+ H		1.177878e-45
  R41	H2	+ C2H2		= C2H3	+ H		2.051332e-50
  T28	C2H6			= C2H5	+ H		1.410727e-52
  T19	CH4O			= CH3O	+ H		7.239512e-53
  T57	HCN			= H	+ CN		6.511922e-76
  R266	HS	+ O		= H	+ SO		0.000000e+00
  R527	OH	+ S		= H	+ SO		0.000000e+00
  R528	OH	+ SO		= SO2	+ H		0.000000e+00
  R533	S	+ HS		= H	+ S2		0.000000e+00
  T42	HSO			= SO	+ H		0.000000e+00
  T43	HOSO			= SO2	+ H		0.000000e+00
  T59	H2S			= HS	+ H		0.000000e+00
  P38	H2			= H	+ H		0.000000e+00 (x2)
  P45	H2S			= HS	+ H		0.000000e+00

H				LOSS RXS		INT RX RATE	TL = 3.78e+12

  M12	H	+ CO		= CHO			7.210819e+11
  R162	H	+ CHO		= CO	+ H2		6.976623e+11
  M13	H	+ H		= H2			5.370599e+11 (x2)
  M18	H	+ OH		= H2O			3.910167e+11
  M17	H	+ O2		= HO2			3.238428e+11
  R180	H	+ HO2		= OH	+ OH		2.219089e+11
  M10	H	+ CHO		= CH2O			1.554198e+11
  R148	H	+ CH2O		= H2	+ CHO		1.008039e+11
  M16	H	+ O		= OH			5.599058e+10
  R182	H	+ HO2		= H2	+ O2		2.126627e+10
  R181	H	+ HO2		= O	+ H2O		4.931309e+09
  M57	H	+ CH3		= CH4			2.660192e+09
  R192	H	+ O3		= OH	+ O2		1.120919e+09
  R152	H	+ CH3O		= CH4O			1.114872e+09
  M88	H	+ CH2O		= CH3O			6.774783e+08
  R153	H	+ CH3O		= CH3	+ OH		6.217929e+08
  R159	H	+ CH4O		= CH3O	+ H2		5.197453e+08
  R157	H	+ CH4		= CH3	+ H2		1.792218e+08
  R146	H	+ CH2		= CH	+ H2		7.728490e+07
  R155	H	+ CH3O2		= CH3O	+ OH		7.532702e+07
  R154	H	+ CH3O		= CH2O	+ H2		3.886206e+07
  R167	H	+ H2O2		= OH	+ H2O		2.466874e+07
  R145	H	+ CH		= C	+ H2		7.301537e+06
  R168	H	+ H2O2		= H2	+ HO2		2.738322e+06
  R166	H	+ H2O		= H2	+ OH		1.294870e+06
  R133	H	+ C2H3O		= CHO	+ CH3		7.509774e+05
  R142	H	+ C2H5O		= C2H4O	+ H2		4.138024e+05
  R134	H	+ C2H3O		= C2H2O	+ H2		4.096241e+05
  M15	H	+ NO		= HNO			1.834053e+05
  R172	H	+ HNO		= H2	+ NO		1.766585e+05
  M9	H	+ C2H4		= C2H5			1.704368e+05
  M56	H	+ CH2		= CH3			1.683097e+05
  R140	H	+ C2H5		= CH3	+ CH3		1.231966e+05
  M58	H	+ C2H5		= C2H6			2.913814e+04
  R138	H	+ C2H4O		= CH4	+ CHO		1.342245e+04
  R130	H	+ C2H2O		= CO	+ CH3		1.226856e+04
  R143	H	+ C2H6		= C2H5	+ H2		1.026476e+04
  R137	H	+ C2H4O		= C2H3O	+ H2		8.252325e+03
  M7	H	+ C2H2		= C2H3			7.527085e+03
  R141	H	+ C2H5		= C2H4	+ H2		6.159828e+03
  R131	H	+ C2H3		= C2H4			5.383230e+03
  R127	H	+ C2H		= C2H2			5.206729e+03
  R189	H	+ NO2		= OH	+ NO		7.284586e+02
  R132	H	+ C2H3		= C2H2	+ H2		5.909265e+02
  R161	H	+ CH4O2		= H2	+ CH3O2		6.019879e+01
  R160	H	+ CH4O2		= CH3O	+ H2O		4.989078e+01
  R136	H	+ C2H4O		= C2H5O			2.764384e+01
  M23	N	+ H		= NH			3.624286e+00
  R175	H	+ HNO2		= OH	+ HNO		2.388331e+00
  M14	H	+ NH2		= NH3			2.010981e+00
  R165	H	+ CO2		= CO	+ OH		9.890532e-01
  R177	H	+ HNO2		= H2O	+ NO		9.319920e-01
  R190	H	+ NO3		= OH	+ NO2		4.643315e-01
  R171	H	+ HCNO		= CO	+ NH2		2.522287e-01
  R176	H	+ HNO2		= H2	+ NO2		4.147451e-02
  R150	H	+ CH3NO2	= CH4O	+ NO		2.072117e-02
  R163	H	+ CNO		= CO	+ NH		4.855676e-03
  R149	H	+ CH3		= CH2	+ H2		3.385436e-04
  M11	H	+ CN		= HCN			1.901497e-04
  R186	H	+ NH3		= H2	+ NH2		8.604822e-07
  R135	H	+ C2H4		= C2H3	+ H2		4.132985e-07
  R173	H	+ HNO		= OH	+ NH		2.584670e-07
  R178	H	+ HNO3		= H2O	+ NO2		2.886507e-08
  R164	H	+ CNO		= HCN	+ O		1.248750e-10
  R169	H	+ HCNO		= H2	+ CNO		2.455436e-11
  R179	H	+ HNO3		= H2	+ NO3		4.878511e-14
  R156	H	+ CH3O2		= CH4	+ O2		1.074143e-14
  R641	N2H3	+ H		= NH2	+ NH2		5.374206e-15
  R639	N2H4	+ H		= N2H3	+ H2		1.367741e-15
  R174	H	+ HNO		= NH2	+ O		1.349927e-16
  R183	H	+ N2O		= NO	+ NH		9.697625e-17
  R129	H	+ C2H2		= C2H	+ H2		2.506151e-18
  M48	SO2	+ H		= HOSO			5.957082e-25
  R567	HSO3	+ H		= H2	+ SO3		8.367518e-29
  R128	H	+ C2H		= H2	+ C2		8.715102e-32
  R188	H	+ NO		= OH	+ N		2.455842e-32
  R187	H	+ NO		= NH	+ O		3.912424e-48
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00
  R230	H2S	+ H		= H2	+ HS		0.000000e+00
  R554	SO3	+ H		= OH	+ SO2		0.000000e+00
  R560	HS	+ H		= H2	+ S		0.000000e+00
  R575	HSO	+ H		= HS	+ OH		0.000000e+00
  R576	HSO	+ H		= H2	+ SO		0.000000e+00
  M51	H	+ SO		= HSO			0.000000e+00

************************************************************

OH				PRODUCTION RXS		INT RX RATE	TP = 2.43e+12

  P6	H2O			= H	+ OH		1.852936e+12
  R180	H	+ HO2		= OH	+ OH		2.219089e+11 (x2)
  M16	H	+ O		= OH			5.599058e+10
  R441	O	+ HO2		= OH	+ O2		5.567104e+10
  R428	O	+ CHO2		= CO2	+ OH		1.294870e+10
  P5	HO2			= O	+ OH		2.382287e+09
  R192	H	+ O3		= OH	+ O2		1.120919e+09
  R153	H	+ CH3O		= CH3	+ OH		6.217929e+08
  P7	H2O2			= OH	+ OH		5.225440e+08 (x2)
  R426	O	+ CHO		= CO	+ OH		2.065302e+08
  R433	O	+ H2		= H	+ OH		1.545688e+08
  R155	H	+ CH3O2		= CH3O	+ OH		7.532702e+07
  R413	O	+ CH2O		= CHO	+ OH		5.366812e+07
  R167	H	+ H2O2		= OH	+ H2O		2.466874e+07
  R455	O(1D)	+ H2		= H	+ OH		1.141329e+07
  R419	O	+ CH3O		= CH2O	+ OH		5.293540e+06
  R166	H	+ H2O		= H2	+ OH		1.294870e+06
  R424	O	+ CH4O		= CH3O	+ OH		3.840185e+05
  R409	O	+ CH2		= CH	+ OH		2.333075e+05
  R456	O(1D)	+ H2O		= OH	+ OH		6.409579e+04 (x2)
  R423	O	+ CH4		= CH3	+ OH		5.719828e+04
  R434	O	+ H2O2		= OH	+ HO2		8.774847e+03
  R401	O	+ C2H4O		= C2H3O	+ OH		8.741190e+03
  P24	CH4O2			= CH3O	+ OH		6.573067e+03
  R404	O	+ C2H5		= C2H4	+ OH		5.009097e+03
  R450	O(1D)	+ CH4		= CH3	+ OH		4.620092e+03
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	3.872088e+03
  R439	O	+ HNO		= OH	+ NO		1.794103e+03
  P14	HNO2			= NO	+ OH		9.806892e+02
  R394	O	+ C2H3		= C2H2	+ OH		8.060459e+02
  R189	H	+ NO2		= OH	+ NO		7.284586e+02
  R259	HO2	+ NO		= OH	+ NO2		1.761604e+02
  R261	HO2	+ O3		= OH	+ O2	+ O2	7.333173e+01
  R453	O(1D)	+ CH4O		= CH3O	+ OH		5.739329e+01
  R406	O	+ C2H6		= C2H5	+ OH		1.159795e+01
  R407	O	+ CH		= OH	+ C		7.993277e+00
  R397	O	+ C2H4		= C2H3	+ OH		5.750822e+00
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	4.164725e+00
  R175	H	+ HNO2		= OH	+ HNO		2.388331e+00
  R165	H	+ CO2		= CO	+ OH		9.890532e-01
  R45	CH2	+ CH3O		= C2H4	+ OH		7.741594e-01
  R425	O	+ CH4O2		= CH3O2	+ OH		5.513204e-01
  R190	H	+ NO3		= OH	+ NO2		4.643315e-01
  P15	HNO3			= NO2	+ OH		3.569125e-01
  R215	H2O	+ C2H		= C2H2	+ OH		3.375827e-01
  R305	NH	+ O		= OH	+ N		3.114707e-01
  R448	O(1D)	+ C2H6		= C2H5	+ OH		2.742861e-01
  T48	CHO2			= CO	+ OH		4.343459e-02
  R323	NH2	+ O		= OH	+ NH		1.139589e-02
  R447	O(1D)	+ C2H4		= C2H3	+ OH		1.063799e-02
  T37	C2H5O			= C2H4	+ OH		8.581603e-03
  R342	NO	+ CH		= CN	+ OH		8.196549e-03
  R369	NO2	+ CHO		= NO	+ CO	+ OH	7.707489e-03
  P19	HNO4			= NO3	+ OH		9.622598e-04
  R306	NH	+ O2		= OH	+ NO		8.624238e-05
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	1.641194e-05
  R319	NH2	+ H2O		= OH	+ NH3		4.638961e-06
  R219	H2O	+ CN		= HCN	+ OH		1.771674e-06
  R220	H2O	+ CNO		= HCNO	+ OH		9.825513e-07
  R173	H	+ HNO		= OH	+ NH		2.584670e-07
  R201	NH	+ NO		= OH	+ N2		2.471144e-07
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	1.211183e-07
  P27	CH2O2			= CHO	+ OH		8.198618e-08
  R217	H2O	+ C2H5		= C2H6	+ OH		1.095311e-08
  R245	HO2	+ C2H2		= C2H2O	+ OH		5.614436e-09
  R248	HO2	+ C2H4		= C2H4O	+ OH		4.267009e-09
  T31	C2H3O			= C2H2	+ OH		3.591612e-09
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	2.735932e-10
  R303	NH	+ NO2		= OH	+ N2O		1.027252e-10
  R461	O(1D)	+ NH3		= OH	+ NH2		7.244120e-11
  R437	O	+ HCNO		= CNO	+ OH		1.067188e-12
  T3	H2O2			= OH	+ OH		2.423248e-15 (x2)
  T9	HNO2			= OH	+ NO		5.008378e-19
  T23	CH4O2			= CH3O	+ OH		1.031069e-19
  T17	CH3O2			= CH2O	+ OH		1.294811e-20
  T10	HNO3			= OH	+ NO2		7.416682e-23
  R287	N	+ H2O		= OH	+ NH		1.145424e-25
  R274	HSO3	+ O		= OH	+ SO3		3.384144e-27
  R188	H	+ NO		= OH	+ N		2.455842e-32
  R214	H2O	+ C		= CH	+ OH		9.687778e-36
  R122	CO	+ CH3		= C2H2	+ OH		1.030390e-38
  T20	CH4O			= CH3	+ OH		3.139156e-42
  T53	HSO3			= OH	+ SO2		1.102379e-43
  R231	H2S	+ O		= OH	+ HS		0.000000e+00
  R263	HS	+ HO2		= OH	+ HSO		0.000000e+00
  R268	HS	+ O2		= SO	+ OH		0.000000e+00
  R554	SO3	+ H		= OH	+ SO2		0.000000e+00
  R558	HSO	+ O2		= OH	+ SO2		0.000000e+00
  R571	S	+ HO2		= SO	+ OH		0.000000e+00
  R575	HSO	+ H		= HS	+ OH		0.000000e+00
  R578	HSO	+ O		= OH	+ SO		0.000000e+00

OH				LOSS RXS		INT RX RATE	TL = 2.43e+12

  R512	OH	+ H2		= H2O	+ H		1.385854e+12
  M18	H	+ OH		= H2O			3.910167e+11
  M89	OH	+ CO		= CO2	+ H		2.733951e+11
  R445	O	+ OH		= O2	+ H		2.419493e+11
  M39	OH	+ CO		= CHO2			5.572397e+10
  R505	OH	+ CHO2		= CO2	+ H2O		3.384940e+10
  R522	OH	+ HO2		= H2O	+ O2		2.639945e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.013506e+10
  R526	OH	+ OH		= H2O	+ O		2.676556e+09 (x2)
  R501	OH	+ CH4		= CH3	+ H2O		1.094244e+09
  M44	OH	+ OH		= H2O2			6.986848e+08 (x2)
  R502	OH	+ CH4O		= CH3O	+ H2O		4.703655e+08
  R504	OH	+ CHO		= CO	+ H2O		2.242859e+08
  R513	OH	+ H2O2		= H2O	+ HO2		2.001067e+08
  R500	OH	+ CH3O2		= CH4O	+ O2		2.329641e+06
  R499	OH	+ CH3O		= CH2O	+ H2O		5.329264e+05
  R483	OH	+ C2H2O		= CO	+ CH3O		4.220570e+05
  R489	OH	+ C2H4O		= C2H3O	+ H2O		4.158051e+05
  M38	OH	+ C2H4		= C2H5O			3.643395e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		7.881363e+04
  R496	OH	+ CH3		= CH2	+ H2O		5.962718e+04
  R503	OH	+ CH4O2		= CH3O2	+ H2O		5.079367e+04
  R492	OH	+ CH2		= CH2O	+ H		4.816273e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		1.914443e+04
  R525	OH	+ O3		= HO2	+ O2		1.035738e+04
  R481	OH	+ C2H2		= C2HO	+ H2		8.730087e+03
  R490	OH	+ C2H5		= C2H4	+ H2O		1.847138e+03
  M42	OH	+ NO		= HNO2			9.982099e+02
  R519	OH	+ HNO		= H2O	+ NO		1.136395e+02
  R485	OH	+ C2H3		= C2H4O			5.061685e+01
  R486	OH	+ C2H3		= C2H2	+ H2O		5.061685e+01
  R520	OH	+ HNO2		= H2O	+ NO2		1.365450e+01
  R295	N	+ OH		= NO	+ H		1.130942e+01
  R477	OH	+ C2H		= CO	+ CH2		1.116494e+01
  R478	OH	+ C2H		= C2H2	+ O		1.116494e+01
  R482	OH	+ C2H2		= CO	+ CH3		1.086728e+01
  M43	OH	+ NO2		= HNO3			6.292107e-01
  R308	NH	+ OH		= H	+ HNO		2.155031e-01
  M41	OH	+ HNO3		= H2O	+ NO3		1.595829e-01
  R523	OH	+ NH3		= H2O	+ NH2		1.693581e-02
  R309	NH	+ OH		= H2O	+ N		1.344350e-02
  R488	OH	+ C2H4		= C2H3	+ H2O		9.860377e-03
  R506	OH	+ CN		= H	+ CNO		3.354310e-03
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	3.027978e-03
  R524	OH	+ NO3		= HO2	+ NO2		1.048535e-03
  R517	OH	+ HCNO		= CNO	+ H2O		1.514758e-04
  R326	NH2	+ OH		= H2O	+ NH		1.202086e-05
  R644	NH2	+ OH		= NH3	+ O		8.006409e-06
  R516	OH	+ HCN		= CN	+ H2O		6.049983e-06
  R507	OH	+ CN		= O	+ HCN		1.758976e-06
  R495	OH	+ CH3		= CH3O	+ H		9.274985e-08
  R494	OH	+ CH2O2		= CHO2	+ H2O		4.735160e-08
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	2.010101e-08
  R515	OH	+ HCN		= CO	+ NH2		2.437036e-09
  R509	OH	+ CNO		= HCNO	+ O		1.417980e-09
  R480	OH	+ C2H2		= C2H	+ H2O		1.591700e-12
  R40	NH	+ OH		= NH2	+ O		2.622037e-13
  R479	OH	+ C2H2		= C2H2O	+ H		1.266096e-13
  M50	SO2	+ OH		= HSO3			3.548232e-27
  R566	HSO3	+ OH		= H2O	+ SO3		1.512567e-34
  R473	OCS	+ OH		= CO2	+ HS		5.378711e-46
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00
  R232	H2S	+ OH		= H2O	+ HS		0.000000e+00
  R527	OH	+ S		= H	+ SO		0.000000e+00
  R528	OH	+ SO		= SO2	+ H		0.000000e+00
  R556	SO3	+ OH		= HO2	+ SO2		0.000000e+00
  R574	HSO	+ OH		= H2O	+ SO		0.000000e+00
  M37	OH	+ C2H2		= C2H3O			0.000000e+00
  M47	SO	+ OH		= HOSO			0.000000e+00

************************************************************

H2O				PRODUCTION RXS		INT RX RATE	TP = 1.86e+12

  R512	OH	+ H2		= H2O	+ H		1.385854e+12
  M18	H	+ OH		= H2O			3.910167e+11
  R505	OH	+ CHO2		= CO2	+ H2O		3.384940e+10
  R522	OH	+ HO2		= H2O	+ O2		2.639945e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.013506e+10
  R181	H	+ HO2		= O	+ H2O		4.931309e+09
  R526	OH	+ OH		= H2O	+ O		2.676556e+09
  R501	OH	+ CH4		= CH3	+ H2O		1.094244e+09
  R502	OH	+ CH4O		= CH3O	+ H2O		4.703655e+08
  R504	OH	+ CHO		= CO	+ H2O		2.242859e+08
  R513	OH	+ H2O2		= H2O	+ HO2		2.001067e+08
  R167	H	+ H2O2		= OH	+ H2O		2.466874e+07
  R499	OH	+ CH3O		= CH2O	+ H2O		5.329264e+05
  R489	OH	+ C2H4O		= C2H3O	+ H2O		4.158051e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		7.881363e+04
  R496	OH	+ CH3		= CH2	+ H2O		5.962718e+04
  R503	OH	+ CH4O2		= CH3O2	+ H2O		5.079367e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		1.914443e+04
  R490	OH	+ C2H5		= C2H4	+ H2O		1.847138e+03
  R519	OH	+ HNO		= H2O	+ NO		1.136395e+02
  R486	OH	+ C2H3		= C2H2	+ H2O		5.061685e+01
  R160	H	+ CH4O2		= CH3O	+ H2O		4.989078e+01
  R520	OH	+ HNO2		= H2O	+ NO2		1.365450e+01
  R177	H	+ HNO2		= H2O	+ NO		9.319920e-01
  M41	OH	+ HNO3		= H2O	+ NO3		1.595829e-01
  R523	OH	+ NH3		= H2O	+ NH2		1.693581e-02
  R309	NH	+ OH		= H2O	+ N		1.344350e-02
  R488	OH	+ C2H4		= C2H3	+ H2O		9.860377e-03
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	3.027978e-03
  R517	OH	+ HCNO		= CNO	+ H2O		1.514758e-04
  R326	NH2	+ OH		= H2O	+ NH		1.202086e-05
  R516	OH	+ HCN		= CN	+ H2O		6.049983e-06
  R494	OH	+ CH2O2		= CHO2	+ H2O		4.735160e-08
  R178	H	+ HNO3		= H2O	+ NO2		2.886507e-08
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	2.010101e-08
  P29	CH2O2			= H2O	+ CO		1.756847e-08
  R320	NH2	+ NO		= H2O	+ N2		6.829894e-09
  R325	NH2	+ O3		= H2O	+ NO2		1.901625e-09
  R321	NH2	+ NO2		= H2O	+ N2O		3.920373e-12
  R480	OH	+ C2H2		= C2H	+ H2O		1.591700e-12
  T24	CH4O2			= CH2O	+ H2O		1.402921e-23
  R566	HSO3	+ OH		= H2O	+ SO3		1.512567e-34
  T22	CH4O			= CH21	+ H2O		3.607677e-43
  T16	CH2O2			= CO	+ H2O		1.983062e-46
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00
  R232	H2S	+ OH		= H2O	+ HS		0.000000e+00
  R574	HSO	+ OH		= H2O	+ SO		0.000000e+00
  P50	H2SO4			= SO3	+ H2O		0.000000e+00

H2O				LOSS RXS		INT RX RATE	TL = 1.85e+12

  P6	H2O			= H	+ OH		1.852936e+12
  P73	H2O			= H	+ H	+ O	9.113957e+08
  P72	H2O			= H2	+ O(1D)		7.882911e+08
  R218	H2O	+ CH		= CH3O			2.403685e+07
  R166	H	+ H2O		= H2	+ OH		1.294870e+06
  R456	O(1D)	+ H2O		= OH	+ OH		6.409579e+04
  R215	H2O	+ C2H		= C2H2	+ OH		3.375827e-01
  R319	NH2	+ H2O		= OH	+ NH3		4.638961e-06
  R219	H2O	+ CN		= HCN	+ OH		1.771674e-06
  R220	H2O	+ CNO		= HCNO	+ OH		9.825513e-07
  R217	H2O	+ C2H5		= C2H6	+ OH		1.095311e-08
  R287	N	+ H2O		= OH	+ NH		1.145424e-25
  R214	H2O	+ C		= CH	+ OH		9.687778e-36
  R565	SO3	+ H2O		= H2SO4			0.000000e+00

************************************************************

H2				PRODUCTION RXS		INT RX RATE	TP = 1.38e+12

  R162	H	+ CHO		= CO	+ H2		6.976623e+11
  M13	H	+ H		= H2			5.370599e+11
  R148	H	+ CH2O		= H2	+ CHO		1.008039e+11
  R182	H	+ HO2		= H2	+ O2		2.126627e+10
  P21	CH2O			= CO	+ H2		1.911517e+10
  P33	CH4			= CH21	+ H2		1.094850e+09
  P72	H2O			= H2	+ O(1D)		7.882911e+08
  R159	H	+ CH4O		= CH3O	+ H2		5.197453e+08
  R416	O	+ CH3		= CO	+ H2	+ H	3.246954e+08
  R157	H	+ CH4		= CH3	+ H2		1.792218e+08
  R596	CH21	+ H2		= CH2	+ H2		1.313307e+08
  P34	CH4			= CH	+ H2	+ H	1.239453e+08
  R146	H	+ CH2		= CH	+ H2		7.728490e+07
  R154	H	+ CH3O		= CH2O	+ H2		3.886206e+07
  R145	H	+ CH		= C	+ H2		7.301537e+06
  R168	H	+ H2O2		= H2	+ HO2		2.738322e+06
  R412	O	+ CH2		= CO	+ H2		2.365479e+06
  R166	H	+ H2O		= H2	+ OH		1.294870e+06
  R142	H	+ C2H5O		= C2H4O	+ H2		4.138024e+05
  R134	H	+ C2H3O		= C2H2O	+ H2		4.096241e+05
  R172	H	+ HNO		= H2	+ NO		1.766585e+05
  R143	H	+ C2H6		= C2H5	+ H2		1.026476e+04
  R481	OH	+ C2H2		= C2HO	+ H2		8.730087e+03
  R137	H	+ C2H4O		= C2H3O	+ H2		8.252325e+03
  P64	C2H6			= C2H2	+ H2	+ H2	6.851408e+03 (x2)
  P58	C2H4			= C2H2	+ H2		6.354967e+03
  R141	H	+ C2H5		= C2H4	+ H2		6.159828e+03
  R399	O	+ C2H4		= C2H2O	+ H2		4.945051e+03
  P62	C2H6			= C2H4	+ H2		3.552582e+03
  R132	H	+ C2H3		= C2H2	+ H2		5.909265e+02
  R451	O(1D)	+ CH4		= CH2O	+ H2		3.066432e+02
  R161	H	+ CH4O2		= H2	+ CH3O2		6.019879e+01
  R176	H	+ HNO2		= H2	+ NO2		4.147451e-02
  R324	NH2	+ O		= H2	+ NO		8.153958e-03
  R282	N	+ CH3		= H2	+ HCN		8.070386e-03
  R149	H	+ CH3		= CH2	+ H2		3.385436e-04
  P69	CH5N			= HCN	+ H2	+ H2	6.079081e-06 (x2)
  P43	NH3			= NH	+ H2		3.605329e-06
  R186	H	+ NH3		= H2	+ NH2		8.604822e-07
  R135	H	+ C2H4		= C2H3	+ H2		4.132985e-07
  R327	NH3	+ CH		= HCN	+ H2	+ H	1.159459e-07
  R95	CH4	+ CH3		= H2	+ C2H5		1.921827e-09
  R169	H	+ HCNO		= H2	+ CNO		2.455436e-11
  R179	H	+ HNO3		= H2	+ NO3		4.878511e-14
  R639	N2H4	+ H		= N2H3	+ H2		1.367741e-15
  R129	H	+ C2H2		= C2H	+ H2		2.506151e-18
  R567	HSO3	+ H		= H2	+ SO3		8.367518e-29
  R128	H	+ C2H		= H2	+ C2		8.715102e-32
  T14	CH2O			= CO	+ H2		3.162937e-41
  P67	N2H2			= N2	+ H2		2.353759e-41
  T21	CH4O			= CH2O	+ H2		8.535870e-45
  T34	C2H4O			= C2H2O	+ H2		2.872546e-45
  T15	CH2O2			= CO2	+ H2		2.784889e-47
  T26	C2H4			= C2H2	+ H2		5.722878e-52
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00
  R230	H2S	+ H		= H2	+ HS		0.000000e+00
