# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R461	7.244120e-11
R462	4.821927e-06
R463	5.371451e-09
R464	7.797544e+04
R465	1.087061e+00
R466	1.087061e+00
R467	1.667165e-40
R468	1.644375e-07
R469	1.311016e-03
R470	1.744030e+03
R471	3.686959e-01
R472	1.836441e-05
R473	5.378711e-46
R474	7.843131e-43
R475	3.810187e-38
R477	1.116494e+01
R478	1.116494e+01
R479	1.266096e-13
R480	1.591700e-12
R481	8.730087e+03
R482	1.086728e+01
R483	4.220570e+05
R485	5.061685e+01
R486	5.061685e+01
R487	1.914443e+04
R488	9.860377e-03
R489	4.158051e+05
R490	1.847138e+03
R491	7.881363e+04
R492	4.816273e+04
R493	1.013506e+10
R494	4.735160e-08
R495	9.274985e-08
R496	5.962718e+04
R498	2.010101e-08
R499	5.329264e+05
R500	2.329641e+06
R501	1.094244e+09
R502	4.703655e+08
R503	5.079367e+04
R504	2.242859e+08
R505	3.384940e+10
R506	3.354310e-03
R507	1.758976e-06
R509	1.417980e-09
R512	1.385854e+12
R513	2.001067e+08
R515	2.437036e-09
R516	6.049983e-06
R517	1.514758e-04
R519	1.136395e+02
R520	1.365450e+01
R521	3.027978e-03
R522	2.639945e+10
R523	1.693581e-02
R524	1.048535e-03
R525	1.035738e+04
R526	2.676556e+09
R527	0.000000e+00
R528	0.000000e+00
R533	0.000000e+00
R534	0.000000e+00
R535	0.000000e+00
R536	0.000000e+00
R537	0.000000e+00
R538	0.000000e+00
R540	3.033251e-46
R541	0.000000e+00
R542	8.764709e-65
R543	0.000000e+00
R544	0.000000e+00
R545	0.000000e+00
R546	4.308814e-30
R547	6.719936e-24
R548	1.976789e-26
R549	1.727347e-32
R551	3.761342e-34
R552	2.501364e-63
R553	1.928080e-37
R554	0.000000e+00
R555	0.000000e+00
R556	0.000000e+00
R557	0.000000e+00
R558	0.000000e+00
R559	0.000000e+00
R560	0.000000e+00
R561	1.768425e+07
R562	6.478476e-29
R563	1.603085e-51
R564	4.715346e-53
R565	0.000000e+00
R566	1.512567e-34
R567	8.367518e-29
R568	6.167519e-19
R569	0.000000e+00
R570	0.000000e+00
R571	0.000000e+00
R572	0.000000e+00
R573	0.000000e+00
R574	0.000000e+00
R575	0.000000e+00
R576	0.000000e+00
R577	0.000000e+00
R578	0.000000e+00
R579	0.000000e+00
R596	1.313307e+08
R597	9.630917e+08
R598	7.356422e+04
R599	3.616907e+05
R608	8.715102e-32
R611	2.189690e-48
R617	1.897623e-08
R618	1.708099e-06
R639	1.367741e-15
R640	3.987494e-03
R641	5.374206e-15
R642	2.353759e-41
R643	6.194104e-42
R644	8.006409e-06
R645	8.215533e+09
M2	3.497823e+04
M3	8.532347e+04
M4	8.296087e+07
M5	1.360335e+06
M6	2.136631e+02
M7	7.527085e+03
M9	1.704368e+05
M10	1.554198e+11
M11	1.901497e-04
M12	7.210819e+11
M13	5.370599e+11
M14	2.010981e+00
M15	1.834053e+05
M16	5.599058e+10
M17	3.238428e+11
M18	3.910167e+11
M19	2.465998e+06
M20	7.686389e-03
M21	0.000000e+00
M22	1.727085e-10
M23	3.624286e+00
M24	1.245268e-02
M25	1.492276e-12
M26	1.183230e-01
M27	7.761016e-01
M28	6.532481e-05
M29	2.724610e-14
M31	5.757664e+06
M32	6.102479e+02
M33	9.439275e-01
M34	4.794062e+09
M35	2.050334e+09
M36	2.442329e+03
M37	0.000000e+00
M38	3.643395e+05
M39	5.572397e+10
