Type	Std	Rate
R14	2.202962e-19	5.891255e-17	5.486127e-16	2.036870e-15	5.262549e-15	1.158761e-14	2.383009e-14	4.769700e-14	1.053711e-13	1.550229e-13	1.460251e-13	1.155734e-13	8.079276e-14	4.957790e-14	2.744791e-14	1.394454e-14	6.667403e-15	3.059377e-15	1.369383e-15	6.191281e-16	2.873314e-16	1.444697e-16	8.254094e-17	5.595537e-17	4.424000e-17	3.807292e-17	3.368206e-17	2.927621e-17	2.461379e-17	1.966797e-17	1.495941e-17	1.115571e-17	7.992548e-18	5.097976e-18	2.642410e-18	1.145537e-18	4.244859e-19	1.498830e-19	5.583904e-20	3.089799e-20	4.750426e-20	1.193182e-19	2.543138e-19	4.353199e-19	7.329582e-19	1.134250e-18	1.493175e-18	1.709554e-18	1.795812e-18	1.774279e-18	1.644045e-18	1.467589e-18	1.465142e-18	2.324797e-18	
R15	2.152582e-30	7.422544e-29	4.267331e-29	4.025275e-30	1.447041e-31	2.866113e-33	6.542664e-35	2.154912e-36	1.059509e-37	2.357547e-38	1.681050e-38	1.194433e-38	8.246216e-39	5.127396e-39	2.828818e-39	1.406209e-39	6.460509e-40	2.806293e-40	1.176838e-40	4.881553e-41	2.026172e-41	8.474924e-42	3.554668e-42	1.489533e-42	6.222824e-43	2.590532e-43	1.076341e-43	4.461006e-44	1.852799e-44	7.737974e-45	3.285188e-45	1.464289e-45	6.695279e-46	2.852509e-46	1.008355e-46	3.087425e-47	8.724302e-48	2.691707e-48	1.015111e-48	6.360016e-49	1.193292e-48	3.854076e-48	1.098773e-47	2.589550e-47	6.089885e-47	1.301440e-46	2.238340e-46	2.985021e-46	3.103024e-46	2.558254e-46	1.711509e-46	9.697972e-47	5.297272e-47	6.148576e-47	
R16	9.259524e-08	1.402676e-06	3.411585e-06	4.008958e-06	3.373408e-06	2.275716e-06	1.467302e-06	9.814037e-07	7.867004e-07	6.643592e-07	5.301480e-07	3.934911e-07	2.753277e-07	1.770448e-07	1.039324e-07	5.626518e-08	2.860048e-08	1.390510e-08	6.585097e-09	3.103171e-09	1.471162e-09	7.058180e-10	3.411676e-10	1.655857e-10	8.055096e-11	3.926784e-11	1.920152e-11	9.415671e-12	4.638795e-12	2.298935e-12	1.152956e-12	5.954629e-13	3.119850e-13	1.563203e-13	7.010450e-14	2.849331e-14	1.084907e-14	4.261607e-15	1.870609e-15	1.271792e-15	2.488134e-15	8.213592e-15	2.370048e-14	5.625118e-14	1.328132e-13	2.841373e-13	4.871360e-13	6.429259e-13	6.539412e-13	5.189928e-13	3.268099e-13	1.681490e-13	7.634093e-14	3.921305e-14	
R18	3.707972e-14	2.032537e-12	7.828123e-12	7.040978e-12	2.899748e-12	6.782068e-13	1.446257e-13	3.347005e-14	8.652240e-15	3.369167e-15	1.884553e-15	1.067509e-15	6.055077e-16	3.263011e-16	1.686870e-16	8.593431e-17	4.403004e-17	2.281145e-17	1.188038e-17	6.178609e-18	3.150301e-18	1.560291e-18	7.438043e-19	3.419648e-19	1.524672e-19	6.631912e-20	2.825476e-20	1.182309e-20	4.888788e-21	2.010214e-21	8.308485e-22	3.552437e-22	1.549581e-22	6.413671e-23	2.283447e-23	7.355049e-24	2.273421e-24	7.782630e-25	3.164338e-25	1.472645e-25	7.382451e-26	3.827851e-26	2.016052e-26	1.084338e-26	6.392672e-27	4.920525e-27	5.131722e-27	5.696563e-27	5.563974e-27	4.502549e-27	3.014951e-27	1.732287e-27	9.766141e-28	1.201384e-27	
R19	4.295851e-19	2.604667e-18	6.596802e-19	3.276797e-20	6.738646e-22	9.258311e-24	1.648953e-25	4.343997e-27	1.570990e-28	2.221402e-29	1.009442e-29	5.068346e-30	2.670511e-30	1.346034e-30	6.414299e-31	2.924270e-31	1.295259e-31	5.618528e-32	2.396778e-32	1.011631e-32	4.222707e-33	1.749862e-33	7.188721e-34	2.928619e-34	1.183269e-34	4.742815e-35	1.887289e-35	7.453043e-36	2.934609e-36	1.157331e-36	4.615155e-37	1.915116e-37	8.134927e-38	3.282548e-38	1.138739e-38	3.600306e-39	1.101557e-39	3.761089e-40	1.529486e-40	7.115271e-41	3.560264e-41	1.840106e-41	9.650382e-42	5.163945e-42	3.025169e-42	2.314105e-42	2.405070e-42	2.662480e-42	2.588196e-42	2.077306e-42	1.372982e-42	7.733092e-43	4.211348e-43	4.906529e-43	
R21	1.830454e-10	4.559148e-08	1.596220e-07	1.108936e-07	3.766387e-08	9.404000e-09	2.432205e-09	6.786806e-10	2.156054e-10	8.672741e-11	4.265622e-11	2.155430e-11	1.090701e-11	5.130287e-12	2.235124e-12	9.291752e-13	3.814581e-13	1.571731e-13	6.513394e-14	2.713911e-14	1.129110e-14	4.684674e-15	1.930331e-15	7.892018e-16	3.200924e-16	1.288236e-16	5.149869e-17	2.044214e-17	8.096529e-18	3.213896e-18	1.291058e-18	5.406456e-19	2.320075e-19	9.435094e-20	3.277892e-20	1.030662e-20	3.117963e-21	1.051372e-21	4.234278e-22	1.958719e-22	9.780453e-23	5.057661e-23	2.658730e-23	1.428016e-23	8.409943e-24	6.467971e-24	6.741296e-24	7.479594e-24	7.302727e-24	5.907899e-24	3.955032e-24	2.271528e-24	1.275347e-24	1.581907e-24	
R22	9.984295e-11	2.486808e-08	8.706654e-08	6.048745e-08	2.054393e-08	5.129455e-09	1.326657e-09	3.701894e-10	1.176029e-10	4.730586e-11	2.326703e-11	1.175689e-11	5.949279e-12	2.798338e-12	1.219158e-12	5.068228e-13	2.080681e-13	8.573079e-14	3.552761e-14	1.480315e-14	6.158784e-15	2.555277e-15	1.052908e-15	4.304737e-16	1.745959e-16	7.026743e-17	2.809020e-17	1.115026e-17	4.416288e-18	1.753034e-18	7.042137e-19	2.948976e-19	1.265496e-19	5.146415e-20	1.787941e-20	5.621793e-21	1.700707e-21	5.734755e-22	2.309606e-22	1.068392e-22	5.334792e-23	2.758724e-23	1.450216e-23	7.789177e-24	4.587242e-24	3.527984e-24	3.677071e-24	4.079778e-24	3.983306e-24	3.222491e-24	2.157290e-24	1.239015e-24	6.956436e-25	8.628581e-25	
R23	6.332270e-10	1.360057e-08	2.237223e-08	7.575917e-09	1.120476e-09	1.105443e-10	1.109074e-11	1.236249e-12	1.401551e-13	3.337585e-14	1.673742e-14	9.399822e-15	5.571402e-15	3.228396e-15	1.830015e-15	1.023181e-15	5.650983e-16	3.075332e-16	1.643788e-16	8.631296e-17	4.400833e-17	2.170145e-17	1.028445e-17	4.699243e-18	2.082401e-18	9.003246e-19	3.811867e-19	1.584711e-19	6.507283e-20	2.656135e-20	1.089063e-20	4.612030e-21	1.990593e-21	8.172020e-22	2.903731e-22	9.402762e-23	2.939517e-23	1.019178e-23	4.185362e-24	1.959202e-24	9.841209e-25	5.092586e-25	2.654862e-25	1.376798e-25	7.041930e-26	3.525897e-26	1.714856e-26	8.028682e-27	3.579411e-27	1.502308e-27	5.903307e-28	2.223330e-28	9.300867e-29	1.484531e-28	
R26	1.090445e-03	2.088861e+00	1.258139e+01	2.028262e+01	2.179295e+01	1.844255e+01	1.470318e+01	1.189366e+01	9.038679e+00	6.830609e+00	5.621457e+00	4.777617e+00	4.128864e+00	3.542797e+00	3.058924e+00	2.679084e+00	2.374231e+00	2.123402e+00	1.914532e+00	1.746046e+00	1.591886e+00	1.437994e+00	1.264928e+00	1.077732e+00	8.905818e-01	7.176792e-01	5.639303e-01	4.326828e-01	3.238541e-01	2.368336e-01	1.691615e-01	1.181573e-01	8.037182e-02	5.274192e-02	3.298128e-02	2.043731e-02	1.321546e-02	9.473588e-03	7.576998e-03	6.500846e-03	5.754204e-03	5.137311e-03	4.574102e-03	4.033656e-03	3.501180e-03	2.970494e-03	2.444111e-03	1.933813e-03	1.458518e-03	1.039623e-03	6.960131e-04	4.406302e-04	2.828599e-04	3.316082e-04	
R27	8.328051e-14	4.423544e-13	2.272276e-13	4.585779e-14	5.296343e-15	3.698637e-16	2.676395e-17	2.447872e-18	2.882190e-19	8.240098e-20	4.535577e-20	2.394091e-20	1.227819e-20	5.972573e-21	2.768734e-21	1.253490e-21	5.693599e-22	2.625747e-22	1.228814e-22	5.816700e-23	2.764101e-23	1.315436e-23	6.246462e-24	2.957973e-24	1.396986e-24	6.583806e-25	3.097530e-25	1.454716e-25	6.834540e-26	3.219324e-26	1.527679e-26	7.412659e-27	3.645026e-27	1.743283e-27	7.683523e-28	3.206980e-28	1.307273e-28	5.612229e-29	2.630765e-29	1.320576e-29	6.875740e-30	3.634093e-30	1.933557e-30	1.045861e-30	6.183846e-31	4.761080e-31	4.946536e-31	5.431565e-31	5.188862e-31	4.040958e-31	2.546241e-31	1.327898e-31	6.196791e-32	3.401499e-32	
