
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 1.000   F_CH4= 6.2765E-07  F_CO2= 1.1820E-04  F_O2= 6.7210E-10  F_N2= 9.6989E-01  F_H2= 3.1293E-04  F_AR= 1.9800E-02  IO3 =  1   IUP=  1
 ICONSERV= 1  FAC= 4.0  ND=101  SRFALB= 0.230  G= 980.0  IMW= 0  INVERSE= 0

 FNO2 = 1.000E-72

 NST=     1 JCONV= 90 CHG=3.83E-03 dt0=7.50E+03 DIVF(1)=-5.99E-02 DIVFrms= 5.74E-02 DT(ND)= 4.15E-02 T(ND)=2.8004E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2449

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 41 5.6833E-03 3.0672E+01 1.8000E+02  0.00E+00  -3.6461E-03  1.8000E+02  2.2538E-06  2.2538E-06  1.7056E-16 -4.4983E-01  3.8662E-01
 42 6.4578E-03 2.9978E+01 1.8000E+02  0.00E+00  -3.3024E-03  1.8000E+02  2.2693E-06  2.2693E-06  1.5897E-16 -4.4315E-01  3.8605E-01
 43 7.3275E-03 2.9293E+01 1.8000E+02  0.00E+00  -3.2013E-03  1.8000E+02  2.2828E-06  2.2828E-06  1.4839E-16 -4.3867E-01  3.8347E-01
 44 8.3029E-03 2.8615E+01 1.8000E+02  0.00E+00  -3.4766E-03  1.8000E+02  2.2946E-06  2.2946E-06  1.3853E-16 -4.3750E-01  3.7866E-01
 45 9.3951E-03 2.7944E+01 1.8000E+02  0.00E+00  -3.8672E-03  1.8000E+02  2.3079E-06  2.3079E-06  1.2746E-16 -4.4018E-01  3.7168E-01
 46 1.0616E-02 2.7282E+01 1.8000E+02  0.00E+00  -4.3931E-03  1.8000E+02  2.3194E-06  2.3194E-06  1.1827E-16 -4.3732E-01  3.6202E-01
 47 1.1979E-02 2.6627E+01 1.7999E+02  0.00E+00  -5.1472E-03  1.8000E+02  2.3305E-06  2.3305E-06  1.0946E-16 -4.3803E-01  3.4939E-01
 48 1.3498E-02 2.5980E+01 1.7999E+02  0.00E+00  -6.0875E-03  1.8000E+02  2.3431E-06  2.3431E-06  9.9575E-17 -4.3874E-01  3.3363E-01
 49 1.5189E-02 2.5340E+01 1.7999E+02  0.00E+00  -7.1220E-03  1.8000E+02  2.3540E-06  2.3540E-06  9.1980E-17 -4.3745E-01  3.1441E-01
 50 1.7068E-02 2.4708E+01 1.7999E+02  0.00E+00  -8.1437E-03  1.8000E+02  2.3655E-06  2.3655E-06  8.4224E-17 -4.3289E-01  2.9217E-01
 51 1.9152E-02 2.4084E+01 1.7999E+02  0.00E+00  -9.0375E-03  1.8000E+02  2.3784E-06  2.3784E-06  7.5522E-17 -4.2439E-01  2.6814E-01
 52 2.1462E-02 2.3468E+01 1.7999E+02  0.00E+00  -9.6950E-03  1.8000E+02  2.3893E-06  2.3893E-06  6.9539E-17 -4.1186E-01  2.4417E-01
 53 2.4016E-02 2.2859E+01 1.7999E+02  0.00E+00  -1.0038E-02  1.8000E+02  2.4013E-06  2.4013E-06  6.2985E-17 -3.9595E-01  2.2228E-01
 54 2.6837E-02 2.2257E+01 1.7999E+02  0.00E+00  -1.0039E-02  1.8000E+02  2.4145E-06  2.4145E-06  5.5988E-17 -3.7770E-01  2.0401E-01
 55 2.9947E-02 2.1664E+01 1.7999E+02  0.00E+00  -9.7325E-03  1.8000E+02  2.4261E-06  2.4261E-06  5.1726E-17 -3.5837E-01  1.9007E-01
 56 3.3372E-02 2.1078E+01 1.7999E+02  0.00E+00  -9.2053E-03  1.8000E+02  2.4391E-06  2.4391E-06  4.6945E-17 -3.3934E-01  1.8026E-01
 57 3.7136E-02 2.0499E+01 1.7999E+02  0.00E+00  -8.5663E-03  1.8000E+02  2.4527E-06  2.4527E-06  4.2304E-17 -3.2154E-01  1.7358E-01
 58 4.1268E-02 1.9929E+01 1.7999E+02  0.00E+00  -7.9171E-03  1.8000E+02  2.4647E-06  2.4647E-06  3.9680E-17 -3.0528E-01  1.6861E-01
 59 4.5795E-02 1.9366E+01 1.7999E+02  0.00E+00  -7.3262E-03  1.8000E+02  2.4782E-06  2.4782E-06  3.6736E-17 -2.9045E-01  1.6398E-01
 60 5.0749E-02 1.8810E+01 1.7999E+02  0.00E+00  -6.8216E-03  1.8000E+02  2.4917E-06  2.4917E-06  3.4063E-17 -2.7645E-01  1.5865E-01
 61 5.6160E-02 1.8262E+01 1.7999E+02  0.00E+00  -6.4032E-03  1.8000E+02  2.5037E-06  2.5037E-06  3.2238E-17 -2.6259E-01  1.5202E-01
 62 6.2062E-02 1.7722E+01 1.7999E+02  0.00E+00  -6.0487E-03  1.8000E+02  2.5171E-06  2.5171E-06  3.0190E-17 -2.4841E-01  1.4394E-01
 63 6.8489E-02 1.7189E+01 1.7999E+02  0.00E+00  -5.7165E-03  1.8000E+02  2.5295E-06  2.5295E-06  2.8235E-17 -2.3326E-01  1.3453E-01
 64 7.5476E-02 1.6664E+01 1.7999E+02  0.00E+00  -5.3484E-03  1.8000E+02  2.5405E-06  2.5405E-06  2.6411E-17 -2.1651E-01  1.2413E-01
