  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
 43 0.0000E+00 0.0000E+00 0.0000E+00
 44 0.0000E+00 0.0000E+00 0.0000E+00
 45 0.0000E+00 0.0000E+00 0.0000E+00
 46 0.0000E+00 0.0000E+00 0.0000E+00
 47 0.0000E+00 0.0000E+00 0.0000E+00
 48 0.0000E+00 0.0000E+00 0.0000E+00
 49 0.0000E+00 0.0000E+00 0.0000E+00
 50 0.0000E+00 0.0000E+00 0.0000E+00
 51 0.0000E+00 0.0000E+00 0.0000E+00
 52 0.0000E+00 0.0000E+00 0.0000E+00
 53 0.0000E+00 0.0000E+00 0.0000E+00
 54 0.0000E+00 0.0000E+00 0.0000E+00
 55 0.0000E+00 0.0000E+00 0.0000E+00
 56 0.0000E+00 0.0000E+00 0.0000E+00
 57 0.0000E+00 0.0000E+00 0.0000E+00
 58 1.0422E-04 3.4642E-04 2.1020E+04
 59 1.0276E-04 3.4155E-04 2.4304E+04
 60 1.0141E-04 3.3706E-04 2.7911E+04
 61 1.0008E-04 3.3264E-04 3.1992E+04
 62 9.8751E-05 3.2824E-04 3.6638E+04
 63 9.7438E-05 3.2387E-04 4.1902E+04
 64 9.6215E-05 3.1981E-04 4.7722E+04
 65 9.4944E-05 3.1558E-04 5.4363E+04
 66 9.3720E-05 3.1151E-04 6.1732E+04
 67 9.2542E-05 3.0760E-04 6.9875E+04
 68 9.1406E-05 3.0382E-04 7.8852E+04
 69 9.0292E-05 3.0012E-04 8.8819E+04
 70 8.9191E-05 2.9646E-04 9.9901E+04
 71 8.8130E-05 2.9293E-04 1.1203E+05
 72 8.7132E-05 2.8962E-04 1.2503E+05
 73 8.6206E-05 2.8654E-04 1.3880E+05
 74 8.5447E-05 2.8402E-04 1.5226E+05
 75 8.4841E-05 2.8200E-04 1.6513E+05
 76 8.4209E-05 2.7990E-04 1.7905E+05
 77 8.6174E-05 2.8643E-04 1.7690E+05
 78 9.4389E-05 3.1374E-04 1.4228E+05
 79 9.9294E-05 3.3004E-04 1.2890E+05
 80 9.9582E-05 3.3100E-04 1.3442E+05
 81 9.9066E-05 3.2928E-04 1.4311E+05
 82 9.7649E-05 3.2457E-04 1.5594E+05
 83 9.5874E-05 3.1867E-04 1.7100E+05
 84 9.3903E-05 3.1212E-04 1.8763E+05
 85 9.1884E-05 3.0541E-04 2.0485E+05
 86 8.9806E-05 2.9850E-04 2.2244E+05
 87 8.7803E-05 2.9185E-04 2.3890E+05
 88 8.5940E-05 2.8565E-04 2.5291E+05
 89 8.4473E-05 2.8078E-04 2.6115E+05
 90 8.2930E-05 2.7565E-04 2.6696E+05
 91 8.1616E-05 2.7128E-04 2.6664E+05
 92 8.0564E-05 2.6779E-04 2.5907E+05
 93 7.9769E-05 2.6514E-04 2.4367E+05
 94 7.8509E-05 2.6095E-04 2.2746E+05
 95 7.7173E-05 2.5651E-04 2.0491E+05
 96 7.3956E-05 2.4582E-04 1.8775E+05
 97 7.0589E-05 2.3463E-04 1.5725E+05
 98 6.6984E-05 2.2265E-04 1.0753E+05
 99 6.4410E-05 2.1409E-04 2.6512E+04
100 0.0000E+00 0.0000E+00 0.0000E+00

  i  rg(cm)   reff(cm)   ndz(n/cm**3)  
