  i  Z(km)      P(bar)      T(K)  
 14 6.0190E+06 9.8434E+01 2.1131E+02
 15 5.9150E+06 1.1623E+02 2.1349E+02
 16 5.8109E+06 1.3705E+02 2.1560E+02
 17 5.7066E+06 1.6137E+02 2.1765E+02
 18 5.6023E+06 1.8974E+02 2.1964E+02
 19 5.4981E+06 2.2280E+02 2.2158E+02
 20 5.3939E+06 2.6125E+02 2.2346E+02
 21 5.2897E+06 3.0590E+02 2.2530E+02
 22 5.1857E+06 3.5770E+02 2.2709E+02
 23 5.0818E+06 4.1768E+02 2.2885E+02
 24 4.9782E+06 4.8703E+02 2.3056E+02
 25 4.8747E+06 5.6712E+02 2.3225E+02
 26 4.7715E+06 6.5945E+02 2.3390E+02
 27 4.6686E+06 7.6576E+02 2.3553E+02
 28 4.5659E+06 8.8796E+02 2.3713E+02
 29 4.4636E+06 1.0282E+03 2.3871E+02
 30 4.3616E+06 1.1890E+03 2.4035E+02
 31 4.2599E+06 1.3730E+03 2.4182E+02
 32 4.1588E+06 1.5833E+03 2.4268E+02
 33 4.0585E+06 1.8232E+03 2.4274E+02
 34 3.9594E+06 2.0965E+03 2.4202E+02
 35 3.8618E+06 2.4075E+03 2.4062E+02
 36 3.7658E+06 2.7608E+03 2.3864E+02
 37 3.6717E+06 3.1615E+03 2.3622E+02
 38 3.5796E+06 3.6153E+03 2.3347E+02
 39 3.4896E+06 4.1285E+03 2.3050E+02
 40 3.4018E+06 4.7081E+03 2.2738E+02
 41 3.3161E+06 5.3614E+03 2.2417E+02
 42 3.2326E+06 6.0970E+03 2.2092E+02
 43 3.1512E+06 6.9239E+03 2.1771E+02
 44 3.0719E+06 7.8519E+03 2.1460E+02
 45 2.9946E+06 8.8919E+03 2.1166E+02
 46 2.9192E+06 1.0056E+04 2.0897E+02
 47 2.8455E+06 1.1356E+04 2.0656E+02
 48 2.7736E+06 1.2806E+04 2.0445E+02
 49 2.7031E+06 1.4422E+04 2.0262E+02
 50 2.6341E+06 1.6219E+04 2.0106E+02
 51 2.5664E+06 1.8215E+04 1.9976E+02
 52 2.4999E+06 2.0427E+04 1.9869E+02
 53 2.4346E+06 2.2877E+04 1.9783E+02
 54 2.3703E+06 2.5584E+04 1.9716E+02
 55 2.3071E+06 2.8572E+04 1.9667E+02
 56 2.2448E+06 3.1865E+04 1.9636E+02
 57 2.1833E+06 3.5488E+04 1.9622E+02
 58 2.1227E+06 3.9468E+04 1.9626E+02
 59 2.0629E+06 4.3833E+04 1.9648E+02
 60 2.0038E+06 4.8612E+04 1.9686E+02
 61 1.9454E+06 5.3839E+04 1.9741E+02
 62 1.8876E+06 5.9544E+04 1.9800E+02
 63 1.8304E+06 6.5761E+04 1.9871E+02
 64 1.7738E+06 7.2527E+04 1.9958E+02
 65 1.7178E+06 7.9878E+04 2.0085E+02
 66 1.6623E+06 8.7852E+04 2.0167E+02
 67 1.6073E+06 9.6487E+04 2.0303E+02
 68 1.5528E+06 1.0582E+05 2.0410E+02
 69 1.4989E+06 1.1590E+05 2.0516E+02
 70 1.4456E+06 1.2676E+05 2.0611E+02
 71 1.3928E+06 1.3845E+05 2.0716E+02
 72 1.3406E+06 1.5100E+05 2.0844E+02
 73 1.2890E+06 1.6447E+05 2.0956E+02
 74 1.2378E+06 1.7888E+05 2.1125E+02
 75 1.1872E+06 1.9428E+05 2.1313E+02
 76 1.1369E+06 2.1072E+05 2.1544E+02
 77 1.0869E+06 2.2824E+05 2.1774E+02
 78 1.0372E+06 2.4686E+05 2.2070E+02
 79 9.8778E+05 2.6663E+05 2.2363E+02
 80 9.3850E+05 2.8759E+05 2.2763E+02
 81 8.8922E+05 3.0976E+05 2.3227E+02
 82 8.3991E+05 3.3317E+05 2.3681E+02
 83 7.9064E+05 3.5786E+05 2.4122E+02
 84 7.4147E+05 3.8384E+05 2.4547E+02
 85 6.9247E+05 4.1113E+05 2.4951E+02
 86 6.4371E+05 4.3975E+05 2.5334E+02
 87 5.9528E+05 4.6971E+05 2.5693E+02
 88 5.4723E+05 5.0101E+05 2.6030E+02
 89 4.9965E+05 5.3366E+05 2.6345E+02
 90 4.5259E+05 5.6764E+05 2.6640E+02
 91 4.0611E+05 6.0294E+05 2.6917E+02
 92 3.6026E+05 6.3955E+05 2.7176E+02
 93 3.1508E+05 6.7744E+05 2.7436E+02
 94 2.7059E+05 7.1657E+05 2.7692E+02
 95 2.2680E+05 7.5691E+05 2.7938E+02
 96 1.8374E+05 7.9841E+05 2.8171E+02
 97 1.4146E+05 8.4101E+05 2.8395E+02
 98 9.9993E+04 8.8465E+05 2.8607E+02
 99 5.9378E+04 9.2926E+05 2.8809E+02
100 1.9661E+04 9.7477E+05 2.9002E+02
  i  qc(g/g)   qt(g/g)   clima_qt(g/g)  
  1 0.0000E+00 2.2596E-06 2.4411E-06
  2 0.0000E+00 2.2596E-06 2.6611E-06
  3 0.0000E+00 2.2596E-06 2.7820E-06
  4 0.0000E+00 2.2596E-06 2.9188E-06
  5 0.0000E+00 2.2596E-06 3.0166E-06
  6 0.0000E+00 2.2596E-06 3.1187E-06
  7 0.0000E+00 2.2596E-06 3.2217E-06
  8 0.0000E+00 2.2596E-06 3.3381E-06
  9 0.0000E+00 2.2596E-06 3.4512E-06
 10 0.0000E+00 2.2596E-06 3.5771E-06
 11 0.0000E+00 2.2596E-06 3.6973E-06
 12 0.0000E+00 2.2596E-06 3.8315E-06
 13 0.0000E+00 2.2596E-06 3.9498E-06
 14 0.0000E+00 2.2596E-06 4.0814E-06
 15 0.0000E+00 2.2596E-06 4.1931E-06
 16 0.0000E+00 2.2596E-06 4.3196E-06
 17 0.0000E+00 2.2596E-06 4.4249E-06
 18 0.0000E+00 2.2596E-06 4.5438E-06
 19 0.0000E+00 2.2596E-06 4.6350E-06
 20 0.0000E+00 2.2596E-06 4.7351E-06
 21 0.0000E+00 2.2596E-06 4.8155E-06
 22 0.0000E+00 2.2596E-06 4.8989E-06
 23 0.0000E+00 2.2596E-06 4.9593E-06
 24 0.0000E+00 2.2596E-06 5.0164E-06
 25 0.0000E+00 2.2596E-06 5.0500E-06
 26 0.0000E+00 2.2596E-06 5.0773E-06
 27 0.0000E+00 2.2596E-06 5.0867E-06
 28 0.0000E+00 2.2596E-06 5.0849E-06
 29 0.0000E+00 2.2596E-06 5.0632E-06
 30 0.0000E+00 2.2596E-06 5.0336E-06
