                  1         2         3         4         5         6         7         8         9
  4.36E-01  1.51E-07  6.27E-08  2.45E-07  3.11E-07  1.93E-07  7.44E-07  8.39E-06  8.70E-05  4.07E-05
  4.65E-01  1.46E-07  6.08E-08  2.37E-07  2.97E-07  1.83E-07  6.99E-07  1.08E-05  1.18E-04  5.58E-05
  4.96E-01  1.41E-07  5.90E-08  2.29E-07  2.85E-07  1.74E-07  6.57E-07  1.32E-05  1.50E-04  7.13E-05
  5.29E-01  1.36E-07  5.71E-08  2.22E-07  2.73E-07  1.65E-07  6.19E-07  1.64E-05  1.92E-04  9.22E-05
  5.62E-01  1.30E-07  5.52E-08  2.14E-07  2.63E-07  1.58E-07  5.86E-07  2.18E-05  2.62E-04  1.27E-04
  5.97E-01  1.25E-07  5.33E-08  2.07E-07  2.53E-07  1.51E-07  5.56E-07  2.70E-05  3.33E-04  1.63E-04
  6.33E-01  1.19E-07  5.13E-08  2.00E-07  2.44E-07  1.45E-07  5.29E-07  3.19E-05  4.01E-04  1.98E-04
  6.71E-01  1.13E-07  4.92E-08  1.93E-07  2.36E-07  1.39E-07  5.05E-07  3.69E-05  4.72E-04  2.36E-04
  7.09E-01  1.07E-07  4.71E-08  1.86E-07  2.28E-07  1.34E-07  4.85E-07  4.72E-05  6.13E-04  3.10E-04
  7.49E-01  1.01E-07  4.49E-08  1.79E-07  2.20E-07  1.29E-07  4.68E-07  5.87E-05  7.73E-04  3.95E-04
  7.90E-01  9.43E-08  4.27E-08  1.71E-07  2.12E-07  1.24E-07  4.53E-07  6.95E-05  9.24E-04  4.78E-04
  8.33E-01  8.77E-08  4.04E-08  1.63E-07  2.04E-07  1.20E-07  4.40E-07  7.94E-05  1.06E-03  5.57E-04
  8.76E-01  8.10E-08  3.81E-08  1.56E-07  1.96E-07  1.15E-07  4.28E-07  8.69E-05  1.17E-03  6.20E-04
  9.20E-01  7.42E-08  3.58E-08  1.48E-07  1.88E-07  1.11E-07  4.12E-07  8.39E-05  1.13E-03  6.07E-04
  9.65E-01  6.72E-08  3.34E-08  1.40E-07  1.81E-07  1.07E-07  3.97E-07  8.01E-05  1.08E-03  5.87E-04
                 10        11        12        13        14        15        16        17        18
  1.00E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.76E-08
  1.20E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.78E-08
  1.44E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.79E-08
  1.73E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.81E-08
  2.07E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.82E-08
  2.48E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.83E-08
  2.96E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.85E-08
  3.52E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.13E-07  6.86E-08
  4.19E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.14E-07  6.88E-08
  4.99E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.38E-07  8.85E-08  1.15E-07  6.90E-08
  5.92E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.39E-07  8.85E-08  1.16E-07  6.92E-08
  7.02E-05  2.58E-07  4.60E-07  1.89E-07  3.04E-07  1.33E-07  2.41E-07  8.85E-08  1.18E-07  6.94E-08
  8.31E-05  2.58E-07  4.61E-07  1.89E-07  3.04E-07  1.33E-07  2.45E-07  8.85E-08  1.21E-07  7.16E-08
  9.82E-05  2.58E-07  4.61E-07  1.89E-07  3.04E-07  1.33E-07  2.50E-07  8.86E-08  1.26E-07  8.07E-08
  1.16E-04  2.58E-07  4.61E-07  1.89E-07  3.04E-07  1.33E-07  2.59E-07  8.86E-08  1.35E-07  9.75E-08
  1.37E-04  2.58E-07  4.61E-07  1.89E-07  3.04E-07  1.33E-07  2.72E-07  8.87E-08  1.48E-07  1.21E-07
  1.61E-04  2.58E-07  4.61E-07  1.89E-07  3.05E-07  1.33E-07  2.96E-07  8.88E-08  1.71E-07  1.68E-07
  1.89E-04  2.59E-07  4.64E-07  1.89E-07  3.06E-07  1.33E-07  3.28E-07  8.88E-08  2.01E-07  2.32E-07
  2.22E-04  2.59E-07  4.67E-07  1.89E-07  3.09E-07  1.33E-07  3.83E-07  8.89E-08  2.51E-07  3.42E-07
  2.60E-04  2.59E-07  4.72E-07  1.89E-07  3.12E-07  1.33E-07  4.67E-07  8.90E-08  3.13E-07  4.85E-07
  3.05E-04  2.59E-07  4.77E-07  1.89E-07  3.15E-07  1.33E-07  5.74E-07  8.91E-08  3.85E-07  6.99E-07
  3.57E-04  2.59E-07  4.83E-07  1.89E-07  3.19E-07  1.33E-07  6.98E-07  8.93E-08  4.83E-07  9.55E-07
  4.16E-04  2.59E-07  4.89E-07  1.89E-07  3.23E-07  1.33E-07  8.12E-07  9.28E-08  5.71E-07  1.22E-06
  4.85E-04  2.59E-07  4.94E-07  1.89E-07  3.26E-07  1.33E-07  9.23E-07  9.73E-08  6.55E-07  1.50E-06
  5.65E-04  2.59E-07  5.00E-07  1.90E-07  3.29E-07  1.33E-07  1.05E-06  1.02E-07  7.45E-07  1.79E-06
  6.57E-04  2.59E-07  5.06E-07  1.90E-07  3.33E-07  1.33E-07  1.17E-06  1.06E-07  8.37E-07  2.04E-06
  7.63E-04  2.59E-07  5.13E-07  1.90E-07  3.37E-07  1.34E-07  1.30E-06  1.10E-07  9.38E-07  2.31E-06
  8.84E-04  2.59E-07  5.21E-07  1.90E-07  3.42E-07  1.34E-07  1.43E-06  1.13E-07  1.04E-06  2.53E-06
  1.02E-03  2.59E-07  5.29E-07  1.90E-07  3.47E-07  1.34E-07  1.57E-06  1.16E-07  1.14E-06  2.72E-06
  1.18E-03  2.59E-07  5.38E-07  1.90E-07  3.52E-07  1.34E-07  1.72E-06  1.20E-07  1.26E-06  2.94E-06
  1.37E-03  2.59E-07  5.46E-07  1.91E-07  3.57E-07  1.34E-07  1.83E-06  1.22E-07  1.36E-06  3.07E-06
  1.58E-03  2.59E-07  5.55E-07  1.94E-07  3.62E-07  1.34E-07  1.96E-06  1.24E-07  1.46E-06  3.21E-06
  1.81E-03  2.59E-07  5.64E-07  1.97E-07  3.68E-07  1.35E-07  2.10E-06  1.26E-07  1.57E-06  3.36E-06
  2.09E-03  2.59E-07  5.70E-07  1.98E-07  3.72E-07  1.35E-07  2.20E-06  1.29E-07  1.66E-06  3.45E-06
  2.40E-03  2.59E-07  5.78E-07  2.00E-07  3.76E-07  1.35E-07  2.30E-06  1.31E-07  1.75E-06  3.54E-06
  2.75E-03  2.59E-07  5.85E-07  2.02E-07  3.81E-07  1.35E-07  2.42E-06  1.34E-07  1.84E-06  3.64E-06
  3.15E-03  2.59E-07  5.91E-07  2.03E-07  3.84E-07  1.35E-07  2.49E-06  1.35E-07  1.91E-06  3.70E-06
  3.60E-03  2.59E-07  5.96E-07  2.04E-07  3.87E-07  1.35E-07  2.57E-06  1.37E-07  1.97E-06  3.76E-06
  4.11E-03  2.59E-07  6.02E-07  2.05E-07  3.91E-07  1.35E-07  2.65E-06  1.39E-07  2.05E-06  3.82E-06
  4.68E-03  2.59E-07  6.05E-07  2.06E-07  3.93E-07  1.35E-07  2.70E-06  1.40E-07  2.09E-06  3.86E-06
  5.33E-03  2.59E-07  6.08E-07  2.06E-07  3.95E-07  1.35E-07  2.75E-06  1.41E-07  2.14E-06  3.90E-06
  6.06E-03  2.58E-07  6.12E-07  2.07E-07  3.98E-07  1.35E-07  2.81E-06  1.42E-07  2.19E-06  3.94E-06
  6.88E-03  2.58E-07  6.20E-07  2.08E-07  4.03E-07  1.36E-07  2.93E-06  1.43E-07  2.30E-06  3.98E-06
  7.81E-03  2.58E-07  6.32E-07  2.08E-07  4.11E-07  1.36E-07  3.09E-06  1.43E-07  2.45E-06  4.00E-06
  8.84E-03  2.58E-07  6.46E-07  2.08E-07  4.20E-07  1.36E-07  3.28E-06  1.44E-07  2.62E-06  4.03E-06
  9.99E-03  2.58E-07  6.68E-07  2.09E-07  4.35E-07  1.36E-07  3.57E-06  1.45E-07  2.89E-06  4.06E-06
  1.13E-02  2.57E-07  7.06E-07  2.09E-07  4.60E-07  1.37E-07  4.04E-06  1.45E-07  3.33E-06  4.09E-06
  1.27E-02  2.57E-07  7.48E-07  2.09E-07  4.88E-07  1.38E-07  4.57E-06  1.46E-07  3.84E-06  4.11E-06
  1.43E-02  2.57E-07  7.95E-07  2.09E-07  5.20E-07  1.39E-07  5.16E-06  1.46E-07  4.40E-06  4.14E-06
  1.61E-02  2.56E-07  8.50E-07  2.09E-07  5.57E-07  1.40E-07  5.84E-06  1.47E-07  5.05E-06  4.16E-06
  1.81E-02  2.56E-07  9.10E-07  2.09E-07  5.99E-07  1.41E-07  6.59E-06  1.47E-07  5.78E-06  4.19E-06
  2.03E-02  2.55E-07  9.74E-07  2.09E-07  6.44E-07  1.42E-07  7.40E-06  1.48E-07  6.56E-06  4.22E-06
  2.27E-02  2.55E-07  1.03E-06  2.09E-07  6.83E-07  1.43E-07  8.10E-06  1.48E-07  7.24E-06  4.24E-06
  2.54E-02  2.54E-07  1.07E-06  2.09E-07  7.13E-07  1.44E-07  8.62E-06  1.48E-07  7.76E-06  4.25E-06
  2.84E-02  2.54E-07  1.11E-06  2.09E-07  7.44E-07  1.45E-07  9.18E-06  1.49E-07  8.32E-06  4.27E-06
  3.16E-02  2.54E-07  1.15E-06  2.09E-07  7.77E-07  1.45E-07  9.76E-06  1.49E-07  8.90E-06  4.29E-06
  3.52E-02  2.53E-07  1.18E-06  2.09E-07  7.98E-07  1.46E-07  1.01E-05  1.49E-07  9.27E-06  4.30E-06
  3.92E-02  2.52E-07  1.20E-06  2.08E-07  8.17E-07  1.46E-07  1.04E-05  1.49E-07  9.61E-06  4.31E-06
  4.35E-02  2.52E-07  1.22E-06  2.08E-07  8.38E-07  1.47E-07  1.08E-05  1.50E-07  9.99E-06  4.32E-06
  4.82E-02  2.51E-07  1.25E-06  2.08E-07  8.60E-07  1.47E-07  1.12E-05  1.50E-07  1.04E-05  4.33E-06
  5.34E-02  2.50E-07  1.28E-06  2.07E-07  8.82E-07  1.48E-07  1.16E-05  1.50E-07  1.08E-05  4.34E-06
  5.91E-02  2.49E-07  1.31E-06  2.07E-07  9.07E-07  1.48E-07  1.20E-05  1.50E-07  1.12E-05  4.35E-06
  6.52E-02  2.48E-07  1.35E-06  2.06E-07  9.36E-07  1.49E-07  1.24E-05  1.50E-07  1.17E-05  4.36E-06
  7.20E-02  2.47E-07  1.40E-06  2.06E-07  9.76E-07  1.49E-07  1.31E-05  1.50E-07  1.23E-05  4.38E-06
  7.92E-02  2.46E-07  1.47E-06  2.05E-07  1.03E-06  1.51E-07  1.39E-05  1.50E-07  1.32E-05  4.39E-06
  8.71E-02  2.45E-07  1.54E-06  2.04E-07  1.08E-06  1.52E-07  1.48E-05  1.50E-07  1.41E-05  4.41E-06
  9.57E-02  2.44E-07  1.61E-06  2.04E-07  1.14E-06  1.53E-07  1.58E-05  1.51E-07  1.51E-05  4.43E-06
  1.05E-01  2.42E-07  1.66E-06  2.03E-07  1.18E-06  1.54E-07  1.64E-05  1.51E-07  1.57E-05  4.44E-06
  1.15E-01  2.40E-07  1.69E-06  2.02E-07  1.21E-06  1.54E-07  1.68E-05  1.50E-07  1.62E-05  4.45E-06
  1.26E-01  2.39E-07  1.72E-06  2.01E-07  1.24E-06  1.55E-07  1.73E-05  1.50E-07  1.68E-05  4.45E-06
  1.37E-01  2.37E-07  1.78E-06  2.00E-07  1.29E-06  1.55E-07  1.81E-05  1.50E-07  1.76E-05  4.47E-06
  1.50E-01  2.36E-07  2.07E-06  1.99E-07  1.52E-06  1.62E-07  2.18E-05  1.51E-07  2.13E-05  4.54E-06
  1.63E-01  2.35E-07  2.66E-06  1.98E-07  1.97E-06  1.75E-07  2.91E-05  1.54E-07  2.87E-05  4.68E-06
  1.77E-01  2.34E-07  3.29E-06  1.98E-07  2.46E-06  1.89E-07  3.71E-05  1.56E-07  3.67E-05  4.84E-06
  1.93E-01  2.34E-07  4.05E-06  1.97E-07  3.05E-06  2.06E-07  4.66E-05  1.60E-07  4.63E-05  5.03E-06
