  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 88 6.2459E-01 1.5794E+05 1.7314E+07
 89 6.6495E-01 1.5501E+05 1.5290E+07
 90 7.0692E-01 1.5205E+05 1.3364E+07
 91 7.5048E-01 1.4909E+05 1.1538E+07
 92 7.9560E-01 1.4613E+05 9.8124E+06
 93 8.4225E-01 1.4320E+05 8.1896E+06
 94 8.9037E-01 1.4032E+05 6.6722E+06
 95 9.3991E-01 1.3749E+05 5.2626E+06
 96 9.9080E-01 1.3454E+05 5.1247E+06
 97 1.0430E+00 1.3142E+05 5.0237E+06
 98 1.0964E+00 1.2814E+05 4.9242E+06
 99 1.1508E+00 1.2505E+05 4.8307E+06
100 1.2063E+00 1.2226E+05 8.1568E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8036E+08
  2 1.4513E-05 2.7163E+03 4.6279E+08
  3 1.7446E-05 2.7163E+03 4.4209E+08
  4 2.0943E-05 2.7163E+03 4.1780E+08
  5 2.5106E-05 2.7163E+03 3.9131E+08
  6 3.0053E-05 2.7163E+03 3.6455E+08
  7 3.5924E-05 2.7163E+03 3.3898E+08
  8 4.2881E-05 2.7163E+03 3.1534E+08
  9 5.1114E-05 2.7163E+03 2.9383E+08
 10 6.0842E-05 2.7163E+03 2.7434E+08
 11 7.2318E-05 2.7163E+03 2.5662E+08
 12 8.5838E-05 2.7163E+03 2.4044E+08
 13 1.0174E-04 2.7163E+03 2.2559E+08
 14 1.2042E-04 2.7163E+03 2.1191E+08
 15 1.4233E-04 2.7163E+03 1.9926E+08
 16 1.6799E-04 2.7163E+03 1.8755E+08
 17 1.9799E-04 2.7163E+03 1.7667E+08
 18 2.3302E-04 2.7163E+03 1.6656E+08
 19 2.7386E-04 2.7163E+03 1.5715E+08
 20 3.2141E-04 2.7163E+03 1.4840E+08
 21 3.7668E-04 2.7163E+03 1.4027E+08
 22 4.4083E-04 2.7163E+03 1.3271E+08
 23 5.1517E-04 2.7163E+03 1.2569E+08
 24 6.0121E-04 2.7163E+03 1.1912E+08
 25 7.0062E-04 2.7163E+03 1.1295E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6232E+07
 29 1.2740E-03 2.7163E+03 9.1152E+07
 30 1.4742E-03 2.7163E+03 8.6315E+07
 31 1.7035E-03 2.7163E+03 8.1741E+07
 32 1.9657E-03 2.7163E+03 7.7449E+07
 33 2.2649E-03 2.7163E+03 7.3457E+07
 34 2.6061E-03 2.7163E+03 6.9770E+07
 35 2.9945E-03 2.7163E+03 6.6372E+07
 36 3.4358E-03 2.7163E+03 6.3232E+07
 37 3.9366E-03 2.7163E+03 6.0319E+07
 38 4.5041E-03 2.7163E+03 5.7588E+07
 39 5.1461E-03 2.7163E+03 5.5038E+07
 40 5.8713E-03 2.7163E+03 5.2669E+07
 41 6.6892E-03 2.7163E+03 5.0432E+07
 42 7.6103E-03 2.7163E+03 4.8254E+07
 43 8.6461E-03 2.7163E+03 4.6251E+07
 44 9.8089E-03 2.7163E+03 4.4345E+07
 45 1.1112E-02 2.7163E+03 4.2623E+07
 46 1.2571E-02 2.7163E+03 4.1050E+07
 47 1.4202E-02 2.7163E+03 3.9640E+07
 48 1.6021E-02 2.7163E+03 3.8452E+07
 49 1.8048E-02 2.7163E+03 3.7572E+07
 50 2.0303E-02 2.7163E+03 3.6917E+07
 51 2.2807E-02 2.7163E+03 3.6203E+07
 52 2.5583E-02 3.7377E+03 3.9386E+07
 53 2.8657E-02 6.9544E+03 4.7232E+07
 54 3.2055E-02 1.1631E+04 5.4482E+07
 55 3.5806E-02 1.7260E+04 6.0203E+07
 56 3.9939E-02 2.3661E+04 6.4616E+07
 57 4.4486E-02 3.0607E+04 6.7872E+07
 58 4.9481E-02 3.7791E+04 7.0067E+07
 59 5.4959E-02 4.5170E+04 7.1444E+07
 60 6.0957E-02 5.2772E+04 7.2200E+07
 61 6.7515E-02 6.0640E+04 7.2476E+07
 62 7.4672E-02 6.8724E+04 7.2340E+07
 63 8.2472E-02 7.6836E+04 7.1805E+07
 64 9.0957E-02 8.4581E+04 7.0834E+07
 65 1.0017E-01 9.1735E+04 6.9462E+07
 66 1.1017E-01 9.8125E+04 6.7735E+07
 67 1.2099E-01 1.0358E+05 6.5691E+07
 68 1.3269E-01 1.0845E+05 6.3491E+07
 69 1.4531E-01 1.1315E+05 6.1244E+07
 70 1.5891E-01 1.1800E+05 5.8992E+07
