  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
 59 5.4959E-02 4.5482E+04 7.1487E+07
 60 6.0957E-02 5.3050E+04 7.2217E+07
 61 6.7515E-02 6.0885E+04 7.2476E+07
 62 7.4672E-02 6.8936E+04 7.2328E+07
 63 8.2472E-02 7.7020E+04 7.1786E+07
 64 9.0957E-02 8.4738E+04 7.0812E+07
 65 1.0017E-01 9.1863E+04 6.9438E+07
 66 1.1017E-01 9.8224E+04 6.7710E+07
 67 1.2099E-01 1.0365E+05 6.5668E+07
 68 1.3269E-01 1.0849E+05 6.3469E+07
 69 1.4531E-01 1.1318E+05 6.1225E+07
 70 1.5891E-01 1.1801E+05 5.8976E+07
 71 1.7354E-01 1.2334E+05 5.6780E+07
 72 1.8924E-01 1.2930E+05 5.4641E+07
 73 2.0608E-01 1.3590E+05 5.2548E+07
 74 2.2409E-01 1.4291E+05 5.0461E+07
 75 2.4334E-01 1.4990E+05 4.8329E+07
 76 2.6387E-01 1.5646E+05 4.6123E+07
 77 2.8572E-01 1.6213E+05 4.3819E+07
 78 3.0895E-01 1.6661E+05 4.1419E+07
 79 3.3359E-01 1.6976E+05 3.8940E+07
 80 3.5970E-01 1.7154E+05 3.6407E+07
 81 3.8729E-01 1.7211E+05 3.3853E+07
 82 4.1642E-01 1.7165E+05 3.1309E+07
 83 4.4710E-01 1.7037E+05 2.8798E+07
 84 4.7937E-01 1.6849E+05 2.6344E+07
 85 5.1324E-01 1.6620E+05 2.3961E+07
 86 5.4873E-01 1.6361E+05 2.1659E+07
 87 5.8584E-01 1.6086E+05 1.9446E+07
 88 6.2459E-01 1.5799E+05 1.7326E+07
 89 6.6495E-01 1.5506E+05 1.5301E+07
 90 7.0692E-01 1.5210E+05 1.3374E+07
 91 7.5048E-01 1.4914E+05 1.1547E+07
 92 7.9560E-01 1.4618E+05 9.8199E+06
 93 8.4225E-01 1.4325E+05 8.1960E+06
 94 8.9037E-01 1.4036E+05 6.6776E+06
 95 9.3991E-01 1.3753E+05 5.2668E+06
 96 9.9080E-01 1.3458E+05 5.1286E+06
 97 1.0430E+00 1.3146E+05 5.0275E+06
 98 1.0964E+00 1.2817E+05 4.9280E+06
 99 1.1508E+00 1.2508E+05 4.8345E+06
100 1.2063E+00 1.2229E+05 8.1635E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8069E+08
  2 1.4513E-05 2.7163E+03 4.6303E+08
  3 1.7446E-05 2.7163E+03 4.4239E+08
  4 2.0943E-05 2.7163E+03 4.1806E+08
  5 2.5106E-05 2.7163E+03 3.9141E+08
  6 3.0053E-05 2.7163E+03 3.6453E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1522E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7421E+08
 11 7.2318E-05 2.7163E+03 2.5649E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1178E+08
 15 1.4233E-04 2.7163E+03 1.9914E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5707E+08
 20 3.2141E-04 2.7163E+03 1.4833E+08
 21 3.7668E-04 2.7163E+03 1.4021E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6241E+07
 29 1.2740E-03 2.7163E+03 9.1163E+07
 30 1.4742E-03 2.7163E+03 8.6327E+07
 31 1.7035E-03 2.7163E+03 8.1751E+07
 32 1.9657E-03 2.7163E+03 7.7458E+07
 33 2.2649E-03 2.7163E+03 7.3464E+07
 34 2.6061E-03 2.7163E+03 6.9773E+07
 35 2.9945E-03 2.7163E+03 6.6373E+07
 36 3.4358E-03 2.7163E+03 6.3238E+07
 37 3.9366E-03 2.7163E+03 6.0325E+07
 38 4.5041E-03 2.7163E+03 5.7588E+07
 39 5.1461E-03 2.7163E+03 5.5044E+07
 40 5.8713E-03 2.7163E+03 5.2677E+07
 41 6.6892E-03 2.7163E+03 5.0437E+07
 42 7.6103E-03 2.7163E+03 4.8267E+07
 43 8.6461E-03 2.7163E+03 4.6252E+07
 44 9.8089E-03 2.7163E+03 4.4354E+07
 45 1.1112E-02 2.7163E+03 4.2631E+07
 46 1.2571E-02 2.7163E+03 4.1054E+07
 47 1.4202E-02 2.7163E+03 3.9645E+07
 48 1.6021E-02 2.7163E+03 3.8358E+07
 49 1.8048E-02 2.7163E+03 3.7404E+07
 50 2.0303E-02 2.7163E+03 3.6757E+07
 51 2.2807E-02 2.7163E+03 3.6052E+07
 52 2.5583E-02 4.3763E+03 4.1350E+07
 53 2.8657E-02 7.5547E+03 4.8380E+07
 54 3.2055E-02 1.2183E+04 5.5157E+07
 55 3.5806E-02 1.7761E+04 6.0611E+07
 56 3.9939E-02 2.4111E+04 6.4865E+07
 57 4.4486E-02 3.1005E+04 6.8020E+07
 58 4.9481E-02 3.8143E+04 7.0151E+07
 59 5.4959E-02 4.5480E+04 7.1486E+07
 60 6.0957E-02 5.3048E+04 7.2217E+07
 61 6.7515E-02 6.0883E+04 7.2476E+07
 62 7.4672E-02 6.8935E+04 7.2328E+07
 63 8.2472E-02 7.7018E+04 7.1785E+07
 64 9.0957E-02 8.4736E+04 7.0812E+07
 65 1.0017E-01 9.1861E+04 6.9438E+07
 66 1.1017E-01 9.8223E+04 6.7710E+07
 67 1.2099E-01 1.0365E+05 6.5667E+07
 68 1.3269E-01 1.0849E+05 6.3469E+07
 69 1.4531E-01 1.1318E+05 6.1225E+07
 70 1.5891E-01 1.1801E+05 5.8976E+07
 71 1.7354E-01 1.2334E+05 5.6780E+07
 72 1.8924E-01 1.2930E+05 5.4641E+07
 73 2.0608E-01 1.3590E+05 5.2548E+07
 74 2.2409E-01 1.4291E+05 5.0461E+07
 75 2.4334E-01 1.4990E+05 4.8329E+07
 76 2.6387E-01 1.5646E+05 4.6123E+07
 77 2.8572E-01 1.6213E+05 4.3820E+07
 78 3.0895E-01 1.6661E+05 4.1418E+07
 79 3.3359E-01 1.6976E+05 3.8940E+07
 80 3.5970E-01 1.7154E+05 3.6408E+07
 81 3.8729E-01 1.7211E+05 3.3853E+07
 82 4.1642E-01 1.7165E+05 3.1309E+07
 83 4.4710E-01 1.7037E+05 2.8798E+07
 84 4.7937E-01 1.6849E+05 2.6344E+07
 85 5.1324E-01 1.6620E+05 2.3961E+07
 86 5.4873E-01 1.6361E+05 2.1659E+07
 87 5.8584E-01 1.6086E+05 1.9446E+07
 88 6.2459E-01 1.5799E+05 1.7326E+07
 89 6.6495E-01 1.5506E+05 1.5301E+07
 90 7.0692E-01 1.5210E+05 1.3374E+07
 91 7.5048E-01 1.4914E+05 1.1547E+07
 92 7.9560E-01 1.4618E+05 9.8199E+06
 93 8.4225E-01 1.4325E+05 8.1961E+06
 94 8.9037E-01 1.4036E+05 6.6776E+06
 95 9.3991E-01 1.3753E+05 5.2668E+06
 96 9.9080E-01 1.3458E+05 5.1286E+06
 97 1.0430E+00 1.3146E+05 5.0276E+06
 98 1.0964E+00 1.2817E+05 4.9280E+06
 99 1.1508E+00 1.2508E+05 4.8346E+06
100 1.2063E+00 1.2229E+05 8.1635E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8090E+08
  2 1.4513E-05 2.7163E+03 4.6318E+08
  3 1.7446E-05 2.7163E+03 4.4248E+08
  4 2.0943E-05 2.7163E+03 4.1808E+08
  5 2.5106E-05 2.7163E+03 3.9141E+08
  6 3.0053E-05 2.7163E+03 3.6453E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1522E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7421E+08
 11 7.2318E-05 2.7163E+03 2.5649E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1178E+08
 15 1.4233E-04 2.7163E+03 1.9914E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5707E+08
 20 3.2141E-04 2.7163E+03 1.4833E+08
 21 3.7668E-04 2.7163E+03 1.4021E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6241E+07
 29 1.2740E-03 2.7163E+03 9.1163E+07
 30 1.4742E-03 2.7163E+03 8.6327E+07
 31 1.7035E-03 2.7163E+03 8.1751E+07
 32 1.9657E-03 2.7163E+03 7.7458E+07
 33 2.2649E-03 2.7163E+03 7.3464E+07
 34 2.6061E-03 2.7163E+03 6.9773E+07
 35 2.9945E-03 2.7163E+03 6.6374E+07
 36 3.4358E-03 2.7163E+03 6.3239E+07
 37 3.9366E-03 2.7163E+03 6.0326E+07
 38 4.5041E-03 2.7163E+03 5.7587E+07
 39 5.1461E-03 2.7163E+03 5.5045E+07
 40 5.8713E-03 2.7163E+03 5.2677E+07
 41 6.6892E-03 2.7163E+03 5.0437E+07
 42 7.6103E-03 2.7163E+03 4.8267E+07
 43 8.6461E-03 2.7163E+03 4.6252E+07
 44 9.8089E-03 2.7163E+03 4.4354E+07
 45 1.1112E-02 2.7163E+03 4.2631E+07
 46 1.2571E-02 2.7163E+03 4.1055E+07
 47 1.4202E-02 2.7163E+03 3.9645E+07
 48 1.6021E-02 2.7163E+03 3.8359E+07
 49 1.8048E-02 2.7163E+03 3.7404E+07
 50 2.0303E-02 2.7163E+03 3.6758E+07
 51 2.2807E-02 2.7163E+03 3.6053E+07
 52 2.5583E-02 4.3726E+03 4.1338E+07
 53 2.8657E-02 7.5512E+03 4.8373E+07
 54 3.2055E-02 1.2180E+04 5.5152E+07
 55 3.5806E-02 1.7758E+04 6.0608E+07
 56 3.9939E-02 2.4108E+04 6.4862E+07
 57 4.4486E-02 3.1003E+04 6.8018E+07
 58 4.9481E-02 3.8140E+04 7.0150E+07
 59 5.4959E-02 4.5477E+04 7.1485E+07
 60 6.0957E-02 5.3046E+04 7.2216E+07
 61 6.7515E-02 6.0881E+04 7.2475E+07
 62 7.4672E-02 6.8932E+04 7.2327E+07
 63 8.2472E-02 7.7016E+04 7.1785E+07
 64 9.0957E-02 8.4734E+04 7.0811E+07
 65 1.0017E-01 9.1859E+04 6.9438E+07
 66 1.1017E-01 9.8220E+04 6.7710E+07
 67 1.2099E-01 1.0365E+05 6.5667E+07
 68 1.3269E-01 1.0849E+05 6.3469E+07
 69 1.4531E-01 1.1318E+05 6.1225E+07
 70 1.5891E-01 1.1801E+05 5.8976E+07
 71 1.7354E-01 1.2334E+05 5.6780E+07
 72 1.8924E-01 1.2930E+05 5.4641E+07
 73 2.0608E-01 1.3590E+05 5.2548E+07
 74 2.2409E-01 1.4291E+05 5.0461E+07
 75 2.4334E-01 1.4989E+05 4.8329E+07
 76 2.6387E-01 1.5646E+05 4.6123E+07
 77 2.8572E-01 1.6213E+05 4.3820E+07
 78 3.0895E-01 1.6661E+05 4.1419E+07
 79 3.3359E-01 1.6976E+05 3.8940E+07
 80 3.5970E-01 1.7154E+05 3.6408E+07
 81 3.8729E-01 1.7211E+05 3.3853E+07
 82 4.1642E-01 1.7165E+05 3.1309E+07
 83 4.4710E-01 1.7036E+05 2.8798E+07
 84 4.7937E-01 1.6849E+05 2.6344E+07
 85 5.1324E-01 1.6620E+05 2.3961E+07
 86 5.4873E-01 1.6361E+05 2.1659E+07
 87 5.8584E-01 1.6086E+05 1.9446E+07
 88 6.2459E-01 1.5799E+05 1.7326E+07
 89 6.6495E-01 1.5506E+05 1.5301E+07
 90 7.0692E-01 1.5210E+05 1.3374E+07
 91 7.5048E-01 1.4914E+05 1.1547E+07
 92 7.9560E-01 1.4618E+05 9.8200E+06
 93 8.4225E-01 1.4325E+05 8.1961E+06
 94 8.9037E-01 1.4036E+05 6.6776E+06
 95 9.3991E-01 1.3753E+05 5.2669E+06
 96 9.9080E-01 1.3458E+05 5.1286E+06
 97 1.0430E+00 1.3146E+05 5.0276E+06
 98 1.0964E+00 1.2817E+05 4.9280E+06
 99 1.1508E+00 1.2508E+05 4.8346E+06
100 1.2063E+00 1.2229E+05 8.1637E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8050E+08
  2 1.4513E-05 2.7163E+03 4.6293E+08
  3 1.7446E-05 2.7163E+03 4.4240E+08
  4 2.0943E-05 2.7163E+03 4.1809E+08
  5 2.5106E-05 2.7163E+03 3.9143E+08
  6 3.0053E-05 2.7163E+03 3.6454E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7421E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1178E+08
 15 1.4233E-04 2.7163E+03 1.9914E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5707E+08
 20 3.2141E-04 2.7163E+03 1.4833E+08
 21 3.7668E-04 2.7163E+03 1.4021E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6242E+07
 29 1.2740E-03 2.7163E+03 9.1164E+07
 30 1.4742E-03 2.7163E+03 8.6327E+07
 31 1.7035E-03 2.7163E+03 8.1751E+07
 32 1.9657E-03 2.7163E+03 7.7458E+07
 33 2.2649E-03 2.7163E+03 7.3464E+07
 34 2.6061E-03 2.7163E+03 6.9773E+07
 35 2.9945E-03 2.7163E+03 6.6374E+07
 36 3.4358E-03 2.7163E+03 6.3240E+07
 37 3.9366E-03 2.7163E+03 6.0326E+07
 38 4.5041E-03 2.7163E+03 5.7587E+07
 39 5.1461E-03 2.7163E+03 5.5045E+07
 40 5.8713E-03 2.7163E+03 5.2678E+07
 41 6.6892E-03 2.7163E+03 5.0437E+07
 42 7.6103E-03 2.7163E+03 4.8268E+07
 43 8.6461E-03 2.7163E+03 4.6252E+07
 44 9.8089E-03 2.7163E+03 4.4355E+07
 45 1.1112E-02 2.7163E+03 4.2631E+07
 46 1.2571E-02 2.7163E+03 4.1055E+07
 47 1.4202E-02 2.7163E+03 3.9646E+07
 48 1.6021E-02 2.7163E+03 3.8359E+07
 49 1.8048E-02 2.7163E+03 3.7405E+07
 50 2.0303E-02 2.7163E+03 3.6758E+07
 51 2.2807E-02 2.7163E+03 3.6053E+07
 52 2.5583E-02 4.3707E+03 4.1333E+07
 53 2.8657E-02 7.5494E+03 4.8370E+07
 54 3.2055E-02 1.2179E+04 5.5150E+07
 55 3.5806E-02 1.7756E+04 6.0607E+07
 56 3.9939E-02 2.4107E+04 6.4862E+07
 57 4.4486E-02 3.1001E+04 6.8018E+07
 58 4.9481E-02 3.8139E+04 7.0149E+07
 59 5.4959E-02 4.5476E+04 7.1485E+07
 60 6.0957E-02 5.3045E+04 7.2216E+07
 61 6.7515E-02 6.0879E+04 7.2475E+07
 62 7.4672E-02 6.8931E+04 7.2327E+07
 63 8.2472E-02 7.7014E+04 7.1785E+07
 64 9.0957E-02 8.4732E+04 7.0811E+07
 65 1.0017E-01 9.1858E+04 6.9437E+07
 66 1.1017E-01 9.8219E+04 6.7710E+07
 67 1.2099E-01 1.0365E+05 6.5667E+07
 68 1.3269E-01 1.0849E+05 6.3469E+07
 69 1.4531E-01 1.1318E+05 6.1225E+07
 70 1.5891E-01 1.1801E+05 5.8976E+07
 71 1.7354E-01 1.2334E+05 5.6779E+07
 72 1.8924E-01 1.2930E+05 5.4641E+07
 73 2.0608E-01 1.3590E+05 5.2548E+07
 74 2.2409E-01 1.4290E+05 5.0461E+07
 75 2.4334E-01 1.4989E+05 4.8329E+07
 76 2.6387E-01 1.5646E+05 4.6123E+07
 77 2.8572E-01 1.6213E+05 4.3820E+07
 78 3.0895E-01 1.6661E+05 4.1419E+07
 79 3.3359E-01 1.6976E+05 3.8940E+07
 80 3.5970E-01 1.7154E+05 3.6408E+07
 81 3.8729E-01 1.7211E+05 3.3853E+07
 82 4.1642E-01 1.7165E+05 3.1309E+07
 83 4.4710E-01 1.7036E+05 2.8798E+07
 84 4.7937E-01 1.6849E+05 2.6344E+07
 85 5.1324E-01 1.6620E+05 2.3961E+07
 86 5.4873E-01 1.6361E+05 2.1659E+07
 87 5.8584E-01 1.6086E+05 1.9446E+07
 88 6.2459E-01 1.5799E+05 1.7326E+07
 89 6.6495E-01 1.5506E+05 1.5301E+07
 90 7.0692E-01 1.5210E+05 1.3374E+07
 91 7.5048E-01 1.4914E+05 1.1547E+07
 92 7.9560E-01 1.4618E+05 9.8200E+06
 93 8.4225E-01 1.4325E+05 8.1961E+06
 94 8.9037E-01 1.4036E+05 6.6776E+06
 95 9.3991E-01 1.3753E+05 5.2669E+06
 96 9.9080E-01 1.3458E+05 5.1286E+06
 97 1.0430E+00 1.3146E+05 5.0276E+06
 98 1.0964E+00 1.2817E+05 4.9280E+06
 99 1.1508E+00 1.2508E+05 4.8346E+06
100 1.2063E+00 1.2229E+05 8.1637E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8047E+08
  2 1.4513E-05 2.7163E+03 4.6293E+08
  3 1.7446E-05 2.7163E+03 4.4240E+08
  4 2.0943E-05 2.7163E+03 4.1809E+08
  5 2.5106E-05 2.7163E+03 3.9144E+08
  6 3.0053E-05 2.7163E+03 3.6454E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1522E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7421E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1178E+08
 15 1.4233E-04 2.7163E+03 1.9914E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5707E+08
 20 3.2141E-04 2.7163E+03 1.4833E+08
 21 3.7668E-04 2.7163E+03 1.4021E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6242E+07
 29 1.2740E-03 2.7163E+03 9.1164E+07
 30 1.4742E-03 2.7163E+03 8.6327E+07
 31 1.7035E-03 2.7163E+03 8.1752E+07
 32 1.9657E-03 2.7163E+03 7.7458E+07
 33 2.2649E-03 2.7163E+03 7.3464E+07
 34 2.6061E-03 2.7163E+03 6.9773E+07
 35 2.9945E-03 2.7163E+03 6.6375E+07
 36 3.4358E-03 2.7163E+03 6.3240E+07
 37 3.9366E-03 2.7163E+03 6.0326E+07
 38 4.5041E-03 2.7163E+03 5.7586E+07
 39 5.1461E-03 2.7163E+03 5.5045E+07
 40 5.8713E-03 2.7163E+03 5.2678E+07
 41 6.6892E-03 2.7163E+03 5.0437E+07
 42 7.6103E-03 2.7163E+03 4.8268E+07
 43 8.6461E-03 2.7163E+03 4.6252E+07
 44 9.8089E-03 2.7163E+03 4.4355E+07
 45 1.1112E-02 2.7163E+03 4.2631E+07
 46 1.2571E-02 2.7163E+03 4.1055E+07
 47 1.4202E-02 2.7163E+03 3.9646E+07
 48 1.6021E-02 2.7163E+03 3.8359E+07
 49 1.8048E-02 2.7163E+03 3.7405E+07
 50 2.0303E-02 2.7163E+03 3.6759E+07
 51 2.2807E-02 2.7163E+03 3.6054E+07
 52 2.5583E-02 4.3677E+03 4.1324E+07
 53 2.8657E-02 7.5466E+03 4.8364E+07
 54 3.2055E-02 1.2176E+04 5.5147E+07
 55 3.5806E-02 1.7754E+04 6.0605E+07
 56 3.9939E-02 2.4104E+04 6.4860E+07
 57 4.4486E-02 3.0999E+04 6.8016E+07
 58 4.9481E-02 3.8137E+04 7.0148E+07
 59 5.4959E-02 4.5474E+04 7.1484E+07
 60 6.0957E-02 5.3042E+04 7.2215E+07
 61 6.7515E-02 6.0877E+04 7.2474E+07
 62 7.4672E-02 6.8929E+04 7.2326E+07
 63 8.2472E-02 7.7012E+04 7.1785E+07
 64 9.0957E-02 8.4730E+04 7.0811E+07
 65 1.0017E-01 9.1856E+04 6.9437E+07
 66 1.1017E-01 9.8217E+04 6.7710E+07
 67 1.2099E-01 1.0365E+05 6.5667E+07
 68 1.3269E-01 1.0849E+05 6.3469E+07
 69 1.4531E-01 1.1317E+05 6.1225E+07
 70 1.5891E-01 1.1801E+05 5.8976E+07
 71 1.7354E-01 1.2334E+05 5.6779E+07
 72 1.8924E-01 1.2930E+05 5.4641E+07
 73 2.0608E-01 1.3590E+05 5.2548E+07
 74 2.2409E-01 1.4290E+05 5.0461E+07
 75 2.4334E-01 1.4989E+05 4.8329E+07
 76 2.6387E-01 1.5646E+05 4.6123E+07
 77 2.8572E-01 1.6213E+05 4.3820E+07
 78 3.0895E-01 1.6661E+05 4.1419E+07
 79 3.3359E-01 1.6976E+05 3.8941E+07
 80 3.5970E-01 1.7154E+05 3.6408E+07
 81 3.8729E-01 1.7211E+05 3.3853E+07
 82 4.1642E-01 1.7165E+05 3.1309E+07
 83 4.4710E-01 1.7036E+05 2.8798E+07
 84 4.7937E-01 1.6849E+05 2.6344E+07
 85 5.1324E-01 1.6620E+05 2.3961E+07
 86 5.4873E-01 1.6361E+05 2.1659E+07
 87 5.8584E-01 1.6086E+05 1.9446E+07
 88 6.2459E-01 1.5799E+05 1.7326E+07
 89 6.6495E-01 1.5506E+05 1.5301E+07
 90 7.0692E-01 1.5210E+05 1.3375E+07
 91 7.5048E-01 1.4914E+05 1.1547E+07
 92 7.9560E-01 1.4618E+05 9.8200E+06
 93 8.4225E-01 1.4325E+05 8.1961E+06
 94 8.9037E-01 1.4036E+05 6.6777E+06
 95 9.3991E-01 1.3753E+05 5.2669E+06
 96 9.9080E-01 1.3458E+05 5.1286E+06
 97 1.0430E+00 1.3146E+05 5.0276E+06
 98 1.0964E+00 1.2817E+05 4.9281E+06
 99 1.1508E+00 1.2508E+05 4.8346E+06
100 1.2063E+00 1.2229E+05 8.1637E+05

  i  P(bar) chf(erg/s/cm**2) kzz(cm**-2)  
  1 1.2055E-05 2.7163E+03 4.8026E+08
  2 1.4513E-05 2.7163E+03 4.6281E+08
  3 1.7446E-05 2.7163E+03 4.4237E+08
  4 2.0943E-05 2.7163E+03 4.1810E+08
  5 2.5106E-05 2.7163E+03 3.9145E+08
  6 3.0053E-05 2.7163E+03 3.6455E+08
  7 3.5924E-05 2.7163E+03 3.3889E+08
  8 4.2881E-05 2.7163E+03 3.1523E+08
  9 5.1114E-05 2.7163E+03 2.9371E+08
 10 6.0842E-05 2.7163E+03 2.7421E+08
 11 7.2318E-05 2.7163E+03 2.5650E+08
 12 8.5838E-05 2.7163E+03 2.4031E+08
 13 1.0174E-04 2.7163E+03 2.2546E+08
 14 1.2042E-04 2.7163E+03 2.1178E+08
 15 1.4233E-04 2.7163E+03 1.9914E+08
 16 1.6799E-04 2.7163E+03 1.8744E+08
 17 1.9799E-04 2.7163E+03 1.7657E+08
 18 2.3302E-04 2.7163E+03 1.6647E+08
 19 2.7386E-04 2.7163E+03 1.5707E+08
 20 3.2141E-04 2.7163E+03 1.4833E+08
 21 3.7668E-04 2.7163E+03 1.4021E+08
 22 4.4083E-04 2.7163E+03 1.3267E+08
 23 5.1517E-04 2.7163E+03 1.2565E+08
 24 6.0121E-04 2.7163E+03 1.1910E+08
 25 7.0062E-04 2.7163E+03 1.1294E+08
 26 8.1531E-04 2.7163E+03 1.0711E+08
 27 9.4745E-04 2.7163E+03 1.0155E+08
 28 1.0994E-03 2.7163E+03 9.6242E+07
 29 1.2740E-03 2.7163E+03 9.1164E+07
 30 1.4742E-03 2.7163E+03 8.6327E+07
 31 1.7035E-03 2.7163E+03 8.1752E+07
 32 1.9657E-03 2.7163E+03 7.7458E+07
 33 2.2649E-03 2.7163E+03 7.3464E+07
 34 2.6061E-03 2.7163E+03 6.9773E+07
 35 2.9945E-03 2.7163E+03 6.6375E+07
 36 3.4358E-03 2.7163E+03 6.3241E+07
 37 3.9366E-03 2.7163E+03 6.0326E+07
 38 4.5041E-03 2.7163E+03 5.7585E+07
 39 5.1461E-03 2.7163E+03 5.5045E+07
 40 5.8713E-03 2.7163E+03 5.2678E+07
 41 6.6892E-03 2.7163E+03 5.0437E+07
 42 7.6103E-03 2.7163E+03 4.8268E+07
 43 8.6461E-03 2.7163E+03 4.6252E+07
 44 9.8089E-03 2.7163E+03 4.4355E+07
 45 1.1112E-02 2.7163E+03 4.2631E+07
 46 1.2571E-02 2.7163E+03 4.1055E+07
 47 1.4202E-02 2.7163E+03 3.9646E+07
 48 1.6021E-02 2.7163E+03 3.8360E+07
 49 1.8048E-02 2.7163E+03 3.7406E+07
 50 2.0303E-02 2.7163E+03 3.6759E+07
 51 2.2807E-02 2.7163E+03 3.6054E+07
 52 2.5583E-02 4.3644E+03 4.1314E+07
 53 2.8657E-02 7.5434E+03 4.8358E+07
 54 3.2055E-02 1.2173E+04 5.5143E+07
 55 3.5806E-02 1.7751E+04 6.0602E+07
 56 3.9939E-02 2.4102E+04 6.4858E+07
 57 4.4486E-02 3.0997E+04 6.8015E+07
 58 4.9481E-02 3.8135E+04 7.0147E+07
 59 5.4959E-02 4.5472E+04 7.1483E+07
 60 6.0957E-02 5.3041E+04 7.2215E+07
 61 6.7515E-02 6.0875E+04 7.2474E+07
 62 7.4672E-02 6.8927E+04 7.2326E+07
 63 8.2472E-02 7.7010E+04 7.1784E+07
 64 9.0957E-02 8.4729E+04 7.0810E+07
 65 1.0017E-01 9.1854E+04 6.9437E+07
 66 1.1017E-01 9.8215E+04 6.7709E+07
 67 1.2099E-01 1.0364E+05 6.5667E+07
 68 1.3269E-01 1.0848E+05 6.3469E+07
 69 1.4531E-01 1.1317E+05 6.1225E+07
