 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 11   4.092E-05   3.790E-05
 12   4.126E-05   3.304E-05
 13   4.163E-05   3.095E-05
 14   4.216E-05   3.045E-05
 15   4.302E-05   3.080E-05
 16   4.427E-05   3.191E-05
 17   4.597E-05   3.345E-05
 18   4.807E-05   3.543E-05
 19   5.063E-05   3.765E-05
 20   5.362E-05   4.016E-05
 21   5.710E-05   4.276E-05
 22   6.100E-05   4.552E-05
 23   6.533E-05   4.828E-05
 24   7.003E-05   5.101E-05
 25   7.510E-05   5.358E-05
 26   8.042E-05   5.594E-05
 27   8.600E-05   5.802E-05
 28   9.156E-05   5.983E-05
 29   9.703E-05   6.148E-05
 30   1.021E-04   6.370E-05
 31   1.065E-04   6.696E-05
 32   1.091E-04   7.063E-05
 33   1.096E-04   7.260E-05
 34   1.068E-04   7.181E-05
 35   1.014E-04   6.874E-05
 36   9.372E-05   6.410E-05
 37   8.525E-05   5.855E-05
 38   7.739E-05   5.278E-05
 39   6.974E-05   4.717E-05
 40   6.343E-05   4.218E-05
 41   5.716E-05   3.766E-05
 42   5.179E-05   3.361E-05
 43   4.649E-05   2.976E-05
 44   4.170E-05   2.608E-05
 45   3.735E-05   2.259E-05
 46   3.334E-05   1.933E-05
 47   2.984E-05   1.635E-05
 48   2.682E-05   1.352E-05
 49   2.425E-05   1.110E-05
 50   2.208E-05   9.099E-06
 51   2.036E-05   7.510E-06
 52   1.892E-05   6.281E-06
 53   1.767E-05   5.329E-06
 54   1.666E-05   4.546E-06
 55   1.571E-05   3.874E-06
 56   1.478E-05   3.272E-06
 57   1.387E-05   2.707E-06
 58   1.293E-05   2.189E-06
 59   1.196E-05   1.721E-06
 60   1.097E-05   1.284E-06
 61   9.984E-06   8.619E-07
 62   8.979E-06   4.395E-07
 63   8.005E-06   7.571E-08
 64   7.129E-06   5.138E-07
 65   6.253E-06   3.758E-07
 66   5.384E-06   3.228E-07
 67   4.720E-06   3.285E-07
 68   4.141E-06   4.843E-07
 69   3.529E-06   1.599E-07
 70   2.948E-06   4.305E-07
 71   2.670E-06   5.780E-07
 72   2.410E-06   1.046E-06
 73   2.146E-06   1.587E-06
 74   1.958E-06   2.326E-06
 75   1.965E-06   3.214E-06
 76   1.981E-06   4.088E-06
 77   1.997E-06   4.872E-06
 78   2.141E-06   6.418E-06
 79   2.507E-06   8.601E-06
 80   2.809E-06   1.063E-05
 81   3.052E-06   1.359E-05
 82   3.506E-06   1.715E-05
 83   4.335E-06   2.167E-05
 84   4.873E-06   2.311E-05
 85   5.224E-06   2.320E-05
 86   5.641E-06   2.351E-05
 87   6.352E-06   2.455E-05
 88   6.660E-06   2.408E-05
 89   6.703E-06   2.310E-05
 90   6.679E-06   2.207E-05
 91   6.856E-06   2.154E-05
 92   6.895E-06   2.047E-05
 93   6.814E-06   1.949E-05
 94   6.851E-06   1.959E-05
 95   8.711E-06   2.440E-05
 96   1.027E-05   2.613E-05
 97   1.069E-05   2.433E-05
 98   1.051E-05   2.284E-05
 99   1.000E-05   2.257E-05
100   8.552E-06   2.049E-05
101   7.462E-08   1.899E-07
 NST=     6

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.712E-04   4.824E-04
  3   2.147E-04   3.969E-04
  4   7.636E-05   3.128E-04
  5   4.515E-05   2.402E-04
  6   3.978E-05   1.770E-04
  7   3.934E-05   1.263E-04
  8   3.976E-05   8.882E-05
  9   4.019E-05   6.339E-05
 10   4.066E-05   4.727E-05
 11   4.097E-05   3.821E-05
 12   4.130E-05   3.338E-05
 13   4.167E-05   3.123E-05
 14   4.219E-05   3.075E-05
 15   4.304E-05   3.114E-05
 16   4.429E-05   3.225E-05
 17   4.599E-05   3.377E-05
 18   4.808E-05   3.571E-05
 19   5.063E-05   3.788E-05
 20   5.362E-05   4.034E-05
 21   5.709E-05   4.289E-05
 22   6.099E-05   4.558E-05
 23   6.533E-05   4.828E-05
 24   7.002E-05   5.096E-05
 25   7.509E-05   5.347E-05
 26   8.041E-05   5.579E-05
 27   8.599E-05   5.782E-05
 28   9.155E-05   5.960E-05
 29   9.702E-05   6.122E-05
 30   1.021E-04   6.340E-05
 31   1.064E-04   6.662E-05
 32   1.091E-04   7.033E-05
 33   1.096E-04   7.244E-05
 34   1.068E-04   7.181E-05
 35   1.014E-04   6.883E-05
 36   9.372E-05   6.419E-05
 37   8.525E-05   5.863E-05
 38   7.740E-05   5.284E-05
 39   6.974E-05   4.722E-05
 40   6.344E-05   4.221E-05
 41   5.716E-05   3.768E-05
 42   5.179E-05   3.362E-05
 43   4.649E-05   2.977E-05
 44   4.170E-05   2.609E-05
 45   3.735E-05   2.260E-05
 46   3.334E-05   1.934E-05
 47   2.984E-05   1.637E-05
 48   2.682E-05   1.353E-05
 49   2.425E-05   1.110E-05
 50   2.208E-05   9.106E-06
 51   2.036E-05   7.516E-06
 52   1.892E-05   6.286E-06
 53   1.767E-05   5.333E-06
 54   1.666E-05   4.550E-06
 55   1.571E-05   3.879E-06
 56   1.478E-05   3.276E-06
 57   1.387E-05   2.712E-06
 58   1.293E-05   2.197E-06
 59   1.195E-05   1.730E-06
 60   1.097E-05   1.293E-06
 61   9.984E-06   8.754E-07
 62   8.979E-06   4.495E-07
 63   8.005E-06   7.889E-08
 64   7.129E-06   5.151E-07
 65   6.253E-06   3.678E-07
 66   5.384E-06   3.175E-07
 67   4.720E-06   3.239E-07
 68   4.141E-06   4.807E-07
 69   3.529E-06   1.582E-07
 70   2.948E-06   4.303E-07
 71   2.670E-06   5.766E-07
 72   2.410E-06   1.043E-06
 73   2.146E-06   1.582E-06
 74   1.958E-06   2.318E-06
 75   1.965E-06   3.201E-06
 76   1.981E-06   4.069E-06
 77   1.997E-06   4.842E-06
 78   2.141E-06   6.346E-06
 79   2.507E-06   8.604E-06
 80   2.809E-06   1.075E-05
 81   3.052E-06   1.366E-05
 82   3.507E-06   1.723E-05
 83   4.335E-06   2.175E-05
 84   4.873E-06   2.319E-05
 85   5.224E-06   2.327E-05
 86   5.641E-06   2.356E-05
 87   6.352E-06   2.460E-05
 88   6.660E-06   2.412E-05
 89   6.703E-06   2.313E-05
 90   6.679E-06   2.208E-05
 91   6.856E-06   2.154E-05
 92   6.895E-06   2.047E-05
 93   6.814E-06   1.948E-05
 94   6.851E-06   1.957E-05
 95   8.711E-06   2.437E-05
 96   1.026E-05   2.611E-05
 97   1.069E-05   2.430E-05
 98   1.051E-05   2.281E-05
 99   1.000E-05   2.255E-05
100   8.552E-06   2.047E-05
101   7.462E-08   1.896E-07
 NST=     7

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.721E-04   5.177E-04
  3   2.144E-04   4.231E-04
  4   7.619E-05   3.309E-04
  5   4.513E-05   2.483E-04
  6   3.980E-05   1.820E-04
  7   3.938E-05   1.289E-04
  8   3.980E-05   9.021E-05
  9   4.023E-05   6.369E-05
 10   4.070E-05   4.757E-05
 11   4.100E-05   3.832E-05
 12   4.133E-05   3.352E-05
 13   4.170E-05   3.150E-05
 14   4.221E-05   3.103E-05
 15   4.306E-05   3.142E-05
 16   4.431E-05   3.253E-05
 17   4.600E-05   3.404E-05
 18   4.809E-05   3.595E-05
 19   5.064E-05   3.809E-05
 20   5.363E-05   4.051E-05
 21   5.709E-05   4.301E-05
 22   6.099E-05   4.566E-05
 23   6.532E-05   4.831E-05
 24   7.002E-05   5.095E-05
 25   7.509E-05   5.342E-05
 26   8.040E-05   5.570E-05
 27   8.599E-05   5.770E-05
 28   9.155E-05   5.946E-05
 29   9.702E-05   6.105E-05
 30   1.021E-04   6.321E-05
 31   1.064E-04   6.640E-05
 32   1.091E-04   7.010E-05
 33   1.096E-04   7.231E-05
 34   1.068E-04   7.181E-05
 35   1.014E-04   6.891E-05
 36   9.372E-05   6.429E-05
 37   8.525E-05   5.871E-05
 38   7.740E-05   5.291E-05
 39   6.974E-05   4.726E-05
 40   6.344E-05   4.224E-05
 41   5.716E-05   3.770E-05
 42   5.179E-05   3.363E-05
 43   4.649E-05   2.978E-05
 44   4.170E-05   2.610E-05
 45   3.735E-05   2.261E-05
 46   3.334E-05   1.936E-05
 47   2.984E-05   1.638E-05
 48   2.682E-05   1.355E-05
 49   2.425E-05   1.111E-05
 50   2.208E-05   9.113E-06
 51   2.036E-05   7.522E-06
 52   1.892E-05   6.291E-06
