 NST=     1

  J  RHR Solar (K/s)  RHR Thermal (K/s)
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.060E-05
 92   6.893E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.057E-05
101   7.472E-08   1.938E-07
 NST=   210

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.612E-04
  3   2.113E-04   5.756E-04
  4   7.510E-05   4.072E-04
  5   4.524E-05   2.896E-04
  6   4.032E-05   2.036E-04
  7   4.004E-05   1.424E-04
  8   4.054E-05   1.006E-04
  9   4.103E-05   7.369E-05
 10   4.158E-05   5.788E-05
 11   4.196E-05   4.919E-05
 12   4.237E-05   4.487E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.338E-05
 15   4.429E-05   4.469E-05
 16   4.561E-05   4.714E-05
 17   4.736E-05   5.021E-05
 18   4.946E-05   5.388E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.634E-05
 22   6.210E-05   7.063E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.852E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.443E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.579E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.348E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.669E-05
 44   4.182E-05   4.192E-05
 45   3.745E-05   3.744E-05
 46   3.341E-05   3.331E-05
 47   2.991E-05   3.012E-05
 48   2.690E-05   2.695E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.213E-05
 51   2.050E-05   2.037E-05
 52   1.906E-05   1.893E-05
 53   1.781E-05   1.773E-05
 54   1.678E-05   1.667E-05
 55   1.580E-05   1.568E-05
 56   1.482E-05   1.470E-05
 57   1.386E-05   1.373E-05
 58   1.288E-05   1.275E-05
 59   1.187E-05   1.177E-05
 60   1.087E-05   1.079E-05
 61   9.876E-06   9.798E-06
 62   8.882E-06   8.792E-06
 63   7.930E-06   7.799E-06
 64   7.078E-06   6.857E-06
 65   6.225E-06   5.985E-06
 66   5.372E-06   5.278E-06
 67   4.718E-06   4.574E-06
 68   4.143E-06   3.723E-06
 69   3.532E-06   3.156E-06
 70   2.949E-06   2.927E-06
 71   2.670E-06   2.399E-06
 72   2.407E-06   1.966E-06
 73   2.138E-06   1.795E-06
 74   1.947E-06   1.902E-06
 75   1.951E-06   2.018E-06
 76   1.962E-06   2.262E-06
 77   1.975E-06   1.835E-06
 78   2.115E-06   2.363E-06
 79   2.480E-06   4.673E-06
 80   2.784E-06   7.565E-06
 81   3.030E-06   1.085E-05
 82   3.485E-06   1.407E-05
 83   4.314E-06   1.821E-05
 84   4.852E-06   1.965E-05
 85   5.205E-06   2.001E-05
 86   5.623E-06   2.064E-05
 87   6.335E-06   2.210E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.060E-05
 92   6.893E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.057E-05
101   7.472E-08   1.938E-07
 NST=   211

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.690E-04
  3   2.113E-04   5.790E-04
  4   7.509E-05   4.041E-04
  5   4.523E-05   2.893E-04
  6   4.032E-05   2.044E-04
  7   4.004E-05   1.430E-04
  8   4.054E-05   1.005E-04
  9   4.103E-05   7.359E-05
 10   4.158E-05   5.803E-05
 11   4.196E-05   4.919E-05
 12   4.237E-05   4.485E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.340E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.715E-05
 17   4.736E-05   5.021E-05
 18   4.946E-05   5.388E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.063E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.852E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.443E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.579E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.348E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.669E-05
 44   4.182E-05   4.192E-05
 45   3.745E-05   3.744E-05
 46   3.341E-05   3.332E-05
 47   2.991E-05   3.012E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.037E-05
 52   1.906E-05   1.893E-05
 53   1.781E-05   1.773E-05
 54   1.678E-05   1.667E-05
 55   1.580E-05   1.568E-05
 56   1.482E-05   1.471E-05
 57   1.386E-05   1.373E-05
 58   1.288E-05   1.275E-05
 59   1.187E-05   1.177E-05
 60   1.087E-05   1.079E-05
 61   9.875E-06   9.800E-06
 62   8.882E-06   8.795E-06
 63   7.930E-06   7.802E-06
 64   7.078E-06   6.860E-06
 65   6.225E-06   5.987E-06
 66   5.372E-06   5.280E-06
 67   4.718E-06   4.577E-06
 68   4.143E-06   3.725E-06
 69   3.532E-06   3.157E-06
 70   2.949E-06   2.930E-06
 71   2.670E-06   2.401E-06
 72   2.407E-06   1.967E-06
 73   2.138E-06   1.791E-06
 74   1.947E-06   1.882E-06
 75   1.951E-06   2.119E-06
 76   1.962E-06   2.026E-06
 77   1.974E-06   1.939E-06
 78   2.116E-06   2.400E-06
 79   2.479E-06   4.624E-06
 80   2.785E-06   8.022E-06
 81   3.030E-06   1.068E-05
 82   3.485E-06   1.400E-05
 83   4.314E-06   1.815E-05
 84   4.852E-06   1.960E-05
 85   5.204E-06   1.998E-05
 86   5.623E-06   2.062E-05
 87   6.335E-06   2.208E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.132E-05
 90   6.671E-06   2.074E-05
 91   6.851E-06   2.060E-05
 92   6.893E-06   1.994E-05
 93   6.814E-06   1.912E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.412E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.428E-05
 98   1.052E-05   2.277E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   212

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.677E-04
  3   2.113E-04   5.773E-04
  4   7.510E-05   4.046E-04
  5   4.523E-05   2.889E-04
  6   4.032E-05   2.038E-04
  7   4.004E-05   1.416E-04
  8   4.054E-05   1.007E-04
  9   4.103E-05   7.387E-05
 10   4.158E-05   5.803E-05
 11   4.196E-05   4.914E-05
 12   4.237E-05   4.486E-05
 13   4.280E-05   4.325E-05
 14   4.338E-05   4.340E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.714E-05
 17   4.736E-05   5.022E-05
 18   4.946E-05   5.388E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.063E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.852E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.444E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.579E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.348E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.669E-05
 44   4.182E-05   4.192E-05
 45   3.745E-05   3.745E-05
 46   3.341E-05   3.332E-05
 47   2.991E-05   3.012E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.038E-05
 52   1.906E-05   1.893E-05
 53   1.781E-05   1.773E-05
 54   1.678E-05   1.668E-05
 55   1.580E-05   1.568E-05
 56   1.482E-05   1.471E-05
 57   1.386E-05   1.373E-05
 58   1.288E-05   1.275E-05
 59   1.187E-05   1.178E-05
 60   1.087E-05   1.080E-05
 61   9.875E-06   9.803E-06
 62   8.882E-06   8.798E-06
 63   7.930E-06   7.805E-06
 64   7.078E-06   6.863E-06
 65   6.225E-06   5.990E-06
 66   5.372E-06   5.283E-06
 67   4.718E-06   4.580E-06
 68   4.143E-06   3.728E-06
 69   3.532E-06   3.161E-06
 70   2.949E-06   2.934E-06
 71   2.670E-06   2.406E-06
 72   2.407E-06   1.972E-06
 73   2.138E-06   1.768E-06
 74   1.947E-06   1.948E-06
 75   1.951E-06   2.038E-06
 76   1.962E-06   2.079E-06
 77   1.975E-06   2.057E-06
 78   2.116E-06   2.189E-06
 79   2.478E-06   4.584E-06
 80   2.786E-06   8.084E-06
 81   3.030E-06   1.071E-05
 82   3.485E-06   1.402E-05
 83   4.314E-06   1.817E-05
 84   4.852E-06   1.961E-05
 85   5.204E-06   1.999E-05
 86   5.623E-06   2.062E-05
 87   6.335E-06   2.208E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.428E-05
 98   1.052E-05   2.277E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   213

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.630E-04
  3   2.113E-04   5.772E-04
  4   7.510E-05   4.043E-04
  5   4.523E-05   2.897E-04
  6   4.032E-05   2.053E-04
  7   4.004E-05   1.429E-04
  8   4.054E-05   1.007E-04
  9   4.103E-05   7.380E-05
 10   4.158E-05   5.800E-05
 11   4.196E-05   4.913E-05
 12   4.237E-05   4.485E-05
 13   4.280E-05   4.322E-05
 14   4.338E-05   4.341E-05
 15   4.429E-05   4.470E-05
 16   4.561E-05   4.715E-05
 17   4.736E-05   5.022E-05
 18   4.946E-05   5.388E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.063E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.852E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.444E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.579E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.349E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.669E-05
 44   4.182E-05   4.192E-05
 45   3.745E-05   3.745E-05
 46   3.341E-05   3.332E-05
 47   2.991E-05   3.012E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.038E-05
 52   1.906E-05   1.894E-05
 53   1.781E-05   1.774E-05
 54   1.678E-05   1.668E-05
 55   1.580E-05   1.568E-05
 56   1.482E-05   1.471E-05
 57   1.386E-05   1.373E-05
 58   1.288E-05   1.275E-05
 59   1.187E-05   1.178E-05
 60   1.087E-05   1.080E-05
 61   9.875E-06   9.806E-06
 62   8.882E-06   8.801E-06
 63   7.930E-06   7.808E-06
 64   7.078E-06   6.866E-06
 65   6.225E-06   5.993E-06
 66   5.372E-06   5.287E-06
 67   4.718E-06   4.584E-06
 68   4.143E-06   3.732E-06
 69   3.532E-06   3.164E-06
 70   2.949E-06   2.938E-06
 71   2.670E-06   2.415E-06
 72   2.407E-06   1.957E-06
 73   2.138E-06   1.799E-06
 74   1.947E-06   1.940E-06
 75   1.951E-06   2.035E-06
 76   1.962E-06   2.050E-06
 77   1.974E-06   2.149E-06
 78   2.116E-06   2.186E-06
 79   2.478E-06   4.388E-06
 80   2.786E-06   8.154E-06
 81   3.030E-06   1.073E-05
 82   3.485E-06   1.404E-05
 83   4.314E-06   1.818E-05
 84   4.852E-06   1.962E-05
 85   5.204E-06   1.999E-05
 86   5.623E-06   2.063E-05
 87   6.335E-06   2.208E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.993E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.428E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.058E-05
101   7.472E-08   1.938E-07
 NST=   214

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.769E-04
  3   2.113E-04   5.756E-04
  4   7.509E-05   4.039E-04
  5   4.523E-05   2.884E-04
  6   4.032E-05   2.032E-04
  7   4.004E-05   1.426E-04
  8   4.054E-05   1.004E-04
  9   4.103E-05   7.373E-05
 10   4.158E-05   5.791E-05
 11   4.196E-05   4.915E-05
 12   4.237E-05   4.477E-05
 13   4.280E-05   4.326E-05
 14   4.338E-05   4.339E-05
 15   4.429E-05   4.470E-05
 16   4.561E-05   4.714E-05
 17   4.736E-05   5.022E-05
 18   4.946E-05   5.388E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.063E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.853E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.444E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.579E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.349E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.669E-05
 44   4.182E-05   4.192E-05
 45   3.745E-05   3.745E-05
 46   3.341E-05   3.332E-05
 47   2.991E-05   3.012E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.038E-05
 52   1.906E-05   1.894E-05
 53   1.781E-05   1.774E-05
 54   1.678E-05   1.668E-05
 55   1.580E-05   1.569E-05
 56   1.482E-05   1.471E-05
 57   1.386E-05   1.374E-05
 58   1.288E-05   1.276E-05
 59   1.187E-05   1.178E-05
 60   1.087E-05   1.080E-05
 61   9.875E-06   9.808E-06
 62   8.882E-06   8.803E-06
 63   7.930E-06   7.811E-06
 64   7.078E-06   6.869E-06
 65   6.225E-06   5.997E-06
 66   5.372E-06   5.290E-06
 67   4.718E-06   4.587E-06
 68   4.143E-06   3.736E-06
 69   3.532E-06   3.167E-06
 70   2.949E-06   2.947E-06
 71   2.670E-06   2.410E-06
 72   2.407E-06   1.966E-06
 73   2.139E-06   1.808E-06
 74   1.947E-06   1.942E-06
 75   1.951E-06   1.997E-06
 76   1.962E-06   2.130E-06
 77   1.975E-06   2.203E-06
 78   2.116E-06   2.028E-06
 79   2.478E-06   4.349E-06
 80   2.786E-06   8.193E-06
 81   3.030E-06   1.074E-05
 82   3.485E-06   1.405E-05
 83   4.314E-06   1.819E-05
 84   4.852E-06   1.963E-05
 85   5.204E-06   2.000E-05
 86   5.623E-06   2.063E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.993E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.057E-05
101   7.472E-08   1.938E-07
 NST=   215

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.795E-04   8.571E-04
  3   2.114E-04   5.736E-04
  4   7.511E-05   4.053E-04
  5   4.524E-05   2.897E-04
  6   4.033E-05   2.050E-04
  7   4.005E-05   1.430E-04
  8   4.054E-05   1.010E-04
  9   4.104E-05   7.357E-05
 10   4.158E-05   5.792E-05
 11   4.196E-05   4.914E-05
 12   4.237E-05   4.487E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.338E-05
 15   4.429E-05   4.470E-05
 16   4.561E-05   4.715E-05
 17   4.736E-05   5.022E-05
 18   4.946E-05   5.388E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.063E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.853E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.444E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.579E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.349E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.670E-05
 44   4.182E-05   4.193E-05
 45   3.745E-05   3.745E-05
 46   3.341E-05   3.332E-05
 47   2.991E-05   3.012E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.038E-05
 52   1.906E-05   1.894E-05
 53   1.781E-05   1.774E-05
 54   1.678E-05   1.668E-05
 55   1.580E-05   1.569E-05
 56   1.482E-05   1.471E-05
 57   1.386E-05   1.374E-05
 58   1.288E-05   1.276E-05
 59   1.187E-05   1.178E-05
 60   1.087E-05   1.080E-05
 61   9.875E-06   9.811E-06
 62   8.882E-06   8.806E-06
 63   7.930E-06   7.813E-06
 64   7.078E-06   6.872E-06
 65   6.225E-06   6.000E-06
 66   5.372E-06   5.293E-06
 67   4.718E-06   4.590E-06
 68   4.143E-06   3.738E-06
 69   3.532E-06   3.174E-06
 70   2.949E-06   2.948E-06
 71   2.670E-06   2.412E-06
 72   2.407E-06   1.973E-06
 73   2.139E-06   1.821E-06
 74   1.947E-06   1.921E-06
 75   1.951E-06   2.016E-06
 76   1.962E-06   2.135E-06
 77   1.975E-06   2.253E-06
 78   2.116E-06   1.995E-06
 79   2.477E-06   4.218E-06
 80   2.786E-06   8.242E-06
 81   3.030E-06   1.076E-05
 82   3.485E-06   1.406E-05
 83   4.314E-06   1.820E-05
 84   4.852E-06   1.964E-05
 85   5.204E-06   2.000E-05
 86   5.623E-06   2.064E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.194E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.993E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.057E-05
101   7.472E-08   1.938E-07
 NST=   216

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.727E-04
  3   2.113E-04   5.777E-04
  4   7.509E-05   4.043E-04
  5   4.523E-05   2.896E-04
  6   4.032E-05   2.040E-04
  7   4.004E-05   1.426E-04
  8   4.054E-05   1.007E-04
  9   4.103E-05   7.387E-05
 10   4.158E-05   5.797E-05
 11   4.196E-05   4.918E-05
 12   4.237E-05   4.485E-05
 13   4.280E-05   4.322E-05
 14   4.338E-05   4.341E-05
 15   4.429E-05   4.471E-05
 16   4.561E-05   4.715E-05
 17   4.736E-05   5.022E-05
 18   4.946E-05   5.389E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.209E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.064E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.853E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.444E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.580E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.349E-05
 41   5.734E-05   5.736E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.670E-05
 44   4.182E-05   4.193E-05
 45   3.745E-05   3.745E-05
 46   3.341E-05   3.332E-05
 47   2.991E-05   3.013E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.038E-05
 52   1.906E-05   1.894E-05
 53   1.781E-05   1.774E-05
 54   1.678E-05   1.668E-05
 55   1.580E-05   1.569E-05
 56   1.482E-05   1.472E-05
 57   1.386E-05   1.374E-05
 58   1.288E-05   1.276E-05
 59   1.187E-05   1.178E-05
 60   1.087E-05   1.081E-05
 61   9.875E-06   9.814E-06
 62   8.882E-06   8.809E-06
 63   7.930E-06   7.816E-06
 64   7.078E-06   6.875E-06
 65   6.225E-06   6.003E-06
 66   5.372E-06   5.297E-06
 67   4.718E-06   4.592E-06
 68   4.143E-06   3.741E-06
 69   3.532E-06   3.178E-06
 70   2.949E-06   2.949E-06
 71   2.670E-06   2.414E-06
 72   2.407E-06   1.985E-06
 73   2.139E-06   1.816E-06
 74   1.947E-06   1.920E-06
 75   1.951E-06   2.016E-06
 76   1.962E-06   2.144E-06
 77   1.975E-06   2.297E-06
 78   2.116E-06   1.982E-06
 79   2.477E-06   4.163E-06
 80   2.786E-06   8.215E-06
 81   3.030E-06   1.076E-05
 82   3.485E-06   1.406E-05
 83   4.314E-06   1.820E-05
 84   4.852E-06   1.964E-05
 85   5.205E-06   2.001E-05
 86   5.623E-06   2.064E-05
 87   6.335E-06   2.209E-05
 88   6.647E-06   2.195E-05
 89   6.692E-06   2.131E-05
 90   6.671E-06   2.073E-05
 91   6.851E-06   2.059E-05
 92   6.892E-06   1.994E-05
 93   6.814E-06   1.911E-05
 94   6.852E-06   1.918E-05
 95   8.713E-06   2.411E-05
 96   1.027E-05   2.603E-05
 97   1.070E-05   2.427E-05
 98   1.052E-05   2.276E-05
 99   1.001E-05   2.254E-05
100   8.564E-06   2.057E-05
101   7.472E-08   1.938E-07
 NST=   217

  J  RHR Solar (K/s)  RHR Thermal (K/s)
  1   0.000E+00   0.000E+00
  2   8.796E-04   8.607E-04
  3   2.113E-04   5.736E-04
  4   7.511E-05   4.063E-04
  5   4.524E-05   2.882E-04
  6   4.033E-05   2.047E-04
  7   4.004E-05   1.426E-04
  8   4.054E-05   1.005E-04
  9   4.103E-05   7.378E-05
 10   4.158E-05   5.793E-05
 11   4.196E-05   4.912E-05
 12   4.237E-05   4.486E-05
 13   4.280E-05   4.323E-05
 14   4.338E-05   4.338E-05
 15   4.429E-05   4.470E-05
 16   4.561E-05   4.715E-05
 17   4.736E-05   5.022E-05
 18   4.946E-05   5.389E-05
 19   5.200E-05   5.784E-05
 20   5.494E-05   6.210E-05
 21   5.832E-05   6.635E-05
 22   6.210E-05   7.064E-05
 23   6.630E-05   7.471E-05
 24   7.084E-05   7.853E-05
 25   7.576E-05   8.183E-05
 26   8.095E-05   8.444E-05
 27   8.642E-05   8.649E-05
 28   9.186E-05   8.812E-05
 29   9.725E-05   8.953E-05
 30   1.023E-04   9.184E-05
 31   1.066E-04   9.593E-05
 32   1.093E-04   1.017E-04
 33   1.099E-04   1.058E-04
 34   1.071E-04   1.054E-04
 35   1.017E-04   1.010E-04
 36   9.401E-05   9.394E-05
 37   8.551E-05   8.580E-05
 38   7.763E-05   7.774E-05
 39   6.995E-05   7.015E-05
 40   6.363E-05   6.349E-05
 41   5.734E-05   5.737E-05
 42   5.197E-05   5.185E-05
 43   4.664E-05   4.670E-05
 44   4.182E-05   4.193E-05
 45   3.745E-05   3.745E-05
 46   3.342E-05   3.332E-05
 47   2.991E-05   3.013E-05
 48   2.690E-05   2.696E-05
 49   2.434E-05   2.431E-05
 50   2.219E-05   2.214E-05
 51   2.050E-05   2.038E-05
 52   1.906E-05   1.894E-05
 53   1.781E-05   1.774E-05
 54   1.678E-05   1.669E-05
 55   1.580E-05   1.569E-05
 56   1.482E-05   1.472E-05
 57   1.386E-05   1.374E-05
 58   1.288E-05   1.276E-05
 59   1.187E-05   1.179E-05
 60   1.087E-05   1.081E-05
 61   9.875E-06   9.816E-06
 62   8.882E-06   8.811E-06
 63   7.930E-06   7.819E-06
 64   7.078E-06   6.877E-06
 65   6.225E-06   6.006E-06
 66   5.372E-06   5.299E-06
 67   4.718E-06   4.595E-06
 68   4.143E-06   3.745E-06
 69   3.532E-06   3.181E-06
 70   2.949E-06   2.950E-06
 71   2.670E-06   2.421E-06
 72   2.407E-06   1.989E-06
 73   2.139E-06   1.815E-06
 74   1.947E-06   1.920E-06
 75   1.951E-06   2.022E-06
 76   1.962E-06   2.248E-06
 77   1.975E-06   1.818E-06
 78   2.115E-06   2.352E-06
 79   2.480E-06   4.668E-06
 80   2.784E-06   7.563E-06
 81   3.030E-06   1.085E-05
 82   3.485E-06   1.407E-05
 83   4.314E-06   1.821E-05
 84   4.852E-06   1.965E-05
