Type		STD		Rate at Bottom		Rate at Top
R		239		3.000000e-11		3.000000e-11
R		242		2.000000e-11		2.000000e-11
R		243		6.000000e-12		6.000000e-12
R		244		1.710975e-24		6.143631e-32
R		245		1.350789e-20		1.433298e-24
R		246		5.000000e-11		5.000000e-11
R		247		5.000000e-11		5.000000e-11
R		248		1.350789e-20		1.433298e-24
R		250		5.000000e-13		5.000000e-13
R		251		5.000000e-13		5.000000e-13
R		252		8.036439e-21		1.182472e-26
R		254		5.166734e-12		2.872978e-11
R		255		8.250334e-23		4.243173e-29
R		257		1.496176e-12		4.001129e-12
R		258		3.400000e-11		3.400000e-11
R		259		8.144770e-12		1.442949e-11
R		260		3.500000e-12		3.500000e-12
R		261		1.910077e-15		6.226467e-16
R		263		1.000000e-11		1.000000e-11
R		264		1.500000e-11		1.500000e-11
R		265		6.524336e-11		1.129727e-10
R		266		1.600000e-10		1.600000e-10
R		267		5.000000e-11		5.000000e-11
R		268		4.000000e-19		4.000000e-19
R		269		3.494737e-12		1.841780e-12
R		270		9.600000e-12		9.600000e-12
R		271		7.000000e-14		7.000000e-14
R		272		1.139343e-12		1.827527e-13
R		273		3.000000e-13		3.000000e-13
R		274		1.000000e-11		1.000000e-11
R		275		4.263371e-13		2.004020e-13
R		276		2.800000e-11		2.800000e-11
R		277		6.200000e-11		6.200000e-11
R		278		1.200000e-11		1.200000e-11
R		279		4.200000e-14		4.200000e-14
R		281		1.661010e-10		1.740134e-10
R		282		1.040462e-10		3.980717e-11
R		283		1.773771e-16		8.853060e-21
R		284		3.000000e-10		3.000000e-10
R		287		3.481435e-39		1.425584e-58
R		288		5.783755e-44		2.982017e-70
R		289		1.881277e-11		1.413802e-11
R		291		2.944039e-11		3.700773e-11
R		292		1.219611e-11		2.017385e-11
R		293		7.834591e-17		2.077105e-20
R		294		2.000000e-16		2.000000e-16
R		295		4.700000e-11		4.700000e-11
R		296		8.000000e-12		8.000000e-12
R		297		7.396565e-11		1.332766e-10
R		298		2.000000e-12		2.000000e-12
R		300		9.044729e-30		3.750667e-43
R		301		2.850794e-11		1.857803e-11
R		302		9.889397e-12		1.342595e-10
R		303		6.592931e-12		8.950636e-11
R		304		1.160000e-10		1.160000e-10
R		305		1.160000e-11		1.160000e-11
R		306		8.789053e-15		1.475890e-15
R		307		1.066163e-18		2.136948e-22
R		308		3.320000e-11		3.320000e-11
R		309		3.074970e-12		1.653356e-12
R		310		3.772867e-28		1.396512e-38
R		311		6.837199e-17		1.182989e-19
R		312		3.948071e-16		1.924794e-17
R		313		5.128782e-15		2.938691e-16
R		314		6.965093e-19		1.566003e-23
R		315		1.949726e-18		5.144600e-22
R		316		6.765594e-17		1.063872e-21
R		317		3.629396e-21		4.501963e-28
R		319		8.254262e-22		6.342929e-28
R		320		1.829445e-11		5.121405e-11
R		321		1.887675e-11		8.350157e-11
R		322		7.470000e-11		7.470000e-11
R		323		1.160000e-11		1.160000e-11
R		324		8.300000e-12		8.300000e-12
R		325		1.857515e-13		2.213035e-14
R		326		3.499931e-13		9.521687e-14
R		327		2.112782e-10		4.363052e-10
R		328		6.278396e-21		8.604459e-26
