Num	Type	Reaction Num.
205	R	168
206	R	169
207	R	171
208	R	172
209	R	173
210	R	174
211	R	175
212	R	176
213	R	177
214	R	178
215	R	179
216	R	180
217	R	181
218	R	182
219	R	183
220	R	186
221	R	187
222	R	188
223	R	189
224	R	190
225	R	192
227	R	195
228	R	196
229	R	197
230	R	198
231	R	199
232	R	200
233	R	201
234	R	202
235	R	203
236	R	204
237	R	205
238	R	206
239	R	207
240	R	209
241	R	212
242	R	213
243	R	214
244	R	215
245	R	217
246	R	218
247	R	219
248	R	220
249	R	221
250	R	222
251	R	223
252	R	224
253	R	225
254	R	226
255	R	227
256	R	233
257	R	235
258	R	236
259	R	237
260	R	238
261	R	239
262	R	242
263	R	243
264	R	244
265	R	245
266	R	246
267	R	247
268	R	248
269	R	250
270	R	251
271	R	252
272	R	254
273	R	255
274	R	257
275	R	258
276	R	259
277	R	260
278	R	261
279	R	276
280	R	277
281	R	278
282	R	279
283	R	281
284	R	282
285	R	283
286	R	284
287	R	287
288	R	288
289	R	289
290	R	291
291	R	292
292	R	293
293	R	294
294	R	295
295	R	296
296	R	297
297	R	298
298	R	300
299	R	301
300	R	302
301	R	303
302	R	304
303	R	305
304	R	306
305	R	307
306	R	308
307	R	309
308	R	310
309	R	311
310	R	312
311	R	313
312	R	314
313	R	315
314	R	316
315	R	317
316	R	319
317	R	320
318	R	321
319	R	322
320	R	323
321	R	324
322	R	325
323	R	326
324	R	327
325	R	328
326	R	329
327	R	330
328	R	331
329	R	332
330	R	333
331	R	334
332	R	335
333	R	336
334	R	337
335	R	338
336	R	339
337	R	340
338	R	341
339	R	342
340	R	346
341	R	347
342	R	348
343	R	350
344	R	351
345	R	352
346	R	353
347	R	354
348	R	355
349	R	356
350	R	357
351	R	358
352	R	359
353	R	360
354	R	361
355	R	362
356	R	363
357	R	364
358	R	365
359	R	366
360	R	367
361	R	368
362	R	369
363	R	370
364	R	371
365	R	372
366	R	373
367	R	374
368	R	375
369	R	376
370	R	377
371	R	378
372	R	379
373	R	380
374	R	381
375	R	382
376	R	383
377	R	384
378	R	385
379	R	387
380	R	389
381	R	390
382	R	391
383	R	392
384	R	393
385	R	394
386	R	395
387	R	396
388	R	397
389	R	398
390	R	399
391	R	400
392	R	401
393	R	402
394	R	403
395	R	404
396	R	405
397	R	406
398	R	407
399	R	408
400	R	409
401	R	411
402	R	412
403	R	413
404	R	414
405	R	415
406	R	416
407	R	417
408	R	418
409	R	419
410	R	420
411	R	421
412	R	422
413	R	423
414	R	424
415	R	425
416	R	426
417	R	427
418	R	428
419	R	429
420	R	430
421	R	431
422	R	432
423	R	433
424	R	434
425	R	435
426	R	436
427	R	437
428	R	438
429	R	439
430	R	440
431	R	441
432	R	442
433	R	443
434	R	444
435	R	445
436	R	447
437	R	448
438	R	449
439	R	450
440	R	451
441	R	452
443	R	454
444	R	455
445	R	456
446	R	457
447	R	458
448	R	459
449	R	460
450	R	461
451	R	462
452	R	463
453	R	464
454	R	465
455	R	466
456	R	468
457	R	469
458	R	470
459	R	471
460	R	472
461	R	477
462	R	478
463	R	479
464	R	480
465	R	481
466	R	482
467	R	483
468	R	485
469	R	486
470	R	487
471	R	488
472	R	489
473	R	490
474	R	491
475	R	492
476	R	493
477	R	494
478	R	495
479	R	496
480	R	498
481	R	499
482	R	500
483	R	501
484	R	502
485	R	503
486	R	504
487	R	505
488	R	506
489	R	507
490	R	509
492	R	512
493	R	513
494	R	515
495	R	516
496	R	517
497	R	519
498	R	520
499	R	521
500	R	522
501	R	523
502	R	524
503	R	525
504	R	526
505	R	561
506	R	568
507	R	596
508	R	597
509	R	598
510	R	599
511	R	608
512	R	611
513	R	617
514	R	618
515	R	639
516	R	640
517	R	641
518	R	642
519	R	643
520	R	644
521	R	645
522	M	2
523	M	3
524	M	4
525	M	5
526	M	6
527	M	7
528	M	9
529	M	10
530	M	11
531	M	12
532	M	13
533	M	14
534	M	15
535	M	16
536	M	17
537	M	18
538	M	19
539	M	20
540	M	22
541	M	23
542	M	24
543	M	25
544	M	26
545	M	27
546	M	28
547	M	29
548	M	31
549	M	32
550	M	33
551	M	34
552	M	35
553	M	36
554	M	37
555	M	38
556	M	39
557	M	40
558	M	41
559	M	42
560	M	43
561	M	44
562	M	56
563	M	57
564	M	58
565	M	73
566	M	85
567	M	86
666	M	88
668	M	89
669	M	90
568	T	1
569	T	2
570	T	3
571	T	4
572	T	5
573	T	6
574	T	7
575	T	8
576	T	9
577	T	10
580	T	13
581	T	14
582	T	15
583	T	16
584	T	17
586	T	19
587	T	20
588	T	21
589	T	22
590	T	23
591	T	24
592	T	25
593	T	26
594	T	27
595	T	28
596	T	29
597	T	30
598	T	31
599	T	32
600	T	33
601	T	34
602	T	35
603	T	36
604	T	37
605	T	38
606	T	40
607	T	46
608	T	47
609	T	48
610	T	49
611	T	50
612	T	51
613	T	52
614	T	57
615	T	91
616	T	92
617	T	93
