Total_Molecules: 84
Total_Reactions: 734
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 4.53e+12

  R330	NH3	+ CNO		= CO	+ N2H3		1.114988e-20
  R8	C	+ SO2		= CO	+ SO		2.007939e-23
  T48	CHO2			= CO	+ OH		7.065548e-24
  R124	CO2	+ CN		= CNO	+ CO		6.658658e-24
  T30	C2H2O			= CO	+ CH2		3.016061e-26
  T14	CH2O			= CO	+ H2		1.032103e-26
  T40	CNO			= CO	+ N		1.777951e-30
  R546	SO2	+ C2H		= CO	+ OCS	+ H	5.403189e-32
  P31	OCS			= CO	+ S		2.527699e-32
  R475	OCS	+ O		= CO	+ SO		5.836153e-35
  T35	C2H4O			= CH4	+ CO		4.705758e-40
  T29	C2HO			= CO	+ CH		1.028856e-40
  R467	O(1D)	+ OCS		= CO	+ SO		3.493740e-42
  R125	CS	+ O		= CO	+ S		3.825598e-45
  R7	C	+ OCS		= CO	+ CS		5.347578e-47
  R538	S	+ OCS		= CO	+ S2		2.700340e-61
  T60	OCS			= CO	+ S		2.095642e-84
  T46	CHO			= CO	+ H		2.423718e-141

CO				LOSS RXS		INT RX RATE	TL = 2.19e+12

  M12	H	+ CO		= CHO			1.494643e+12
  M89	OH	+ CO		= CO2	+ H		5.719475e+11
  M39	OH	+ CO		= CHO2			1.197631e+11
  M31	O	+ CO		= CO2			3.731251e+08
  P35	CO			= C	+ O		9.437253e+07
  M5	CO	+ CH		= C2HO			3.626375e+06
  M6	CO	+ CH3		= C2H3O			4.922548e+04
  R122	CO	+ CH3		= C2H2	+ OH		2.004850e-34
  R121	CO	+ C2H4		= C2H3	+ CHO		4.740479e-61
  R120	CO	+ C2H2		= C2H	+ CHO		4.726407e-79
  R88	CH3S	+ CO		= OCS	+ CH3		0.000000e+00

************************************************************

H2O				PRODUCTION RXS		INT RX RATE	TP = 1.87e+12

  R512	OH	+ H2		= H2O	+ H		1.766155e+12
  M18	H	+ OH		= H2O			5.112363e+10
  R501	OH	+ CH4		= CH3	+ H2O		1.934493e+10
  R505	OH	+ CHO2		= CO2	+ H2O		1.782026e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.015958e+10
  R522	OH	+ HO2		= H2O	+ O2		4.949646e+09
  R181	H	+ HO2		= O	+ H2O		4.556022e+09
  R504	OH	+ CHO		= CO	+ H2O		3.924448e+08
  R502	OH	+ CH4O		= CH3O	+ H2O		3.315626e+08
  R526	OH	+ OH		= H2O	+ O		1.075038e+08
  R513	OH	+ H2O2		= H2O	+ HO2		6.874643e+06
  R167	H	+ H2O2		= OH	+ H2O		2.142467e+06
  R489	OH	+ C2H4O		= C2H3O	+ H2O		3.040427e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		1.003557e+05
  R499	OH	+ CH3O		= CH2O	+ H2O		3.219976e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		1.366761e+04
  R496	OH	+ CH3		= CH2	+ H2O		1.202584e+04
  R490	OH	+ C2H5		= C2H4	+ H2O		1.775192e+02
  R519	OH	+ HNO		= H2O	+ NO		9.993605e+00
  R486	OH	+ C2H3		= C2H2	+ H2O		2.327378e+00
  R520	OH	+ HNO2		= H2O	+ NO2		2.104057e+00
