  R426	O	+ CHO		= CO	+ OH		9.933531e+08
  R427	O	+ CHO		= CO2	+ H		9.933531e+08
  R444	O	+ O3		= O2	+ O2		9.857768e+08
  R413	O	+ CH2O		= CHO	+ OH		1.328129e+08
  R415	O	+ CH3		= CH2O	+ H		3.077520e+07
  M90	O	+ NO2		= NO	+ O2		2.026788e+07
  M32	O	+ NO		= NO2			1.878408e+07
  R434	O	+ H2O2		= OH	+ HO2		1.350629e+07
  R416	O	+ CH3		= CO	+ H2	+ H	1.257387e+07
  R423	O	+ CH4		= CH3	+ OH		2.745496e+06
  M33	O	+ NO2		= NO3			2.083629e+06
  R424	O	+ CH4O		= CH3O	+ OH		1.364672e+06
  R419	O	+ CH3O		= CH2O	+ OH		3.713460e+05
  R439	O	+ HNO		= OH	+ NO		1.966143e+05
  R401	O	+ C2H4O		= C2H3O	+ OH		1.431664e+05
  R420	O	+ CH3O		= CH3	+ O2		1.326236e+05
  R443	O	+ NO3		= NO2	+ O2		1.066774e+05
  R408	O	+ CH		= CO	+ H		3.727044e+04
  R411	O	+ CH2		= CO	+ H	+ H	2.241914e+04
  R412	O	+ CH2		= CO	+ H2		1.363831e+04
  R402	O	+ C2H5		= C2H5O			1.100405e+04
  R403	O	+ C2H5		= C2H4O	+ H		1.024038e+04
  R414	O	+ CH3		= CH3O			6.593740e+03
  R405	O	+ C2H5		= CH2O	+ CH3		2.055777e+03
  R409	O	+ CH2		= CH	+ OH		1.345148e+03
  R404	O	+ C2H5		= C2H4	+ OH		1.100405e+03
  M26	N	+ O		= NO			4.701485e+02
  R406	O	+ C2H6		= C2H5	+ OH		4.231026e+02
  R398	O	+ C2H4		= CH3	+ CHO		4.220891e+02
  R400	O	+ C2H4		= CH2O	+ CH2		3.390328e+02
  R396	O	+ C2H4		= C2H3O	+ H		1.698304e+02
  R422	O	+ CH3O2		= CH3O	+ O2		3.552081e+01
  R399	O	+ C2H4		= C2H2O	+ H2		2.426149e+01
  R304	NH	+ O		= NO	+ H		2.994575e+00
  R440	O	+ HNO4		= HNO3	+ O2		1.850740e+00
  R322	NH2	+ O		= H	+ HNO		1.176069e+00
  R397	O	+ C2H4		= C2H3	+ OH		3.649291e-01
  R305	NH	+ O		= OH	+ N		2.994575e-01
  R323	NH2	+ O		= OH	+ NH		1.826292e-01
  R324	NH2	+ O		= H2	+ NO		1.306743e-01
  R391	O	+ C2H2		= CO	+ CH2		1.137620e-01
  R395	O	+ C2H3		= C2H2O	+ H		3.348483e-02
  R393	O	+ C2H3		= C2H3O			2.723374e-02
  R394	O	+ C2H3		= C2H2	+ OH		2.723374e-02
  R407	O	+ CH		= OH	+ C		2.575627e-02
  R425	O	+ CH4O2		= CH3O2	+ OH		1.379705e-02
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	5.253813e-03
  R390	O	+ C2H2		= H	+ C2HO		1.044764e-03
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	9.942114e-04
  R389	O	+ C2H		= CO	+ CH		5.858966e-05
  R430	O	+ CN		= CO	+ N		5.560504e-05
  R431	O	+ CNO		= CO	+ NO		1.018690e-05
  R435	O	+ HCN		= H	+ CNO		5.479557e-06
  R436	O	+ HCN		= CO	+ NH		2.348381e-06
  R438	O	+ HCNO		= CO2	+ NH		6.351577e-08
  R437	O	+ HCNO		= CNO	+ OH		2.246501e-11
  R432	O	+ CNO		= CN	+ O2		5.409394e-12
  R392	O	+ C2H2N		= CH2O	+ CN		3.733840e-13
  M46	SO	+ O		= SO2			4.182967e-15
  M49	SO2	+ O		= SO3			9.885192e-17
  R266	HS	+ O		= H	+ SO		1.046370e-17
  R578	HSO	+ O		= OH	+ SO		2.890190e-18
  R274	HSO3	+ O		= OH	+ SO3		1.113336e-18
  R231	H2S	+ O		= OH	+ HS		1.526405e-21
  R446	O	+ S2		= S	+ SO		3.490350e-28
  R553	SO2	+ O		= SO	+ O2		6.803590e-32
  R475	OCS	+ O		= CO	+ SO		8.735176e-34
  R429	O	+ CN		= C	+ NO		2.550597e-34
  R125	CS	+ O		= CO	+ S		6.186524e-44
  R555	SO3	+ O		= SO2	+ O2		6.137966e-49
  R106	CH4S	+ O		= CH3	+ HSO		0.000000e+00

************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 5.36e+13

  P4	O3			= O2	+ O(1D)		4.353908e+13
  P3	O3			= O2	+ O		7.163727e+12
  R441	O	+ HO2		= OH	+ O2		2.347368e+12
  M34	O	+ O		= O2			1.794627e+11
  R445	O	+ OH		= O2	+ H		1.746271e+11
  R192	H	+ O3		= OH	+ O2		1.244383e+11
  R257	HO2	+ HO2		= H2O2	+ O2		4.476995e+10
  M19	HO2	+ HO2		= H2O2	+ O2		2.687121e+10
  R522	OH	+ HO2		= H2O	+ O2		1.743742e+10
  R182	H	+ HO2		= H2	+ O2		1.351311e+10
  R464	O(1D)	+ O2		= O	+ O2		1.053944e+09
  R444	O	+ O3		= O2	+ O2		9.857768e+08 (x2)
  R261	HO2	+ O3		= OH	+ O2	+ O2	5.641099e+07 (x2)
  R525	OH	+ O3		= HO2	+ O2		2.522023e+07
  M90	O	+ NO2		= NO	+ O2		2.026788e+07
  R465	O(1D)	+ O3		= O2	+ O2		3.541224e+05 (x2)
  R466	O(1D)	+ O3		= O2	+ O	+ O	3.541224e+05
  P9	NO3			= NO	+ O2		2.448626e+05
  R354	NO	+ O3		= NO2	+ O2		2.289841e+05
  R470	O3	+ CH3		= CH3O	+ O2		1.589584e+05
  R420	O	+ CH3O		= CH3	+ O2		1.326236e+05
  R443	O	+ NO3		= NO2	+ O2		1.066774e+05
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	1.114995e+04
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	1.187176e+03
  T1	O3			= O2	+ O		1.012833e+03
  R251	HO2	+ C2H5		= C2H6	+ O2		4.717993e+02
  R459	O(1D)	+ N2O		= O2	+ N2		4.637943e+02
  T6	NO3			= NO	+ O2		3.997959e+01
  R422	O	+ CH3O2		= CH3O	+ O2		3.552081e+01
  R294	N	+ O3		= NO	+ O2		2.093176e+01
  R471	O3	+ CH3O		= CH3O2	+ O2		1.643667e+01
  R254	HO2	+ CH3O2		= CH4O2	+ O2		1.287298e+01
  R469	O3	+ C2H5		= C2H5O	+ O2		3.062790e+00
  R462	O(1D)	+ NO		= O2	+ N		2.667593e+00
  R440	O	+ HNO4		= HNO3	+ O2		1.850740e+00
  R377	NO2	+ O3		= NO3	+ O2		1.462984e+00
  R500	OH	+ CH3O2		= CH4O	+ O2		7.912923e-01
  R463	O(1D)	+ NO2		= O2	+ NO		1.424228e-01
  R258	HO2	+ NH2		= NH3	+ O2		8.340795e-03
  R472	O3	+ CH3O2		= CH3O	+ O2	+ O2	2.310760e-06 (x2)
  R376	NO2	+ NO3		= NO	+ NO2	+ O2	1.315973e-06
  R384	NO3	+ CH3O2		= CH3O	+ NO2	+ O2	2.240509e-08
  R387	NO3	+ NO3		= NO2	+ NO2	+ O2	2.801902e-10
  R85	CH3O2	+ CH3O2		= CH3O	+ CH3O	+ O2	3.013527e-11
  R86	CH3O2	+ CH3O2		= CH4O	+ CH2O	+ O2	1.838763e-11
  R432	O	+ CNO		= CN	+ O2		5.409394e-12
  R244	HO2	+ C2H2		= C2H3	+ O2		1.095329e-13
  R156	H	+ CH3O2		= CH4	+ O2		2.858108e-14
  T2	HO2			= O2	+ H		3.736242e-15
  R545	SO	+ O3		= SO2	+ O2		6.811100e-17
  R537	S	+ O3		= O2	+ SO		1.797882e-18
  R570	S	+ HO2		= HS	+ O2		1.422575e-18
  R269	HS	+ O3		= O2	+ HSO		4.291194e-21
  R271	HSO	+ O3		= HS	+ O2	+ O2	1.266342e-21 (x2)
  R551	SO2	+ HO2		= HSO2	+ O2		1.262357e-21
  R216	HSO	+ O3		= HSO2	+ O2		5.427178e-22
  R553	SO2	+ O		= SO	+ O2		6.803590e-32
  R555	SO3	+ O		= SO2	+ O2		6.137966e-49
  R126	CS	+ O3		= O2	+ OCS		3.653383e-53
  T12	HNO4			= O2	+ HNO2		0.000000e+00

O2				LOSS RXS		INT RX RATE	TL = 5.36e+13

  M35	O	+ O2		= O3			5.082831e+13
  M17	H	+ O2		= HO2			2.230496e+12
  R645	O2	+ CHO2		= HO2	+ CO2		4.393898e+11
  P1	O2			= O	+ O		8.195775e+10
  P2	O2			= O	+ O(1D)		3.460342e+10
  R118	CHO	+ O2		= CO	+ HO2		1.820332e+10
  R464	O(1D)	+ O2		= O	+ O2		1.053944e+09
  M4	CH3	+ O2		= CH3O2			3.469017e+08
  R6	C	+ O2		= CO	+ O		9.060003e+07
  R81	CH3O	+ O2		= CH2O	+ HO2		2.564643e+07
  R26	C2H5O	+ O2		= C2H4O	+ HO2		8.926119e+03
  R293	N	+ O2		= NO	+ O		3.220420e+01
  R306	NH	+ O2		= OH	+ NO		1.664422e-01
  R307	NH	+ O2		= O	+ HNO		3.336055e-08
  R536	S	+ O2		= SO	+ O		1.050338e-15
  R273	HSO2	+ O2		= HO2	+ SO2		7.857087e-17
  R275	HSO3	+ O2		= HO2	+ SO3		4.573458e-17
  R544	SO	+ O2		= SO2	+ O		2.497281e-17
  M21	HS	+ O2		= HSO2			4.810062e-19
  R558	HSO	+ O2		= OH	+ SO2		3.067216e-19
  R268	HS	+ O2		= SO	+ OH		1.059691e-23
  R562	SO21	+ O2		= O	+ SO3		5.154286e-24
  R540	CS	+ O2		= OCS	+ O		2.719175e-51
  R89	CH3S	+ O2		= CH3	+ SO2		0.000000e+00

************************************************************

O3				PRODUCTION RXS		INT RX RATE	TP = 5.08e+13

  M35	O	+ O2		= O3			5.082831e+13

O3				LOSS RXS		INT RX RATE	TL = 5.08e+13

  P4	O3			= O2	+ O(1D)		4.353908e+13
  P3	O3			= O2	+ O		7.163727e+12
  R192	H	+ O3		= OH	+ O2		1.244383e+11
  R444	O	+ O3		= O2	+ O2		9.857768e+08
  R261	HO2	+ O3		= OH	+ O2	+ O2	5.641099e+07
  R525	OH	+ O3		= HO2	+ O2		2.522023e+07
  R465	O(1D)	+ O3		= O2	+ O2		3.541224e+05
  R466	O(1D)	+ O3		= O2	+ O	+ O	3.541224e+05
  R354	NO	+ O3		= NO2	+ O2		2.289841e+05
  R470	O3	+ CH3		= CH3O	+ O2		1.589584e+05
  T1	O3			= O2	+ O		1.012833e+03
  R294	N	+ O3		= NO	+ O2		2.093176e+01
  R471	O3	+ CH3O		= CH3O2	+ O2		1.643667e+01
  R469	O3	+ C2H5		= C2H5O	+ O2		3.062790e+00
  R377	NO2	+ O3		= NO3	+ O2		1.462984e+00
  R325	NH2	+ O3		= H2O	+ NO2		1.548938e-03
  R468	O3	+ C2H4		= CH2O	+ CH2O2		1.994648e-04
  R472	O3	+ CH3O2		= CH3O	+ O2	+ O2	2.310760e-06
  R421	O3	+ C2H2		= CO	+ CH2O2		3.005859e-10
  R545	SO	+ O3		= SO2	+ O2		6.811100e-17
  R537	S	+ O3		= O2	+ SO		1.797882e-18
  R269	HS	+ O3		= O2	+ HSO		4.291194e-21
  R271	HSO	+ O3		= HS	+ O2	+ O2	1.266342e-21
  R216	HSO	+ O3		= HSO2	+ O2		5.427178e-22
  R126	CS	+ O3		= O2	+ OCS		3.653383e-53
  R90	CH3S	+ O3		= CH3O	+ SO2		0.000000e+00

************************************************************

O(1D)				PRODUCTION RXS		INT RX RATE	TP = 4.36e+13

  P4	O3			= O2	+ O(1D)		4.353908e+13
  P37	CO2			= CO	+ O(1D)		6.023291e+10
  P2	O2			= O	+ O(1D)		3.460342e+10
  P11	N2O			= N2	+ O(1D)		7.395802e+06
  P72	H2O			= H2	+ O(1D)		2.162334e+03
  P17	HNO3			= HNO2	+ O(1D)		3.711310e+01

O(1D)				LOSS RXS		INT RX RATE	TL = 4.36e+13

  R458	O(1D)	+ N2		= O	+ N2		3.120626e+13
  R454	O(1D)	+ CO2		= CO2	+ O		1.242590e+13
  R464	O(1D)	+ O2		= O	+ O2		1.053944e+09
  R455	O(1D)	+ H2		= H	+ OH		6.378794e+08
  R456	O(1D)	+ H2O		= OH	+ OH		5.447078e+07
  M36	O(1D)	+ N2		= N2O			7.397401e+06
  R450	O(1D)	+ CH4		= CH3	+ OH		2.933721e+06
  R449	O(1D)	+ CH4		= CH3O	+ H		7.788639e+05
  R465	O(1D)	+ O3		= O2	+ O2		3.541224e+05
  R466	O(1D)	+ O3		= O2	+ O	+ O	3.541224e+05
  R451	O(1D)	+ CH4		= CH2O	+ H2		1.947160e+05
  R460	O(1D)	+ N2O		= NO	+ NO		7.262438e+02
  R459	O(1D)	+ N2O		= O2	+ N2		4.637943e+02
  R453	O(1D)	+ CH4O		= CH3O	+ OH		8.913993e+01
  R452	O(1D)	+ CH4O		= CH3O2	+ H		1.910141e+01
  R448	O(1D)	+ C2H6		= C2H5	+ OH		1.080904e+01
  R462	O(1D)	+ NO		= O2	+ N		2.667593e+00
  R463	O(1D)	+ NO2		= O2	+ NO		1.424228e-01
  R457	O(1D)	+ HCNO		= CO2	+ NH		2.702089e-05
  R447	O(1D)	+ C2H4		= C2H3	+ OH		5.485131e-06
  R461	O(1D)	+ NH3		= OH	+ NH2		1.407709e-08
  R467	O(1D)	+ OCS		= CO	+ SO		5.026094e-38

************************************************************

N2				PRODUCTION RXS		INT RX RATE	TP = 3.12e+13

  R458	O(1D)	+ N2		= O	+ N2		3.120626e+13
  P11	N2O			= N2	+ O(1D)		7.395802e+06
  R459	O(1D)	+ N2O		= O2	+ N2		4.637943e+02
  R291	N	+ NO		= O	+ N2		4.247310e+01
  R296	N2O	+ C		= CO	+ N2		1.426893e-03
  R320	NH2	+ NO		= H2O	+ N2		3.833262e-05
  M25	N	+ N		= N2			1.909910e-06
  R201	NH	+ NO		= OH	+ N2		1.026226e-06
  R289	N	+ NH		= N2	+ H		5.177780e-09
  R351	NO	+ CNO		= CO2	+ N2		1.591256e-10
  R352	NO	+ CNO		= CO	+ N2	+ O	7.163747e-11
  R298	N2O	+ CN		= N2	+ CNO		9.533055e-13
  R284	N	+ CN		= C	+ N2		1.781632e-14
  R373	NO2	+ CN		= CO2	+ N2		3.228580e-17
  T4	N2O			= N2	+ O		6.442354e-23
  P67	N2H2			= N2	+ H2		4.057590e-33
  R643	N2H3	+ N2H3		= NH3	+ NH3	+ N2	1.067787e-33

N2				LOSS RXS		INT RX RATE	TL = 3.12e+13

  R458	O(1D)	+ N2		= O	+ N2		3.120626e+13
  M36	O(1D)	+ N2		= N2O			7.397401e+06
  R5	C	+ N2		= CN	+ N		9.665951e-38
  P39	N2			= N	+ N		0.000000e+00

************************************************************

CO2				PRODUCTION RXS		INT RX RATE	TP = 1.52e+13

  R454	O(1D)	+ CO2		= CO2	+ O		1.242590e+13
  M89	OH	+ CO		= CO2	+ H		2.228709e+12
  R645	O2	+ CHO2		= HO2	+ CO2		4.393898e+11
  R505	OH	+ CHO2		= CO2	+ H2O		5.962471e+10
  M31	O	+ CO		= CO2			1.402834e+10
  R428	O	+ CHO2		= CO2	+ OH		4.083411e+09
  R427	O	+ CHO		= CO2	+ H		9.933531e+08
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	4.405693e+04
  R370	NO2	+ CHO		= NO	+ CO2	+ H	2.446672e+03
  R358	NO2	+ C2H3O		= CO2	+ CH3	+ NO	1.055743e+00
  R337	NO	+ C2HO		= HCN	+ CO2		1.745196e-03
  R457	O(1D)	+ HCNO		= CO2	+ NH		2.702089e-05
  R438	O	+ HCNO		= CO2	+ NH		6.351577e-08
  R360	NO2	+ C2HO		= CO2	+ HCNO		2.665064e-08
  R351	NO	+ CNO		= CO2	+ N2		1.591256e-10
  R374	NO2	+ CNO		= CO2	+ N2O		3.732400e-11
  R373	NO2	+ CN		= CO2	+ N2		3.228580e-17
  T15	CH2O2			= CO2	+ H2		2.205761e-23
  T49	CHO2			= CO2	+ H		8.453325e-25
  R473	OCS	+ OH		= CO2	+ HS		5.087350e-36

CO2				LOSS RXS		INT RX RATE	TL = 1.52e+13

  R454	O(1D)	+ CO2		= CO2	+ O		1.242590e+13
  P36	CO2			= CO	+ O		2.708699e+12
  P37	CO2			= CO	+ O(1D)		6.023291e+10
  R123	CO2	+ CH2		= CH2O	+ CO		2.699792e+04
  R165	H	+ CO2		= CO	+ OH		8.362663e+02
  R572	S	+ CO2		= SO	+ CO		2.673471e-17
  R124	CO2	+ CN		= CNO	+ CO		2.079816e-23

************************************************************

OH				PRODUCTION RXS		INT RX RATE	TP = 3.46e+12

  R441	O	+ HO2		= OH	+ O2		2.347368e+12
  P6	H2O			= H	+ OH		5.319887e+11
  R180	H	+ HO2		= OH	+ OH		1.410063e+11 (x2)
  R192	H	+ O3		= OH	+ O2		1.244383e+11
  P7	H2O2			= OH	+ OH		6.681111e+10 (x2)
  P5	HO2			= O	+ OH		2.585667e+10
  R428	O	+ CHO2		= CO2	+ OH		4.083411e+09
  M16	H	+ O		= OH			1.732481e+09
  R433	O	+ H2		= H	+ OH		1.070899e+09
  R426	O	+ CHO		= CO	+ OH		9.933531e+08
  R455	O(1D)	+ H2		= H	+ OH		6.378794e+08
  R167	H	+ H2O2		= OH	+ H2O		6.017265e+08
  T17	CH3O2			= CH2O	+ OH		3.468200e+08
  R413	O	+ CH2O		= CHO	+ OH		1.328129e+08
  R153	H	+ CH3O		= CH3	+ OH		9.156135e+07
  R261	HO2	+ O3		= OH	+ O2	+ O2	5.641099e+07
  R456	O(1D)	+ H2O		= OH	+ OH		5.447078e+07 (x2)
  R259	HO2	+ NO		= OH	+ NO2		1.917725e+07
  R434	O	+ H2O2		= OH	+ HO2		1.350629e+07
  R450	O(1D)	+ CH4		= CH3	+ OH		2.933721e+06
  R423	O	+ CH4		= CH3	+ OH		2.745496e+06
  R424	O	+ CH4O		= CH3O	+ OH		1.364672e+06
  R189	H	+ NO2		= OH	+ NO		1.339382e+06
  R166	H	+ H2O		= H2	+ OH		1.174866e+06
  R419	O	+ CH3O		= CH2O	+ OH		3.713460e+05
  R439	O	+ HNO		= OH	+ NO		1.966143e+05
  P14	HNO2			= NO	+ OH		1.735290e+05
  R401	O	+ C2H4O		= C2H3O	+ OH		1.431664e+05
  P19	HNO4			= NO3	+ OH		5.226166e+04
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	4.405693e+04
  P27	CH2O2			= CHO	+ OH		3.940533e+04
  P15	HNO3			= NO2	+ OH		1.848765e+04
  R369	NO2	+ CHO		= NO	+ CO	+ OH	1.696174e+04
  R409	O	+ CH2		= CH	+ OH		1.345148e+03
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	1.187176e+03
  R404	O	+ C2H5		= C2H4	+ OH		1.100405e+03
  R165	H	+ CO2		= CO	+ OH		8.362663e+02
  R190	H	+ NO3		= OH	+ NO2		8.158185e+02
  R406	O	+ C2H6		= C2H5	+ OH		4.231026e+02
  R453	O(1D)	+ CH4O		= CH3O	+ OH		8.913993e+01
  R175	H	+ HNO2		= OH	+ HNO		8.510788e+01
  R155	H	+ CH3O2		= CH3O	+ OH		1.309927e+01
  R448	O(1D)	+ C2H6		= C2H5	+ OH		1.080904e+01
  P24	CH4O2			= CH3O	+ OH		8.514172e+00
  R397	O	+ C2H4		= C2H3	+ OH		3.649291e-01
  R305	NH	+ O		= OH	+ N		2.994575e-01
  R323	NH2	+ O		= OH	+ NH		1.826292e-01
  R306	NH	+ O2		= OH	+ NO		1.664422e-01
  T37	C2H5O			= C2H4	+ OH		1.171735e-01
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	1.146168e-01
  R394	O	+ C2H3		= C2H2	+ OH		2.723374e-02
  R407	O	+ CH		= OH	+ C		2.575627e-02
  R425	O	+ CH4O2		= CH3O2	+ OH		1.379705e-02
  R215	H2O	+ C2H		= C2H2	+ OH		5.351769e-03
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	5.253813e-03
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	9.942114e-04
  R173	H	+ HNO		= OH	+ NH		3.033584e-05
  T31	C2H3O			= C2H2	+ OH		2.555744e-05
  R319	NH2	+ H2O		= OH	+ NH3		1.366395e-05
  R248	HO2	+ C2H4		= C2H4O	+ OH		1.243483e-05
  R447	O(1D)	+ C2H4		= C2H3	+ OH		5.485131e-06
  R220	H2O	+ CNO		= HCNO	+ OH		2.305637e-06
  R217	H2O	+ C2H5		= C2H6	+ OH		2.272232e-06
  R342	NO	+ CH		= CN	+ OH		1.226846e-06
  R201	NH	+ NO		= OH	+ N2		1.026226e-06
  R303	NH	+ NO2		= OH	+ N2O		2.002767e-07
  R45	CH2	+ CH3O		= C2H4	+ OH		3.192222e-08
  R219	H2O	+ CN		= HCN	+ OH		1.452026e-08
  R461	O(1D)	+ NH3		= OH	+ NH2		1.407709e-08
  R245	HO2	+ C2H2		= C2H2O	+ OH		6.798793e-09
  T3	H2O2			= OH	+ OH		1.025742e-10 (x2)
  R437	O	+ HCNO		= CNO	+ OH		2.246501e-11
  T23	CH4O2			= CH3O	+ OH		5.044483e-14
  T9	HNO2			= OH	+ NO		1.124056e-14
  T10	HNO3			= OH	+ NO2		2.097140e-15
  R575	HSO	+ H		= HS	+ OH		3.229366e-17
  R578	HSO	+ O		= OH	+ SO		2.890190e-18
  R263	HS	+ HO2		= OH	+ HSO		2.679210e-18
  R571	S	+ HO2		= SO	+ OH		1.422575e-18
  R274	HSO3	+ O		= OH	+ SO3		1.113336e-18
  R558	HSO	+ O2		= OH	+ SO2		3.067216e-19
  R231	H2S	+ O		= OH	+ HS		1.526405e-21
  T53	HSO3			= OH	+ SO2		8.993978e-22
  R554	SO3	+ H		= OH	+ SO2		6.046834e-23
  T48	CHO2			= CO	+ OH		2.532614e-23
  R268	HS	+ O2		= SO	+ OH		1.059691e-23
  T20	CH4O			= CH3	+ OH		3.120689e-24
  R287	N	+ H2O		= OH	+ NH		1.241553e-24
  R188	H	+ NO		= OH	+ N		4.522429e-29
  R122	CO	+ CH3		= C2H2	+ OH		2.265130e-34
  R214	H2O	+ C		= CH	+ OH		4.348462e-37

OH				LOSS RXS		INT RX RATE	TL = 3.46e+12

  M89	OH	+ CO		= CO2	+ H		2.228709e+12
  M39	OH	+ CO		= CHO2			5.120517e+11
  R512	OH	+ H2		= H2O	+ H		4.438580e+11
  R445	O	+ OH		= O2	+ H		1.746271e+11
  R505	OH	+ CHO2		= CO2	+ H2O		5.962471e+10
  R522	OH	+ HO2		= H2O	+ O2		1.743742e+10
  R493	OH	+ CH2O		= CHO	+ H2O		7.835304e+09
  M18	H	+ OH		= H2O			4.081575e+09
  R513	OH	+ H2O2		= H2O	+ HO2		3.477399e+09
  R501	OH	+ CH4		= CH3	+ H2O		2.094330e+09
  R504	OH	+ CHO		= CO	+ H2O		1.229528e+09
  R502	OH	+ CH4O		= CH3O	+ H2O		1.034694e+08
  R525	OH	+ O3		= HO2	+ O2		2.522023e+07
  M44	OH	+ OH		= H2O2			1.042851e+07 (x2)
  R526	OH	+ OH		= H2O	+ O		3.817889e+06 (x2)
  R489	OH	+ C2H4O		= C2H3O	+ H2O		1.483303e+06
  M42	OH	+ NO		= HNO2			1.747052e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		1.002723e+05
  R499	OH	+ CH3O		= CH2O	+ H2O		5.294078e+04
  R496	OH	+ CH3		= CH2	+ H2O		2.584536e+04
  M43	OH	+ NO2		= HNO3			1.960688e+04
  R519	OH	+ HNO		= H2O	+ NO		1.686478e+04
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	1.114995e+04
  R483	OH	+ C2H2O		= CO	+ CH3O		1.090548e+04
  R494	OH	+ CH2O2		= CHO2	+ H2O		6.752243e+03
  R295	N	+ OH		= NO	+ H		1.299586e+03
  R520	OH	+ HNO2		= H2O	+ NO2		8.997309e+02
  M38	OH	+ C2H4		= C2H5O			6.415089e+02
  M41	OH	+ HNO3		= H2O	+ NO3		5.401163e+02
  R487	OH	+ C2H3O		= C2H2O	+ H2O		3.476772e+02
  R490	OH	+ C2H5		= C2H4	+ H2O		2.820467e+02
  R524	OH	+ NO3		= HO2	+ NO2		1.390597e+02
  R503	OH	+ CH4O2		= CH3O2	+ H2O		4.272359e+00
  R500	OH	+ CH3O2		= CH4O	+ O2		7.912923e-01
  M37	OH	+ C2H2		= C2H3O			1.990278e-02
  R481	OH	+ C2H2		= C2HO	+ H2		7.365612e-03
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	2.203538e-03
  R488	OH	+ C2H4		= C2H3	+ H2O		1.859380e-03
