# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R488	5.330412e-12
R489	5.961155e-02
R490	4.755697e-09
R491	1.979735e-03
R492	9.629871e-04
R493	7.863854e+05
R494	4.785037e-05
R495	7.468961e-17
R496	6.597298e-03
R498	6.587364e-12
R499	4.692260e-02
R500	2.340168e-04
R501	1.996950e+06
R502	9.010892e+00
R503	4.051998e-02
R504	9.625363e+03
R505	1.466516e+03
R506	9.882592e-15
R507	4.656826e-18
R509	3.371587e-19
R512	3.586439e+07
R513	1.548970e+07
R515	3.810474e-20
R516	6.380200e-16
R517	5.723930e-10
R519	1.079284e-06
R520	8.904303e-06
R521	1.771262e-01
R522	1.932673e+07
R523	2.044285e-08
R524	2.539323e-03
R525	1.646526e+05
R526	1.124053e+03
R527	1.878354e-01
R528	8.126527e+04
R533	1.067532e-04
R534	6.569259e-43
R535	5.396958e-04
R536	1.462847e+08
R537	9.075616e+04
R538	1.152977e-20
R540	3.129294e-27
R541	5.192352e+02
R542	1.183827e-44
R543	4.633195e+04
R544	1.632051e+09
R545	3.090356e+08
R546	7.507855e-12
R547	2.609315e-02
R548	7.747836e-05
R549	4.818976e-16
R551	3.668486e+05
R552	1.232349e-18
R553	1.594677e-10
R554	6.886800e+01
R555	2.192613e-31
R556	9.109881e-35
R557	1.334850e+02
R558	1.237765e+05
R559	1.229805e+06
R560	5.835508e-01
R561	4.933066e+03
R562	1.767327e+00
R563	9.262013e-01
R564	1.080824e-01
R565	1.377600e+06
R566	2.385162e-05
R567	8.094532e-02
R568	4.943160e-17
R569	2.061555e-01
R570	3.622053e+03
R571	3.622053e+03
R572	4.816054e+04
R573	1.834823e-04
R574	1.813068e-01
R575	1.369617e+02
R576	1.217437e+01
R577	4.961164e-06
R578	1.979264e+04
R579	4.414370e-05
R596	7.697519e+06
R597	5.644847e+07
R598	1.384228e+05
R599	6.805785e+05
R608	2.286409e-13
R611	4.039900e-65
R617	1.225780e-24
R618	4.299188e-18
R639	2.844799e-19
R640	8.277341e-03
R641	1.298016e-16
