# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R453	4.730873e+00
R454	1.777255e+10
R455	1.419163e+06
R456	7.556131e+06
R457	2.079631e-08
R458	4.489271e+11
R459	2.318323e-02
R460	3.630203e-02
R461	9.298080e-13
R462	1.737915e-06
R463	2.057791e-09
R464	3.713485e+06
R465	8.898540e+01
R466	8.898540e+01
R467	2.473089e-36
R468	3.911974e-06
R469	3.113489e-01
R470	1.101935e+05
R471	8.691285e+01
R472	6.883823e-01
R473	9.189867e-35
R474	5.063304e-36
R475	6.602008e-32
R477	9.027035e-05
R478	9.027035e-05
R479	1.435601e-14
R480	6.799133e-14
R481	5.692709e-02
R482	6.330228e-05
R483	1.102044e+05
R485	6.812031e-03
R486	6.812031e-03
R487	1.708188e+04
R488	1.628194e-02
R489	3.386677e+05
R490	9.674346e+03
R491	5.214914e+05
R492	1.104352e+00
R493	1.933369e+10
R494	1.846331e-06
R495	7.271753e-05
R496	1.168599e+06
R498	1.553317e-06
R499	2.345355e+06
R500	1.155584e+08
R501	2.703253e+10
R502	6.057045e+08
R503	7.331096e+07
R504	1.813232e+09
R505	1.565338e+11
R506	2.470923e-09
R507	4.797484e-12
R509	1.565190e-11
R512	9.890853e+11
R513	9.180170e+09
R515	3.908044e-10
R516	7.157632e-07
R517	1.921826e-06
R519	4.923197e+00
R520	3.978658e+00
R521	2.308789e-01
R522	1.753510e+11
R523	3.906677e-04
R524	2.789977e-03
R525	2.636803e+06
R526	3.395154e+09
R527	1.233622e-19
R528	1.511269e-16
R533	1.454318e-50
R534	1.704698e-74
R535	5.850603e-31
R536	1.045329e-15
R537	5.126624e-20
R538	1.866830e-61
R540	1.057701e-41
R541	4.147864e-29
R542	1.674403e-55
R543	5.000982e-22
R544	5.212328e-20
R545	6.295755e-21
R546	5.656028e-30
R547	3.774261e-22
R548	8.012122e-25
R549	3.813383e-35
R551	2.763346e-28
R552	7.897639e-62
R553	2.731557e-36
R554	4.024872e-21
R555	3.848067e-53
R556	1.542684e-55
R557	6.760951e-48
R558	5.775848e-22
R559	4.196571e-45
R560	7.418322e-21
R561	8.094856e+06
R562	2.167441e-25
R563	1.932448e-49
R564	1.106034e-50
R565	1.665914e-19
R566	6.164835e-22
R567	3.765616e-20
R568	7.251701e-19
R569	1.116340e-23
R570	1.247799e-20
R571	1.247799e-20
R572	4.191462e-21
R573	7.752197e-31
R574	2.476503e-21
R575	1.236460e-19
R576	1.099076e-20
R577	2.339386e-54
R578	8.360292e-19
R579	2.158865e-50
R596	2.160780e+06
R597	1.584572e+07
R598	3.198922e+04
R599	1.572803e+05
R608	5.356485e-29
R611	4.133429e-50
R617	3.523831e-16
R618	6.021089e-05
R639	8.660155e-20
R640	9.778514e-03
R641	4.792098e-19
R642	1.372269e-45
R643	3.611234e-46
R644	2.505063e-07
R645	1.995751e+11
M2	6.013274e-02
M3	3.299126e+05
M4	6.486391e+08
M5	4.845462e+03
M6	3.953518e+03
M7	1.368443e-01
M9	1.197172e+04
M10	7.668625e+10
M11	2.057258e-08
M12	4.692236e+11
M13	4.320715e+11
M14	2.626416e-03
M15	8.903560e+02
M16	3.822146e+10
M17	1.481575e+12
M18	1.128286e+12
M19	3.909596e+09
M20	6.713900e-01
M21	7.891686e-24
M22	1.799132e-13
M23	1.420675e-03
M24	5.610743e-07
M25	1.776490e-15
M26	1.045274e-02
M27	6.985592e-03
M28	3.441966e-04
M29	1.001286e-13
M31	1.242801e+08
M32	1.437272e+01
M33	1.394262e+00
M34	5.602332e+10
M35	3.688374e+11
M36	5.529446e+04
M37	0.000000e+00
M38	1.261720e+04
M39	3.681374e+11
M40	5.247442e-17
M41	2.499293e-01
M42	3.414111e+01
M43	8.257021e-01
M44	6.984025e+09
M45	1.170617e-51
M46	2.036642e-16
M47	1.498812e-30
M48	5.908124e-21
M49	1.486694e-19
M50	4.021809e-19
M51	9.748826e-19
M52	3.991721e-63
M53	4.678376e-65
M54	8.919222e-73
M55	1.478209e-143
M56	2.353776e+01
M57	2.722794e+10
M58	2.092749e+05
M73	4.005150e+02
M85	4.791748e-19
M86	5.726631e-07
M88	3.095370e+08
M89	1.150873e+12
M90	1.498409e+01
P1	8.383894e+09
P2	1.099613e+10
P3	4.866856e+10
P4	3.002004e+11
