  R162	H	+ CHO		= CO	+ H2		3.492347e+11
  M18	H	+ OH		= H2O			3.262506e+11
  M13	H	+ H		= H2			7.035861e+10 (x2)
  M10	H	+ CHO		= CH2O			6.460301e+10
  R182	H	+ HO2		= H2	+ O2		4.391355e+10
  R192	H	+ O3		= OH	+ O2		3.269863e+10
  R148	H	+ CH2O		= H2	+ CHO		2.892198e+10
  M16	H	+ O		= OH			2.046015e+10
  R181	H	+ HO2		= O	+ H2O		1.018285e+10
  M57	H	+ CH3		= CH4			6.025559e+09
  R167	H	+ H2O2		= OH	+ H2O		1.796872e+09
  R152	H	+ CH3O		= CH4O			4.951454e+08
  R155	H	+ CH3O2		= CH3O	+ OH		4.362152e+08
  R153	H	+ CH3O		= CH3	+ OH		2.746464e+08
  M88	H	+ CH2O		= CH3O			2.508148e+08
  R168	H	+ H2O2		= H2	+ HO2		2.146522e+08
  R157	H	+ CH4		= CH3	+ H2		1.020371e+08
  R159	H	+ CH4O		= CH3O	+ H2		8.639891e+07
  R166	H	+ H2O		= H2	+ OH		2.297279e+07
  R154	H	+ CH3O		= CH2O	+ H2		1.716540e+07
  R161	H	+ CH4O2		= H2	+ CH3O2		1.448465e+05
  R133	H	+ C2H3O		= CHO	+ CH3		1.257250e+05
  R160	H	+ CH4O2		= CH3O	+ H2O		1.200440e+05
  R140	H	+ C2H5		= CH3	+ CH3		8.261377e+04
  M58	H	+ C2H5		= C2H6			7.868551e+04
  R138	H	+ C2H4O		= CH4	+ CHO		7.337800e+04
  R134	H	+ C2H3O		= C2H2O	+ H2		6.857725e+04
  R137	H	+ C2H4O		= C2H3O	+ H2		4.511389e+04
  R142	H	+ C2H5O		= C2H4O	+ H2		1.719481e+04
  R130	H	+ C2H2O		= CO	+ CH3		1.132654e+04
  R146	H	+ CH2		= CH	+ H2		1.100825e+04
  M9	H	+ C2H4		= C2H5			4.559120e+03
  R141	H	+ C2H5		= C2H4	+ H2		4.130689e+03
  R143	H	+ C2H6		= C2H5	+ H2		3.482659e+03
  R145	H	+ CH		= C	+ H2		2.376467e+03
  M15	H	+ NO		= HNO			2.110540e+03
  R172	H	+ HNO		= H2	+ NO		1.960607e+03
  R165	H	+ CO2		= CO	+ OH		1.341588e+03
  R189	H	+ NO2		= OH	+ NO		2.093581e+02
  R136	H	+ C2H4O		= C2H5O			1.988154e+02
  M56	H	+ CH2		= CH3			2.052210e+00
  R175	H	+ HNO2		= OH	+ HNO		6.038362e-01
  R190	H	+ NO3		= OH	+ NO2		3.616382e-01
  R131	H	+ C2H3		= C2H4			2.300461e-01
  R177	H	+ HNO2		= H2O	+ NO		2.055853e-01
  M7	H	+ C2H2		= C2H3			1.315096e-01
  R132	H	+ C2H3		= C2H2	+ H2		2.330205e-02
  R176	H	+ HNO2		= H2	+ NO2		1.572322e-02
  R149	H	+ CH3		= CH2	+ H2		6.777195e-03
  M23	N	+ H		= NH			2.811384e-03
  M14	H	+ NH2		= NH3			1.933199e-03
  R171	H	+ HCNO		= CO	+ NH2		9.751797e-04
  R127	H	+ C2H		= C2H2			8.478334e-04
  R150	H	+ CH3NO2	= CH4O	+ NO		4.268083e-04
  R178	H	+ HNO3		= H2O	+ NO2		1.588868e-05
  R163	H	+ CNO		= CO	+ NH		6.997058e-06
  R135	H	+ C2H4		= C2H3	+ H2		4.948359e-06
  R156	H	+ CH3O2		= CH4	+ O2		2.009774e-07
  R173	H	+ HNO		= OH	+ NH		3.578570e-08
  M11	H	+ CN		= HCN			1.213111e-08
  R186	H	+ NH3		= H2	+ NH2		3.490722e-09
  R179	H	+ HNO3		= H2	+ NO3		1.129246e-10
  R164	H	+ CNO		= HCN	+ O		2.983713e-11
  R169	H	+ HCNO		= H2	+ CNO		1.710807e-12
  R183	H	+ N2O		= NO	+ NH		5.181631e-13
  M48	SO2	+ H		= HOSO			5.196174e-16
  M51	H	+ SO		= HSO			3.440411e-16
  R575	HSO	+ H		= HS	+ OH		3.067405e-16
  R560	HS	+ H		= H2	+ S		2.977763e-16
  R567	HSO3	+ H		= H2	+ SO3		2.770672e-16
  R174	H	+ HNO		= NH2	+ O		6.906469e-17
  R129	H	+ C2H2		= C2H	+ H2		5.500995e-17
  R576	HSO	+ H		= H2	+ SO		2.726582e-17
  R230	H2S	+ H		= H2	+ HS		1.127917e-18
  R641	N2H3	+ H		= NH2	+ NH2		5.104858e-19
  R639	N2H4	+ H		= N2H3	+ H2		1.130326e-19
  R554	SO3	+ H		= OH	+ SO2		6.733588e-21
  R128	H	+ C2H		= H2	+ C2		4.892861e-31
  R188	H	+ NO		= OH	+ N		1.544667e-31
  R187	H	+ NO		= NH	+ O		2.578753e-46
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

************************************************************

OH				PRODUCTION RXS		INT RX RATE	TP = 3.40e+12

  P6	H2O			= H	+ OH		1.321215e+12
  R441	O	+ HO2		= OH	+ O2		9.955806e+11
  R180	H	+ HO2		= OH	+ OH		4.582283e+11 (x2)
  P7	H2O2			= OH	+ OH		3.290043e+10 (x2)
  R192	H	+ O3		= OH	+ O2		3.269863e+10
  P5	HO2			= O	+ OH		2.770148e+10
  M16	H	+ O		= OH			2.046015e+10
  R428	O	+ CHO2		= CO2	+ OH		1.420383e+10
  R167	H	+ H2O2		= OH	+ H2O		1.796872e+09
  R426	O	+ CHO		= CO	+ OH		4.645296e+08
  R155	H	+ CH3O2		= CH3O	+ OH		4.362152e+08
  R153	H	+ CH3O		= CH3	+ OH		2.746464e+08
  R433	O	+ H2		= H	+ OH		1.837814e+08
  R413	O	+ CH2O		= CHO	+ OH		1.245610e+08
  R166	H	+ H2O		= H2	+ OH		2.297279e+07
  P24	CH4O2			= CH3O	+ OH		1.848527e+07
  R456	O(1D)	+ H2O		= OH	+ OH		1.660220e+07 (x2)
  R434	O	+ H2O2		= OH	+ HO2		7.783606e+06
  R419	O	+ CH3O		= CH2O	+ OH		3.359458e+06
  R455	O(1D)	+ H2		= H	+ OH		1.564050e+06
  R423	O	+ CH4		= CH3	+ OH		1.489363e+06
  R261	HO2	+ O3		= OH	+ O2	+ O2	1.316560e+06
  R424	O	+ CH4O		= CH3O	+ OH		1.188059e+06
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	4.293840e+04
  R425	O	+ CH4O2		= CH3O2	+ OH		3.260143e+04
  R450	O(1D)	+ CH4		= CH3	+ OH		1.823190e+04
  R409	O	+ CH2		= CH	+ OH		1.561729e+04
  R401	O	+ C2H4O		= C2H3O	+ OH		3.616894e+03
  R404	O	+ C2H5		= C2H4	+ OH		1.699997e+03
  R165	H	+ CO2		= CO	+ OH		1.341588e+03
  R259	HO2	+ NO		= OH	+ NO2		6.861243e+02
  R189	H	+ NO2		= OH	+ NO		2.093581e+02
  P14	HNO2			= NO	+ OH		1.338721e+02
  R406	O	+ C2H6		= C2H5	+ OH		1.159425e+02
  R439	O	+ HNO		= OH	+ NO		4.941422e+01
  T37	C2H5O			= C2H4	+ OH		2.251222e+01
  R453	O(1D)	+ CH4O		= CH3O	+ OH		1.056193e+01
  P15	HNO3			= NO2	+ OH		7.127941e+00
  T48	CHO2			= CO	+ OH		2.809372e+00
  P19	HNO4			= NO3	+ OH		1.612630e+00
  R175	H	+ HNO2		= OH	+ HNO		6.038362e-01
  R407	O	+ CH		= OH	+ C		3.826366e-01
  R397	O	+ C2H4		= C2H3	+ OH		3.617124e-01
  R190	H	+ NO3		= OH	+ NO2		3.616382e-01
  R448	O(1D)	+ C2H6		= C2H5	+ OH		7.580842e-02
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	6.781250e-02
  R369	NO2	+ CHO		= NO	+ CO	+ OH	4.831733e-02
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	3.498206e-02
  R394	O	+ C2H3		= C2H2	+ OH		2.564112e-02
  R215	H2O	+ C2H		= C2H2	+ OH		4.333986e-03
  R305	NH	+ O		= OH	+ N		2.583791e-04
  R323	NH2	+ O		= OH	+ NH		3.130207e-05
  R45	CH2	+ CH3O		= C2H4	+ OH		2.386762e-05
  P27	CH2O2			= CHO	+ OH		5.590195e-06
  R248	HO2	+ C2H4		= C2H4O	+ OH		5.527874e-06
  R306	NH	+ O2		= OH	+ NO		3.650380e-06
  R220	H2O	+ CNO		= HCNO	+ OH		2.573932e-06
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	1.399514e-06
  T31	C2H3O			= C2H2	+ OH		1.387240e-06
  R217	H2O	+ C2H5		= C2H6	+ OH		1.317477e-06
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	9.267886e-07
  R447	O(1D)	+ C2H4		= C2H3	+ OH		7.508596e-07
  R219	H2O	+ CN		= HCN	+ OH		5.472274e-07
  R319	NH2	+ H2O		= OH	+ NH3		4.472389e-07
  R342	NO	+ CH		= CN	+ OH		2.606961e-07
  R173	H	+ HNO		= OH	+ NH		3.578570e-08
  T23	CH4O2			= CH3O	+ OH		1.599195e-08
  R245	HO2	+ C2H2		= C2H2O	+ OH		1.482783e-09
  T17	CH3O2			= CH2O	+ OH		1.275266e-10
  T3	H2O2			= OH	+ OH		1.106743e-10 (x2)
  R461	O(1D)	+ NH3		= OH	+ NH2		1.269304e-12
  R437	O	+ HCNO		= CNO	+ OH		5.665186e-13
  R201	NH	+ NO		= OH	+ N2		5.974650e-14
  R303	NH	+ NO2		= OH	+ N2O		1.114962e-14
  R575	HSO	+ H		= HS	+ OH		3.067405e-16
  T9	HNO2			= OH	+ NO		4.984037e-17
  R274	HSO3	+ O		= OH	+ SO3		1.692401e-17
  T10	HNO3			= OH	+ NO2		6.510304e-18
  R578	HSO	+ O		= OH	+ SO		5.545959e-18
  R571	S	+ HO2		= SO	+ OH		2.155287e-18
  R263	HS	+ HO2		= OH	+ HSO		8.619275e-19
  R558	HSO	+ O2		= OH	+ SO2		1.267477e-19
  T53	HSO3			= OH	+ SO2		9.186294e-21
  R554	SO3	+ H		= OH	+ SO2		6.733588e-21
  R231	H2S	+ O		= OH	+ HS		1.504339e-22
  R268	HS	+ O2		= SO	+ OH		1.138518e-23
  R287	N	+ H2O		= OH	+ NH		9.536639e-27
  R188	H	+ NO		= OH	+ N		1.544667e-31
  R214	H2O	+ C		= CH	+ OH		1.654103e-32
  R122	CO	+ CH3		= C2H2	+ OH		4.990007e-35
  T20	CH4O			= CH3	+ OH		1.897331e-38

OH				LOSS RXS		INT RX RATE	TL = 3.40e+12

  M89	OH	+ CO		= CO2	+ H		1.159809e+12
  R512	OH	+ H2		= H2O	+ H		5.074543e+11
  M39	OH	+ CO		= CHO2			4.822235e+11
  R445	O	+ OH		= O2	+ H		4.353277e+11
  M18	H	+ OH		= H2O			3.262506e+11
  R522	OH	+ HO2		= H2O	+ O2		2.719454e+11
  R505	OH	+ CHO2		= CO2	+ H2O		1.554142e+11
  R513	OH	+ H2O2		= H2O	+ HO2		2.078834e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.887906e+10
  R501	OH	+ CH4		= CH3	+ H2O		6.598653e+09
  M44	OH	+ OH		= H2O2			3.392114e+09 (x2)
  R504	OH	+ CHO		= CO	+ H2O		2.359708e+09
  R526	OH	+ OH		= H2O	+ O		1.394731e+09 (x2)
  R502	OH	+ CH4O		= CH3O	+ H2O		5.660940e+08
  R500	OH	+ CH3O2		= CH4O	+ O2		1.724668e+08
  R503	OH	+ CH4O2		= CH3O2	+ H2O		1.067144e+08
  R525	OH	+ O3		= HO2	+ O2		5.508656e+06
  R499	OH	+ CH3O		= CH2O	+ H2O		1.941869e+06
  R496	OH	+ CH3		= CH2	+ H2O		6.537776e+05
  R489	OH	+ C2H4O		= C2H3O	+ H2O		2.869529e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		2.025102e+05
  R483	OH	+ C2H2O		= CO	+ CH3O		6.286525e+04
  M38	OH	+ C2H4		= C2H5O			6.823555e+03
  R487	OH	+ C2H3O		= C2H2O	+ H2O		6.818892e+03
  R490	OH	+ C2H5		= C2H4	+ H2O		5.858440e+03
  M42	OH	+ NO		= HNO2			1.504037e+02
  R519	OH	+ HNO		= H2O	+ NO		2.179205e+01
  R520	OH	+ HNO2		= H2O	+ NO2		1.571563e+01
  M43	OH	+ NO2		= HNO3			9.635438e+00
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	3.385010e+00
  M41	OH	+ HNO3		= H2O	+ NO3		1.906294e+00
  R492	OH	+ CH2		= CH2O	+ H		1.743980e-01
  R295	N	+ OH		= NO	+ H		1.726908e-01
  R481	OH	+ C2H2		= C2HO	+ H2		3.482857e-02
  R524	OH	+ NO3		= HO2	+ NO2		2.352317e-02
  R488	OH	+ C2H4		= C2H3	+ H2O		2.235885e-02
  R485	OH	+ C2H3		= C2H4O			1.099059e-02
  R486	OH	+ C2H3		= C2H2	+ H2O		1.099059e-02
  R523	OH	+ NH3		= H2O	+ NH2		2.999658e-04
  R495	OH	+ CH3		= CH3O	+ H		9.990021e-05
  R482	OH	+ C2H2		= CO	+ CH3		3.294934e-05
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	2.254191e-05
  R494	OH	+ CH2O2		= CHO2	+ H2O		8.348764e-06
  R308	NH	+ OH		= H	+ HNO		7.861862e-06
  R517	OH	+ HCNO		= CNO	+ H2O		2.528040e-06
  R477	OH	+ C2H		= CO	+ CH2		1.373309e-06
  R478	OH	+ C2H		= C2H2	+ O		1.373309e-06
  R516	OH	+ HCN		= CN	+ H2O		6.455099e-07
  R309	NH	+ OH		= H2O	+ N		6.221960e-07
  R326	NH2	+ OH		= H2O	+ NH		4.961811e-07
  R644	NH2	+ OH		= NH3	+ O		2.307391e-07
  R506	OH	+ CN		= H	+ CNO		2.483010e-09
  R515	OH	+ HCN		= CO	+ NH2		3.670767e-10
  R509	OH	+ CNO		= HCNO	+ O		5.284735e-11
  R507	OH	+ CN		= O	+ HCN		8.008068e-12
  R480	OH	+ C2H2		= C2H	+ H2O		6.751329e-13
  R479	OH	+ C2H2		= C2H2O	+ H		1.731908e-13
  R528	OH	+ SO		= SO2	+ H		1.894727e-15
  M50	SO2	+ OH		= HSO3			6.282169e-16
  R40	NH	+ OH		= NH2	+ O		2.930564e-16
  R527	OH	+ S		= H	+ SO		9.831995e-17
  R566	HSO3	+ OH		= H2O	+ SO3		1.536552e-17
  R574	HSO	+ OH		= H2O	+ SO		5.626227e-18
  M47	SO	+ OH		= HOSO			8.004906e-19
  R232	H2S	+ OH		= H2O	+ HS		5.380578e-20
  R473	OCS	+ OH		= CO2	+ HS		4.014189e-34
  R556	SO3	+ OH		= HO2	+ SO2		2.848698e-45
  R107	CH4S	+ OH		= H2O	+ CH3S		0.000000e+00
  M37	OH	+ C2H2		= C2H3O			0.000000e+00

************************************************************

O2				PRODUCTION RXS		INT RX RATE	TP = 3.10e+12

  R441	O	+ HO2		= OH	+ O2		9.955806e+11
  P4	O3			= O2	+ O(1D)		9.912610e+11
  R445	O	+ OH		= O2	+ H		4.353277e+11
  R522	OH	+ HO2		= H2O	+ O2		2.719454e+11
  P3	O3			= O2	+ O		1.610276e+11
  M34	O	+ O		= O2			1.122490e+11
  R182	H	+ HO2		= H2	+ O2		4.391355e+10
  R257	HO2	+ HO2		= H2O2	+ O2		3.825903e+10
  R192	H	+ O3		= OH	+ O2		3.269863e+10
  M19	HO2	+ HO2		= H2O2	+ O2		1.430648e+10
  R500	OH	+ CH3O2		= CH4O	+ O2		1.724668e+08
  R422	O	+ CH3O2		= CH3O	+ O2		1.591055e+08
  R254	HO2	+ CH3O2		= CH4O2	+ O2		1.255189e+08
  R444	O	+ O3		= O2	+ O2		2.293007e+07 (x2)
  R525	OH	+ O3		= HO2	+ O2		5.508656e+06
  R464	O(1D)	+ O2		= O	+ O2		3.963991e+06
  R261	HO2	+ O3		= OH	+ O2	+ O2	1.316560e+06 (x2)
  R420	O	+ CH3O		= CH3	+ O2		1.199806e+06
  R470	O3	+ CH3		= CH3O	+ O2		1.027843e+05
  R85	CH3O2	+ CH3O2		= CH3O	+ CH3O	+ O2	3.744203e+03
  R86	CH3O2	+ CH3O2		= CH4O	+ CH2O	+ O2	2.284598e+03
  R251	HO2	+ C2H5		= C2H6	+ O2		4.286105e+02
  R465	O(1D)	+ O3		= O2	+ O2		3.638730e+02 (x2)
  R466	O(1D)	+ O3		= O2	+ O	+ O	3.638730e+02
  T1	O3			= O2	+ O		2.907855e+02
  M90	O	+ NO2		= NO	+ O2		1.765834e+02
  R471	O3	+ CH3O		= CH3O2	+ O2		8.537438e+01
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	3.385010e+00
  P9	NO3			= NO	+ O2		2.406510e+00
  R472	O3	+ CH3O2		= CH3O	+ O2	+ O2	1.272205e+00 (x2)
  R443	O	+ NO3		= NO2	+ O2		5.453834e-01
  R469	O3	+ C2H5		= C2H5O	+ O2		4.147592e-01
  R459	O(1D)	+ N2O		= O2	+ N2		2.022449e-01
  R354	NO	+ O3		= NO2	+ O2		8.171961e-02
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	3.498206e-02
  T6	NO3			= NO	+ O2		3.221123e-03
  R258	HO2	+ NH2		= NH3	+ O2		3.509795e-04
  R440	O	+ HNO4		= HNO3	+ O2		5.620334e-05
  R294	N	+ O3		= NO	+ O2		1.459365e-05
  R384	NO3	+ CH3O2		= CH3O	+ NO2	+ O2	8.499373e-06
  R462	O(1D)	+ NO		= O2	+ N		5.019437e-06
  R377	NO2	+ O3		= NO3	+ O2		1.958045e-06
  R156	H	+ CH3O2		= CH4	+ O2		2.009774e-07
  R463	O(1D)	+ NO2		= O2	+ NO		3.653232e-08
  R432	O	+ CNO		= CN	+ O2		4.951810e-12
  R244	HO2	+ C2H2		= C2H3	+ O2		2.426906e-14
  R376	NO2	+ NO3		= NO	+ NO2	+ O2	1.585730e-15
  T2	HO2			= O2	+ H		5.422033e-16
  R570	S	+ HO2		= HS	+ O2		2.155287e-18
  R537	S	+ O3		= O2	+ SO		8.368703e-19
  R545	SO	+ O3		= SO2	+ O2		6.858739e-19
  R387	NO3	+ NO3		= NO2	+ NO2	+ O2	1.722620e-19
  R269	HS	+ O3		= O2	+ HSO		3.254850e-21
  R551	SO2	+ HO2		= HOSO	+ O2		2.412445e-21
  R271	HSO	+ O3		= HS	+ O2	+ O2	3.181483e-22 (x2)
  R216	HSO	+ O3		= HOSO	+ O2		1.363493e-22
  R553	SO2	+ O		= SO	+ O2		6.001183e-31
  R126	CS	+ O3		= O2	+ OCS		4.288531e-46
  R555	SO3	+ O		= SO2	+ O2		6.686953e-47

O2				LOSS RXS		INT RX RATE	TL = 3.10e+12

  M17	H	+ O2		= HO2			1.575807e+12
  M35	O	+ O2		= O3			1.185017e+12
  R645	O2	+ CHO2		= HO2	+ CO2		3.109309e+11
  P2	O2			= O	+ O(1D)		1.066366e+10
  P1	O2			= O	+ O		8.770698e+09
  R118	CHO	+ O2		= CO	+ HO2		4.352913e+09
  M4	CH3	+ O2		= CH3O2			7.866162e+08
  R81	CH3O	+ O2		= CH2O	+ HO2		7.279526e+08
  R6	C	+ O2		= CO	+ O		2.405925e+07
  R464	O(1D)	+ O2		= O	+ O2		3.963991e+06
  R26	C2H5O	+ O2		= C2H4O	+ HO2		6.594292e+03
  R293	N	+ O2		= NO	+ O		4.476888e-05
  R306	NH	+ O2		= OH	+ NO		3.650380e-06
  R307	NH	+ O2		= O	+ HNO		3.197567e-11
  R536	S	+ O2		= SO	+ O		1.660193e-15
  R273	HOSO	+ O2		= HO2	+ SO2		4.018474e-16
  R275	HSO3	+ O2		= HO2	+ SO3		3.187813e-16
  R544	SO	+ O2		= SO2	+ O		8.577282e-19
  M21	HS	+ O2		= HOSO			3.142251e-19
  R558	HSO	+ O2		= OH	+ SO2		1.267477e-19
  R268	HS	+ O2		= SO	+ OH		1.138518e-23
  R562	SO21	+ O2		= O	+ SO3		3.715809e-25
  R540	CS	+ O2		= OCS	+ O		1.257659e-44
  R89	CH3S	+ O2		= CH3	+ SO2		0.000000e+00

************************************************************

O				PRODUCTION RXS		INT RX RATE	TP = 2.88e+12

  P36	CO2			= CO	+ O		1.491109e+12
  R458	O(1D)	+ N2		= O	+ N2		1.113167e+12
  P3	O3			= O2	+ O		1.610276e+11
  R454	O(1D)	+ CO2		= CO2	+ O		4.423984e+10
  P5	HO2			= O	+ OH		2.770148e+10
  P2	O2			= O	+ O(1D)		1.066366e+10
  R181	H	+ HO2		= O	+ H2O		1.018285e+10
  P1	O2			= O	+ O		8.770698e+09 (x2)
  R526	OH	+ OH		= H2O	+ O		1.394731e+09
  R6	C	+ O2		= CO	+ O		2.405925e+07
  P35	CO			= C	+ O		2.405688e+07
  R464	O(1D)	+ O2		= O	+ O2		3.963991e+06
  P73	H2O			= H	+ H	+ O	3.898940e+06
  P8	NO2			= NO	+ O		5.131186e+02
  R466	O(1D)	+ O3		= O2	+ O	+ O	3.638730e+02 (x2)
  T1	O3			= O2	+ O		2.907855e+02
  P10	NO3			= NO2	+ O		1.785736e+01
  P44	NO			= N	+ O		2.288945e-01
  P16	HNO3			= HNO2	+ O		1.497886e-01
  R332	NO	+ C		= CN	+ O		7.403337e-05
  R293	N	+ O2		= NO	+ O		4.476888e-05
  R478	OH	+ C2H		= C2H2	+ O		1.373309e-06
  R341	NO	+ CH		= O	+ HCN		2.551098e-07
  R644	NH2	+ OH		= NH3	+ O		2.307391e-07
  R291	N	+ NO		= O	+ N2		2.262630e-08
  R509	OH	+ CNO		= HCNO	+ O		5.284735e-11
  R292	N	+ NO2		= N2O	+ O		4.149592e-11
  R307	NH	+ O2		= O	+ HNO		3.197567e-11
  R164	H	+ CNO		= HCN	+ O		2.983713e-11
  R507	OH	+ CN		= O	+ HCN		8.008068e-12
  P13	N2O5			= NO3	+ NO	+ O	5.758867e-12
  P46	SO2			= SO	+ O		3.788563e-15
  R352	NO	+ CNO		= CO	+ N2	+ O	2.257558e-15
  P51	SO			= S	+ O		1.664418e-15
  R536	S	+ O2		= SO	+ O		1.660193e-15
  R40	NH	+ OH		= NH2	+ O		2.930564e-16
  R174	H	+ HNO		= NH2	+ O		6.906469e-17
  P30	SO3			= SO2	+ O		7.327268e-18
  R544	SO	+ O2		= SO2	+ O		8.577282e-19
