Total_Molecules: 84
Total_Reactions: 731
Sorting by     : TP Descending
************************************************************

H				PRODUCTION RXS		INT RX RATE	TP = 8.10e+12

  R150	H	+ CH3NO2	= CH4O	+ NO		1.133022e-04
  R127	H	+ C2H		= C2H2			2.761259e-05
  M14	H	+ NH2		= NH3			6.923167e-06
  R135	H	+ C2H4		= C2H3	+ H2		5.706616e-06
  R171	H	+ HCNO		= CO	+ NH2		3.615478e-06
  R178	H	+ HNO3		= H2O	+ NO2		2.943284e-06
  R156	H	+ CH3O2		= CH4	+ O2		1.961846e-07
  R173	H	+ HNO		= OH	+ NH		9.631588e-08
  R163	H	+ CNO		= CO	+ NH		1.239585e-08
  M11	H	+ CN		= HCN			2.818728e-11
  R179	H	+ HNO3		= H2	+ NO3		1.663727e-11
  R186	H	+ NH3		= H2	+ NH2		1.503991e-11
  R183	H	+ N2O		= NO	+ NH		9.161791e-12
  R164	H	+ CNO		= HCN	+ O		4.191898e-14
  R169	H	+ HCNO		= H2	+ CNO		3.658496e-15
  R174	H	+ HNO		= NH2	+ O		4.325426e-16
  R129	H	+ C2H2		= C2H	+ H2		1.179733e-17
  M51	H	+ SO		= HSO			4.633179e-18
  R567	HSO3	+ H		= H2	+ SO3		5.661037e-19
  M48	SO2	+ H		= HOSO			3.286204e-19
  R575	HSO	+ H		= HS	+ OH		2.796837e-19
  R560	HS	+ H		= H2	+ S		5.587200e-20
  R576	HSO	+ H		= H2	+ SO		2.486078e-20
  R554	SO3	+ H		= OH	+ SO2		1.313774e-20
  R230	H2S	+ H		= H2	+ HS		1.827283e-23
  R641	N2H3	+ H		= NH2	+ NH2		4.474965e-24
  R639	N2H4	+ H		= N2H3	+ H2		1.330407e-24
  R188	H	+ NO		= OH	+ N		5.303507e-30
  R128	H	+ C2H		= H2	+ C2		3.423417e-32
  R187	H	+ NO		= NH	+ O		4.590790e-44
  R103	CH4S	+ H		= CH3	+ H2S		0.000000e+00
  R104	CH4S	+ H		= H2	+ CH3S		0.000000e+00

************************************************************

OH				PRODUCTION RXS		INT RX RATE	TP = 7.22e+12

  P6	H2O			= H	+ OH		4.017055e+12
  R441	O	+ HO2		= OH	+ O2		1.400349e+12
  R180	H	+ HO2		= OH	+ OH		7.936839e+11 (x2)
  R192	H	+ O3		= OH	+ O2		6.754806e+10
  M16	H	+ O		= OH			3.641892e+10
  P5	HO2			= O	+ OH		3.639777e+10
  P7	H2O2			= OH	+ OH		2.992719e+10 (x2)
  R428	O	+ CHO2		= CO2	+ OH		6.138451e+09
  R167	H	+ H2O2		= OH	+ H2O		3.735228e+09
  R166	H	+ H2O		= H2	+ OH		6.239211e+08
  R155	H	+ CH3O2		= CH3O	+ OH		5.163408e+08
  R153	H	+ CH3O		= CH3	+ OH		2.950691e+08
  R426	O	+ CHO		= CO	+ OH		2.643922e+08
  R456	O(1D)	+ H2O		= OH	+ OH		1.125584e+08 (x2)
  R433	O	+ H2		= H	+ OH		1.087052e+08
  R413	O	+ CH2O		= CHO	+ OH		2.784309e+07
  P24	CH4O2			= CH3O	+ OH		1.135798e+07
  R434	O	+ H2O2		= OH	+ HO2		5.706587e+06
  R419	O	+ CH3O		= CH2O	+ OH		1.956290e+06
  R455	O(1D)	+ H2		= H	+ OH		1.537670e+06
  R261	HO2	+ O3		= OH	+ O2	+ O2	1.046721e+06
  R423	O	+ CH4		= CH3	+ OH		9.561294e+05
  R424	O	+ CH4O		= CH3O	+ OH		4.546541e+05
  R165	H	+ CO2		= CO	+ OH		2.506775e+05
  R247	HO2	+ C2H3O		= OH	+ CH3	+ CO2	2.022538e+04
  R450	O(1D)	+ CH4		= CH3	+ OH		1.949294e+04
  R425	O	+ CH4O2		= CH3O2	+ OH		1.530808e+04
  R409	O	+ CH2		= CH	+ OH		2.353670e+03
  R404	O	+ C2H5		= C2H4	+ OH		8.575040e+02
  R401	O	+ C2H4O		= C2H3O	+ OH		8.227315e+02
  R259	HO2	+ NO		= OH	+ NO2		1.981602e+02
  R189	H	+ NO2		= OH	+ NO		7.345149e+01
  P14	HNO2			= NO	+ OH		6.135177e+01
  R406	O	+ C2H6		= C2H5	+ OH		3.531525e+01
  T48	CHO2			= CO	+ OH		1.335148e+01
  R453	O(1D)	+ CH4O		= CH3O	+ OH		1.105714e+01
  T37	C2H5O			= C2H4	+ OH		7.402721e+00
  R439	O	+ HNO		= OH	+ NO		6.325022e+00
  P15	HNO3			= NO2	+ OH		1.386747e+00
  R175	H	+ HNO2		= OH	+ HNO		9.742167e-01
  P19	HNO4			= NO3	+ OH		2.928277e-01
  R397	O	+ C2H4		= C2H3	+ OH		1.733234e-01
  R190	H	+ NO3		= OH	+ NO2		1.337069e-01
  R407	O	+ CH		= OH	+ C		5.074385e-02
  R448	O(1D)	+ C2H6		= C2H5	+ OH		4.774666e-02
  R246	HO2	+ C2H3		= OH	+ CH3	+ CO	2.485137e-02
  R394	O	+ C2H3		= C2H2	+ OH		9.721481e-03
  R260	HO2	+ NO3		= OH	+ NO2	+ O2	5.802035e-03
  R369	NO2	+ CHO		= NO	+ CO	+ OH	5.661211e-03
  R215	H2O	+ C2H		= C2H2	+ OH		1.898268e-03
  R305	NH	+ O		= OH	+ N		1.082682e-04
  R45	CH2	+ CH3O		= C2H4	+ OH		5.166685e-06
  R217	H2O	+ C2H5		= C2H6	+ OH		2.956871e-06
  R248	HO2	+ C2H4		= C2H4O	+ OH		2.220735e-06
  T31	C2H3O			= C2H2	+ OH		2.158344e-06
  P27	CH2O2			= CHO	+ OH		1.425189e-06
  R447	O(1D)	+ C2H4		= C2H3	+ OH		3.006311e-07
  R306	NH	+ O2		= OH	+ NO		1.679212e-07
  R417	O	+ CH3NO2	= OH	+ CH2O	+ NO	1.376312e-07
  R323	NH2	+ O		= OH	+ NH		1.260143e-07
  R173	H	+ HNO		= OH	+ NH		9.631588e-08
  R418	O	+ CH3NO3	= OH	+ CH2O	+ NO2	6.994354e-08
  R220	H2O	+ CNO		= HCNO	+ OH		8.281411e-09
  R342	NO	+ CH		= CN	+ OH		5.264781e-09
  R219	H2O	+ CN		= HCN	+ OH		4.096527e-09
  T3	H2O2			= OH	+ OH		1.999044e-09 (x2)
  R319	NH2	+ H2O		= OH	+ NH3		1.240580e-09
  R245	HO2	+ C2H2		= C2H2O	+ OH		3.953166e-10
  T23	CH4O2			= CH3O	+ OH		1.624894e-10
  T17	CH3O2			= CH2O	+ OH		5.360512e-11
  R461	O(1D)	+ NH3		= OH	+ NH2		3.471314e-15
  R437	O	+ HCNO		= CNO	+ OH		1.498618e-15
  R201	NH	+ NO		= OH	+ N2		7.611232e-16
  T9	HNO2			= OH	+ NO		7.208398e-16
  R303	NH	+ NO2		= OH	+ N2O		1.276891e-17
  R274	HSO3	+ O		= OH	+ SO3		4.460645e-18
  R578	HSO	+ O		= OH	+ SO		4.287597e-18
  T10	HNO3			= OH	+ NO2		5.974766e-19
  R575	HSO	+ H		= HS	+ OH		2.796837e-19
  R571	S	+ HO2		= SO	+ OH		7.703454e-20
  R558	HSO	+ O2		= OH	+ SO2		1.388461e-20
  R554	SO3	+ H		= OH	+ SO2		1.313774e-20
  R263	HS	+ HO2		= OH	+ HSO		4.951741e-21
  T53	HSO3			= OH	+ SO2		3.527195e-24
  R268	HS	+ O2		= SO	+ OH		3.988962e-25
  R287	N	+ H2O		= OH	+ NH		1.155435e-25
  R231	H2S	+ O		= OH	+ HS		5.019151e-27
  R188	H	+ NO		= OH	+ N		5.303507e-30
  R214	H2O	+ C		= CH	+ OH		1.788182e-31
  R122	CO	+ CH3		= C2H2	+ OH		1.814523e-33
  T20	CH4O			= CH3	+ OH		1.600276e-35

OH				LOSS RXS		INT RX RATE	TL = 7.22e+12

  M89	OH	+ CO		= CO2	+ H		1.964181e+12
  M18	H	+ OH		= H2O			1.964144e+12
  R512	OH	+ H2		= H2O	+ H		1.364148e+12
  R445	O	+ OH		= O2	+ H		7.510151e+11
  M39	OH	+ CO		= CHO2			4.658904e+11
  R522	OH	+ HO2		= H2O	+ O2		4.186589e+11
  R505	OH	+ CHO2		= CO2	+ H2O		1.784588e+11
  R513	OH	+ H2O2		= H2O	+ HO2		2.485413e+10
  R501	OH	+ CH4		= CH3	+ H2O		1.944708e+10
  R493	OH	+ CH2O		= CHO	+ H2O		1.552603e+10
  M44	OH	+ OH		= H2O2			1.470307e+10 (x2)
  R526	OH	+ OH		= H2O	+ O		8.751620e+09 (x2)
  R504	OH	+ CHO		= CO	+ H2O		2.900071e+09
  R502	OH	+ CH4O		= CH3O	+ H2O		5.475346e+08
  R500	OH	+ CH3O2		= CH4O	+ O2		1.804501e+08
  R503	OH	+ CH4O2		= CH3O2	+ H2O		6.785874e+07
  R525	OH	+ O3		= HO2	+ O2		5.480745e+06
  R499	OH	+ CH3O		= CH2O	+ H2O		2.332318e+06
  R496	OH	+ CH3		= CH2	+ H2O		1.613172e+06
  R489	OH	+ C2H4O		= C2H3O	+ H2O		1.711388e+05
  R491	OH	+ C2H6		= C2H5	+ H2O		1.701481e+05
  R483	OH	+ C2H2O		= CO	+ CH3O		4.962882e+04
  R487	OH	+ C2H3O		= C2H2O	+ H2O		7.676434e+03
  M38	OH	+ C2H4		= C2H5O			6.458086e+03
  R490	OH	+ C2H5		= C2H4	+ H2O		5.984511e+03
  M42	OH	+ NO		= HNO2			7.529349e+01
  R519	OH	+ HNO		= H2O	+ NO		1.328459e+01
  R520	OH	+ HNO2		= H2O	+ NO2		1.244813e+01
  M43	OH	+ NO2		= HNO3			1.991915e+00
  R521	OH	+ HNO4		= H2O	+ NO2	+ O2	5.974259e-01
  M41	OH	+ HNO3		= H2O	+ NO3		4.955834e-01
  R492	OH	+ CH2		= CH2O	+ H		2.055548e-01
  R295	N	+ OH		= NO	+ H		3.487875e-02
  R488	OH	+ C2H4		= C2H3	+ H2O		2.253185e-02
  R481	OH	+ C2H2		= C2HO	+ H2		1.643859e-02
  R485	OH	+ C2H3		= C2H4O			7.440548e-03
  R486	OH	+ C2H3		= C2H2	+ H2O		7.440548e-03
  R524	OH	+ NO3		= HO2	+ NO2		6.263352e-03
  R495	OH	+ CH3		= CH3O	+ H		3.092670e-04
  R482	OH	+ C2H2		= CO	+ CH3		1.544758e-05
  R498	OH	+ CH3NO3	= CH2O	+ NO2	+ H2O	3.582800e-06
  R494	OH	+ CH2O2		= CHO2	+ H2O		2.593066e-06
  R523	OH	+ NH3		= H2O	+ NH2		1.810758e-06
  R477	OH	+ C2H		= CO	+ CH2		1.799127e-07
  R478	OH	+ C2H		= C2H2	+ O		1.799127e-07
  R308	NH	+ OH		= H	+ HNO		1.488485e-07
  R517	OH	+ HCNO		= CNO	+ H2O		1.395854e-08
