Type	Std	Rate
R22	5.134482e-39	1.101562e-38	1.420877e-49	2.682410e-54	5.724788e-57	3.696612e-50	2.179837e-39	6.377318e-52	4.874157e-54	7.681989e-42	5.283347e-43	4.484513e-42	8.618360e-41	1.669994e-39	3.264211e-38	6.897768e-37	1.374477e-35	2.029605e-34	2.014429e-33	1.424511e-32	6.777066e-32	2.082153e-31	4.064995e-31	5.221026e-31	5.181335e-31	3.950753e-31	2.462102e-31	1.332594e-31	5.792572e-32	2.184611e-32	6.902274e-33	1.835268e-33	4.724070e-34	1.194804e-34	3.090871e-35	8.501595e-34	9.509336e-33	1.163267e-30	1.091622e-28	1.392870e-26	1.775668e-28	8.735303e-34	3.120684e-38	
R23	1.171704e-46	2.045946e-45	5.142455e-49	1.169896e-46	9.342062e-37	1.869708e-37	1.026636e-49	3.548887e-40	1.792633e-38	2.667079e-40	8.165077e-42	1.843320e-40	8.028813e-38	2.042413e-39	1.444524e-39	2.614285e-38	4.230787e-37	2.152712e-36	9.979882e-36	4.388493e-35	1.389703e-34	3.187631e-34	5.194150e-34	6.248228e-34	6.196530e-34	4.751425e-34	3.061981e-34	1.698847e-34	7.409003e-35	2.712952e-35	8.047438e-36	1.935993e-36	4.344522e-37	9.302913e-38	1.868908e-38	1.002752e-38	6.125251e-38	7.774818e-36	9.289973e-34	1.772598e-31	1.733295e-33	1.160455e-39	5.293703e-45	
R24	1.000996e-28	5.810691e-29	5.232138e-29	4.790169e-29	2.855255e-29	9.782155e-30	4.471273e-31	7.998014e-33	7.784251e-33	2.967445e-32	1.618004e-31	1.079224e-30	6.607485e-30	3.754500e-29	2.084694e-28	1.321882e-27	8.812477e-27	5.051651e-26	2.273207e-25	8.063464e-25	2.095320e-24	3.913712e-24	5.386191e-24	5.796174e-24	5.399578e-24	4.167561e-24	2.857322e-24	1.791772e-24	9.546006e-25	4.555581e-25	1.879829e-25	6.642101e-26	2.245710e-26	7.374993e-27	2.318060e-27	1.167720e-27	2.211586e-27	2.163141e-26	2.156819e-25	5.724366e-24	2.443396e-25	1.222712e-28	2.115371e-31	
R25	1.265628e-26	7.346851e-27	6.615347e-27	6.056536e-27	3.610092e-27	1.236824e-27	5.653334e-29	1.011243e-30	9.842156e-31	3.751942e-30	2.045752e-29	1.364536e-28	8.354291e-28	4.747069e-27	2.635821e-26	1.671345e-25	1.114221e-24	6.387145e-24	2.874170e-23	1.019518e-22	2.649255e-22	4.948372e-22	6.810127e-22	7.328496e-22	6.827053e-22	5.269330e-22	3.612706e-22	2.265459e-22	1.206966e-22	5.759929e-23	2.376795e-23	8.398059e-24	2.839403e-24	9.324703e-25	2.930880e-25	1.476427e-25	2.796259e-25	2.735006e-24	2.727013e-23	7.237704e-22	3.089351e-23	1.545957e-26	2.674607e-29	
R26	3.237838e-13	2.985332e-11	2.274204e-14	1.136768e-14	4.448693e-14	2.029110e-15	3.201162e-12	1.049610e-11	5.331154e-16	4.603659e-14	8.438022e-14	1.726245e-13	1.779755e-10	7.821256e-13	1.745666e-12	4.000778e-12	8.949090e-12	1.904298e-11	3.895073e-11	8.078519e-11	1.682041e-10	3.197998e-10	4.929263e-10	6.098749e-10	6.500656e-10	6.154621e-10	5.454503e-10	4.555758e-10	3.509549e-10	2.515458e-10	1.661588e-10	1.013474e-10	5.901216e-11	3.319204e-11	1.810482e-11	1.876238e-11	5.240486e-11	6.039461e-10	7.080966e-09	1.097757e-07	5.952003e-08	7.576746e-10	1.499812e-11	
R27	1.886177e-44	3.913112e-44	2.778996e-55	2.373807e-60	2.153751e-63	5.474949e-57	1.990990e-46	1.020397e-58	8.040254e-61	1.282436e-48	8.145164e-50	6.523456e-49	1.056868e-47	1.605685e-46	2.507573e-45	5.098189e-44	1.194757e-42	2.303056e-41	3.290216e-40	3.716133e-39	2.926930e-38	1.522294e-37	5.095108e-37	1.043711e-36	1.553229e-36	1.555161e-36	1.122895e-36	6.507463e-37	2.637939e-37	8.537994e-38	2.054895e-38	3.629972e-39	5.911273e-40	9.058462e-41	1.359575e-41	1.807396e-40	3.668857e-40	1.589150e-39	5.682077e-39	1.970707e-38	8.989366e-40	1.198439e-42	1.837628e-45	
R28	6.932298e-39	1.123209e-39	2.562490e-40	3.804057e-41	4.119774e-42	1.066289e-43	3.624513e-47	2.326993e-48	6.598292e-47	1.081019e-48	2.961961e-49	2.284568e-48	5.116156e-46	3.873286e-47	1.077858e-46	8.916469e-46	1.389563e-44	1.392141e-43	1.567139e-42	2.230149e-41	3.120146e-40	3.974610e-39	3.782765e-38	2.091765e-37	7.074479e-37	1.337566e-36	1.608116e-36	1.394329e-36	7.604059e-37	2.952265e-37	7.537414e-38	1.243896e-38	1.698087e-39	1.970877e-40	2.460590e-41	1.123149e-40	1.569845e-40	4.434505e-40	1.024778e-39	1.642090e-39	1.087348e-40	9.212848e-43	8.295786e-45	
R29	2.305476e-25	6.958895e-26	2.789893e-26	1.109456e-26	3.821221e-27	1.042251e-27	3.809321e-28	2.197023e-28	6.766208e-28	2.830530e-27	1.118275e-26	4.570962e-26	1.708118e-25	5.978906e-25	2.014395e-24	7.452860e-24	2.973248e-23	1.189324e-22	4.670726e-22	1.844250e-21	6.663495e-21	1.893990e-20	3.531040e-20	4.384071e-20	4.291489e-20	3.404822e-20	2.401989e-20	1.552537e-20	8.711953e-21	4.436942e-21	2.004106e-21	8.014069e-22	3.100032e-22	1.175151e-22	4.313616e-23	1.567907e-22	4.440241e-22	3.206328e-21	2.212372e-20	2.159324e-19	3.606668e-19	6.493219e-20	1.011094e-20	
R30	8.333237e-37	3.503430e-33	1.998106e-40	3.841237e-40	1.430097e-32	6.019892e-40	1.148311e-30	5.711488e-31	1.403648e-38	4.534979e-32	4.140058e-34	5.765182e-33	7.279300e-32	9.145951e-31	1.153877e-29	1.521081e-28	1.972556e-27	2.360018e-26	2.652880e-25	2.922351e-24	2.947702e-23	2.346193e-22	1.221193e-21	3.873130e-21	8.416839e-21	1.326606e-20	1.682727e-20	1.828881e-20	1.652479e-20	1.306900e-20	8.910591e-21	5.280843e-21	2.941952e-21	1.560365e-21	7.993316e-22	3.198416e-20	1.445389e-19	1.496457e-18	1.315718e-17	1.064542e-16	8.286032e-17	6.277133e-18	3.862417e-19	
R31	5.100371e-51	1.453444e-43	7.434277e-58	4.162611e-57	8.412393e-42	2.020404e-56	5.102502e-38	3.505766e-39	7.766959e-55	4.256425e-42	2.310754e-46	3.089342e-44	3.236024e-42	2.982844e-40	2.436250e-38	1.843551e-36	1.212708e-34	6.308283e-33	2.879936e-31	1.273178e-29	4.942783e-28	1.280503e-26	1.649310e-25	9.369275e-25	2.982166e-24	6.024941e-24	8.691665e-24	1.029619e-23	9.486993e-24	7.499429e-24	4.898581e-24	2.658537e-24	1.390167e-24	7.108574e-25	3.620188e-25	1.207807e-21	5.484910e-20	1.367636e-17	2.611052e-15	4.687924e-13	1.021628e-12	4.156433e-14	5.324482e-15	
R32	1.401372e-20	4.005848e-17	1.615878e-24	2.170978e-24	5.067918e-17	1.113663e-24	6.618422e-16	5.361875e-17	8.745437e-25	2.399153e-18	1.795832e-20	1.917178e-19	1.746404e-18	1.485176e-17	1.175259e-16	8.703418e-16	5.809830e-15	3.322335e-14	1.731827e-13	8.687425e-13	3.984557e-12	1.431144e-11	3.442361e-11	5.260457e-11	5.870153e-11	5.233145e-11	3.962110e-11	2.735444e-11	1.699626e-11	9.894417e-12	5.328627e-12	2.664265e-12	1.294156e-12	6.084138e-13	2.775484e-13	9.525982e-12	3.563480e-11	3.066261e-10	2.437710e-09	4.407236e-08	1.082632e-07	6.440547e-09	1.140394e-09	
