# Reaction ID 	 Column-Integrated Reaction Rate (cm**-2 s**-1)
R548	1.840441e-34
R549	5.227439e-38
R551	1.213322e-45
R552	1.517437e-73
R553	3.783113e-43
R554	0.000000e+00
R555	0.000000e+00
R556	0.000000e+00
R557	0.000000e+00
R558	0.000000e+00
R559	0.000000e+00
R560	0.000000e+00
R561	2.678209e+07
R562	4.507269e-34
R563	8.438026e-60
R564	2.010040e-61
R565	0.000000e+00
R566	4.229578e-48
R567	2.162447e-41
R568	7.339310e-17
R569	0.000000e+00
R570	0.000000e+00
R571	0.000000e+00
R572	0.000000e+00
R573	0.000000e+00
R574	0.000000e+00
R575	0.000000e+00
R576	0.000000e+00
R577	0.000000e+00
R578	0.000000e+00
R579	0.000000e+00
R596	1.795082e+04
R597	1.316393e+05
R598	1.036840e+02
R599	5.097798e+02
R608	2.053281e-30
R611	1.993306e-50
R617	4.093437e-15
R618	5.025508e-05
R639	7.663812e-24
R640	5.484585e-02
R641	2.180420e-23
R642	5.234384e-55
R643	1.377469e-55
R644	2.745712e-09
R645	4.673860e+11
M2	2.570780e-04
M3	8.208896e+04
M4	8.460669e+08
M5	1.099983e+00
M6	1.572974e+04
M7	1.460068e-01
M9	3.739667e+03
M10	5.259151e+10
M11	1.292843e-11
M12	3.572791e+11
M13	8.122653e+10
M14	1.103350e-05
M15	1.796349e+03
M16	1.901361e+10
M17	2.635452e+12
M18	3.864951e+11
M19	3.001395e+10
M20	3.481754e+01
M21	0.000000e+00
M22	1.584385e-13
M23	2.017649e-03
M24	2.723452e-07
M25	1.928284e-14
M26	7.317576e-02
M27	3.797688e-02
M28	1.709192e-03
M29	1.995759e-11
M31	1.308562e+09
M32	4.845081e+02
M33	2.542803e+01
M34	2.740220e+11
M35	3.150396e+12
M36	1.815009e+05
M37	0.000000e+00
M38	6.322121e+03
M39	6.396398e+11
M40	1.103171e-18
M41	2.277860e+00
M42	1.658296e+02
M43	1.551077e+01
M44	6.333495e+09
M45	0.000000e+00
M46	0.000000e+00
M47	0.000000e+00
M48	2.229976e-34
M49	1.057334e-29
M50	3.620915e-37
M51	0.000000e+00
M52	0.000000e+00
M53	0.000000e+00
M54	1.067418e-71
M55	3.640006e-147
M56	1.463192e-01
M57	4.506625e+09
M58	5.365878e+04
M73	1.159069e-03
M85	2.180067e-23
M86	2.557343e-09
M88	2.236104e+08
M89	1.966685e+12
M90	4.989912e+02
P1	6.070490e+09
P2	4.709016e+09
P3	4.200705e+11
P4	2.630115e+12
P5	6.696820e+10
P6	1.757608e+12
P7	9.783833e+10
P8	1.231966e+03
P9	3.261828e+00
P10	2.460643e+01
P11	1.814652e+05
P12	4.749136e-12
P13	8.533646e-12
P14	1.395782e+02
P15	1.182721e+01
P16	2.520694e-02
P17	1.809725e-02
P18	1.075733e+01
P19	2.708548e+00
P20	4.209939e+09
P21	3.823049e+09
P22	1.022292e+04
P23	1.093332e+03
P24	2.387968e+07
P25	9.243476e-02
P26	1.683892e-03
P27	8.272670e-06
P28	1.772715e-06
P29	1.772715e-06
P30	0.000000e+00
P31	1.623381e-39
P32	1.151177e+05
P33	1.488107e+05
P34	1.684650e+04
P35	1.866796e+07
P36	2.448986e+12
P37	1.639147e+11
P38	0.000000e+00
P39	0.000000e+00
P40	8.949840e+05
P41	3.842760e-08
P42	5.759908e-06
P43	2.364035e-19
P44	1.647887e-01
P45	0.000000e+00
P46	3.678886e-22
P47	4.176068e-21
P48	7.357474e-24
P49	0.000000e+00
P50	0.000000e+00
P51	0.000000e+00
P52	1.579665e-30
P53	4.214937e-31
P54	1.917877e-66
P56	5.331464e-03
P57	1.398508e-01
P58	3.098801e-03
P59	3.873501e-03
P60	7.747003e-04
P61	1.392827e+03
P62	2.441266e-02
P63	5.405659e-02
P64	4.708155e-02
P65	3.836275e-02
P66	1.046257e-02
P67	5.234384e-55
P68	1.413686e-23
P69	2.531563e-09
P70	1.046024e-18
P71	7.295067e+01
P72	8.304980e+05
P73	9.753604e+05
T1	1.346158e+04
T2	6.270692e-13
T3	9.842189e-09
T4	3.183957e-21
T5	6.746688e-37
T6	2.647659e-02
T7	6.661255e-12
T8	1.895384e-18
T9	3.180886e-15
T10	3.111523e-16
T13	1.857248e+01
T14	5.084756e-34
T15	5.341804e-37
T16	4.159287e-36
T17	4.330188e-08
T19	4.227479e-45
T20	2.302891e-35
T21	3.074675e-38
T22	2.814687e-36
T23	8.778197e-07
T24	1.490892e-10
T25	1.092494e-23
T26	3.691822e-44
T27	3.783232e-09
T28	5.628368e-45
T29	1.040049e-41
T30	2.068025e-29
T31	1.111720e-05
T32	2.646363e+05
T33	4.080985e-35
T34	8.937372e-38
T35	4.450711e-38
T36	8.252308e+01
T37	3.998413e+02
T38	3.016516e+03
T40	1.584540e-38
T41	0.000000e+00
T42	0.000000e+00
T43	6.203804e-118
T46	2.254913e+09
T47	2.547773e+04
T48	4.477180e+01
T49	2.307880e+01
T50	1.474862e-10
T51	2.647475e-13
T52	1.432852e-11
T53	4.654500e-59
T54	2.906232e-22
T55	4.261638e-21
T56	2.979808e-22
T57	1.461130e-70
T58	0.000000e+00
T59	0.000000e+00
T60	1.041148e-106
T91	3.243915e-47
T92	3.024937e-30
T93	9.548788e-47
