Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       238.03923    0.0021081427
       238.13923     0.014692645
       238.18790    0.0052844525
       238.24902    0.0074045727
       238.35976    0.0019583937
       238.56971    0.0019638124
       238.57921    0.0015703628
       238.81071    0.0020035491
       238.91071    0.0022382057
       238.97744    0.0018629449
       239.07744    0.0021837353
       239.10746    0.0026387607
       239.14600     0.047774923
       239.16905    0.0034237339
       239.17403    0.0031340073
       239.18759    0.0029457779
       239.21202    0.0027158139
       239.22462    0.0022630805
       239.24544       13.467904
       239.25901    0.0021737020
       239.32462    0.0020407979
       239.54665    0.0045237646
       239.58512    0.0024154608
       239.59177    0.0025130435
       239.60440    0.0065478693
       239.61858    0.0036872281
       239.62278    0.0047228048
       239.64207    0.0036165960
       239.64665    0.0029901984
       239.67067    0.0027371588
       239.67831    0.0025497641
       239.70549    0.0025888089
       239.72491    0.0050675728
       239.76106    0.0096050582
       239.81057    0.0027108157
       239.93569      0.24316440
       240.03569    0.0024277278
       241.03714    0.0074765286
       242.00000    0.0052480746
       242.04507    0.0051074015
       242.14025    0.0082129655
       242.18775    0.0076683160
       243.03851       3.4777631
       243.42111     0.013443118
       243.52111    0.0097229936
       243.91926     0.013359801
       243.94856     0.013548774
       243.97674     0.016244263
       243.98174     0.015332042
       243.98442     0.014265927
       244.01926     0.014584784
       244.04856     0.011956388
       244.04903     0.011972918
       244.07674     0.015027959
       244.08174     0.015848932
       244.08442     0.017947336
       244.17961     0.016714754
       244.30190     0.017478333
       244.35872     0.018823484
       244.45872     0.021657085
       244.90111       1428.8940
       244.90344       2103.7784
       244.91129       2870.7806
       245.00111      0.12473835
       245.75355      0.57477782
       245.76890      0.65978130
       245.80161      0.87518527
       245.83325       1.2430826
       245.83397       1.2635720
       245.84594       1.4305400
       245.85355       1.5707244
       245.90161       3.4135007
       245.94594       10.665961
       246.00000       94406.088
       246.26494      0.55782760
       247.08030     0.042344792
       247.20510     0.033036954
       247.34108     0.031790693
       247.40699     0.031746803
       247.90319      0.74233511
       247.97536     0.027919009
       247.99899     0.029417110
       248.00090     0.029661971
       248.00319     0.029552893
       248.07536     0.029329185
       248.09899     0.030109254
       248.10090     0.029922646
       248.32028     0.038556713
       248.61575     0.084547350
       249.21361       2.4586686
       249.22727       1.6599691
       249.36487      0.30591446
       249.37855      0.27542287
       249.73129      0.31232015
       249.83129     0.050211131
       249.88462     0.039902490
       249.96234     0.034954251
       249.98462     0.033744267
       250.00000     0.033113112
       250.06234     0.039865756
       250.12100      0.38806100
       250.23569     0.022677752
       250.33569     0.020455024
       250.51210     0.016470243
       250.51687     0.016387021
       251.37249     0.011012857
       252.32211     0.013970116
       252.42211     0.014200381
       252.49547       2.0058571
       252.59547     0.014581426
       252.75977       5.6389728
       252.85977     0.014702798
       252.94798     0.015498869
       253.08203     0.020146518
       253.10381      0.24581026
       253.11493     0.015388631
       253.12256     0.015955117
       253.21493     0.016607337
       253.22256     0.016383248
       253.54794     0.013947617
       254.00000     0.017725561
       254.18115     0.017893694
       254.31367     0.018348476
       254.33851     0.018866876
       254.45247       1.5962467
       254.47119     0.019359761
       254.55247     0.019733313
       254.70400     0.020488020
       254.70439     0.020720489
       254.80400     0.020936303
       254.80439     0.020811338
       254.88371       12.832167
       254.98371     0.021266695
       255.03548     0.013517613
       255.03935     0.013362878
       255.13548     0.021507999
       255.16495     0.018407720
       255.25005     0.022709104
       255.25910     0.022376904
