Wavelength [A]	Flambda [erg s-1 cm-2 A-1]
       218.51489      0.84547350
       218.92657      0.87297137
       218.99236       4.1869715
       219.02657      0.90260971
       219.06875      0.91875560
       219.09236      0.92789749
       219.16875       1.7918432
       219.29971       1.0141449
       219.34530       1.0344274
       219.39718       1.0590099
       219.39971       1.0602298
       219.44530       1.2083702
       219.49112       2.3388372
       219.49647       2.4825614
       219.49718       2.5182567
       219.59112       1.4767263
       219.59647       2.9744043
       219.81230       8.0667760
       219.87363       17.807379
       219.88035       20.040105
       219.89099       1.6572957
       219.91230       26.779348
       219.99589       1.3461703
       220.09589       3630.7805
       220.27999       11.194379
       220.36953       14.417833
       220.46953       14.910768
       220.60528       1.7664445
       220.70528       1.8462904
       222.00000       3.3365682
       222.10350       3.5034829
       222.20350       3.6702868
       222.45327       11.204694
       222.48929       4.9306026
       222.55114       5.1215333
       222.55327       5.0095648
       222.58929       5.6623929
       222.62597       4.5237646
       222.65114       4.5824739
       222.72597       5.8129957
       222.75848       4.8439539
       222.76537       4.8640721
       222.77535       4.8317004
       222.78225       4.6227457
       222.78518       4.4719815
       222.78870       4.5373262
       223.51649       8.0094003
       223.61649       8.3888031
       223.73131       8.3714367
       223.73827       7.6453963
       223.84094       11.196957
       225.10821       23.872615
       225.13715       15.328512
       225.14019       15.353239
       225.17443       15.671119
       225.20915       16.390794
       225.21016       16.493013
       225.21320       16.916091
       225.27443       16.741717
       225.29591       16.718604
       225.29802       16.726305
       225.39802       17.922558
       225.45903       20.258160
       225.55903       19.058995
       225.58981       19.368679
       225.64747       19.966411
       225.68981       25.751350
       225.74587       26.890570
       225.74747       25.864257
       225.84587       22.080047
       226.00000       23.872615
       226.03374       21.547654
       226.14433       25.816657
       226.24433       28.483936
       226.53156       31.937433
       226.63156       33.767585
       226.82954       37.765914
       226.92954       39.985267
       227.22402       47.489763
       227.32402       83.888031
       227.37740       51.939767
       227.47740       55.144220
       227.57700       58.573341
       227.63025       60.687605
       227.67700       75.910176
       227.73025       64.342806
       227.73771       64.639799
       227.83771       69.502432
       228.05792     0.011786911
       228.15792     0.011784197
       228.65871     0.011478893
       228.75871     0.013103883
       228.82641     0.012139478
       228.87441     0.064283572
       228.88568     0.013617582
       228.97441     0.023583052
       228.98684       1.6761003
       229.04908     0.059224309
       229.14908     0.013474107
       229.26647      0.16058316
       229.36647     0.031081359
       229.75636       35.367145
       229.85636     0.018659500
       229.87026     0.018407720
       229.99287     0.017546884
       230.00000     0.016780311
       230.09287       22.924507
       230.15010       15.674728
       230.35562       1.0710260
       230.45562     0.034119291
       230.45636     0.033273616
       230.55636     0.030654907
       230.57730     0.026345109
       230.59449     0.025176769
       230.67730     0.033242984
       230.67912     0.038273660
       230.69671       6.9518437
       230.75844     0.032247793
       231.03092      0.67096521
       231.07010       5.2504920
       231.10049       4775.2927
       231.13969       1.4105874
       231.20019      0.35514033
       231.23879      0.20892961
       231.29933      0.13477210
       231.46524       51.499143
       231.73360      0.14641986
       232.10672      0.10370507
       232.14072      0.11630543
       232.21834     0.039482078
       232.59545       25.733568
       233.29297      0.11537189
       233.31558     0.034268887
       233.39297     0.034673685
       233.41558     0.042227950
       233.45074     0.043974408
       233.46627     0.040429652
       233.49620     0.043601356
       233.52177      0.11235697
       233.53731     0.039655187
       233.56219      0.13173464
       233.59732      0.63973484
       233.62292      0.48540025
       234.00000     0.080984145
       234.12092     0.045154392
       234.13720     0.064744070
       234.14447     0.059497676
       234.17180      0.11686918
       234.19988     0.045404615
       234.20257     0.062488486
       234.24447     0.057226871
       234.25079     0.077929161
       234.26440      0.10249437
       234.35856       27.989813
       235.03151     0.088511561
       235.13151       51.975658
       235.24300     0.081884179
       235.34300       16.978527
       235.42997       1.3502059
       235.52997     0.095433313
       236.06798       16.311729
       236.41132      0.12600855
       236.51132      0.13149220
       237.34229       30.485969
       237.40249     0.026460619
       237.50249     0.016158461
       238.00000     0.016811250
       238.03923     0.015212479
       238.13923      0.14983042
       238.18790     0.027126890
       238.24902     0.021552616
       238.35976     0.020384497
       238.56971     0.022222863
       238.57921     0.020535250
       238.81071     0.017080477
       238.91071     0.017754155
       238.97744     0.017790985
       239.07744     0.018836491
       239.10746     0.019444644
       239.14600      0.83214690
       239.16905     0.022110573
       239.17403     0.023019718
       239.18759     0.021582413
       239.21202     0.022310022
       239.22462     0.018901662
       239.24544       149.62357
       239.25901     0.018975796
       239.32462     0.019222063
       239.54665     0.044936578
       239.58512     0.020502178
       239.59177     0.020554173
       239.60440     0.070631755
       239.61858     0.036140986
       239.62278     0.040860154
       239.64207     0.033052172
       239.64665     0.024333243
       239.67067     0.021473360
       239.67831     0.020941125
       239.70549     0.021105712
       239.72491     0.049968924
       239.76106      0.11099413
       239.81057     0.023436891
       239.93569       2.9723504
       240.03569     0.023485510
       241.03714      0.11431415
       242.00000     0.047522579
       242.04507     0.046805835
       242.14025     0.083618043
       242.18775     0.085703785
       243.03851       29.846953
       243.42111      0.15757960
       243.52111     0.098265258
       243.91926      0.13359801
       243.94856      0.13589391
       243.97674      0.17135627
       243.98174      0.15038343
       243.98442      0.14002320
       244.01926      0.14437766
       244.04856      0.14615040
       244.04903      0.13999096
       244.07674      0.14598223
       244.08174      0.15999264
       244.08442      0.18281002
       244.17961      0.17306132
       244.30190      0.16730156
       244.35872      0.18462904
       244.45872      0.20979735
       244.90111       14927.944
       244.90344       21928.049
       244.91129       29853.826
       245.00111       1.1428783
       245.75355       6.0325371
       245.76890       6.8627788
       245.80161       9.1833260
       245.83325       12.864710
       245.83397       12.977768
       245.84594       14.952025
       245.85355       16.477829
       245.90161       35.966651
       245.94594       113.76273
       246.00000       1009252.9
       246.26494       5.7782989
       247.08030      0.46430141
       247.20510      0.35538574
       247.34108      0.31325643
       247.40699      0.30012350
       247.90319       8.0167806
       247.97536      0.27854797
       247.99899      0.29621019
       248.00090      0.29792023
       248.00319      0.29771451
       248.07536      0.29241524
       248.09899      0.29641488
       248.10090      0.29342695
       248.32028      0.42491298
       248.61575      0.96227677
       249.21361       26.193890
       249.22727       17.298164
       249.36487       3.2018428
       249.37855       2.8793867
